Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	5/31	0.00000072827798053656322304597221795052774950818275101482868194580078125	0.000110698253041557613291119566145681574198533780872821807861328125	0.0000056337054502366711952764978532659512211466790176928043365478515625	0.00142720538072662315488836615173795507871545851230621337890625	-2.1246086379446383	30.026207961263598	YWHAE;YWHAQ;BCL2;DYNLL1;DYNLL2
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)	4/28	0.0000166018439286860138037228706853198900716961361467838287353515625	0.000934622324874175599944414738473597026313655078411102294921875	0.000079070092403438796174915126346860461126198060810565948486328125	0.0048074616181290781569135361905864556320011615753173828125	-2.6156917131520663	28.788294595257696	CDC42;C1QBP;RAC1;S100A10
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	5/38	0.00000208594462444976845431378331685579041732125915586948394775390625	0.00021137572194424321240548148015392371235066093504428863525390625	0.00001381943497798842680236719449027305017807520925998687744140625	0.002058814645678104689185961007069636252708733081817626953125	-2.1806691334010337	28.523781928786434	YWHAE;YWHAQ;BCL2;DYNLL1;DYNLL2
positive regulation of microtubule motor activity (GO:2000576)	2/7	0.000629503970453415225873305960391235203132964670658111572265625	0.0086202345503530730663754866327508352696895599365234375	0.0017995926199516711942172353388968986109830439090728759765625	0.027353807823265401111267891565148602239787578582763671875	-3.79100954967442	27.94193309035971	DYNLL1;DYNLL2
positive regulation of protein phosphorylation (GO:0001934)	13/413	0.000000494652004917633847350826904742948642024202854372560977935791015625	0.0001074101496392576397809204280520134489051997661590576171875	0.000011805877399976503396169212611876986329662031494081020355224609375	0.002058814645678104689185961007069636252708733081817626953125	-1.8981792802547108	27.560445770843273	ACVR1;RBPMS;RPLP1;IGF2;IGF1;CDK9;SDCBP;CSNK2B;DVL2;PIN1;RAC1;CALM1;PFN2
positive regulation of lamellipodium assembly (GO:0010592)	3/14	0.0000579230245831404964873025120741800719770253635942935943603515625	0.00183422911179944897637483780528100396622903645038604736328125	0.00023127140694550988469536945135729411049396730959415435791015625	0.00817045799524294437399252188924947404302656650543212890625	-2.688601431130382	26.231059149275147	CDC42;RAC1;WNT1
regulation of cell proliferation (GO:0042127)	22/741	0.00000000010161455489389186675351486092731064132810292477415714529342949390411376953125	0.000000154454123438715643462402029618962817636429463163949549198150634765625	0.00000001997821755356118557093555629898540271227602715953253209590911865234375	0.0000303668906814130032324923480491207783416029997169971466064453125	-1.1319291397970497	26.045501984800378	PRMT1;LEF1;IGF2;RHOG;IRS2;IGF1;CXCL13;IL2;NME1;PPP1R9B;SDCBP;CAPNS1;CSNK2B;CSK;FYN;GRB2;MVD;TNFRSF14;VHL;WNT1;HSPA1B;HSPA1A
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	13/397	0.000000316088728497525353678993149941778284528481890447437763214111328125	0.0001074101496392576397809204280520134489051997661590576171875	0.000007838875877316418559260548237777044278118410147726535797119140625	0.00170215590478870804937161498315845165052451193332672119140625	-1.7395530317286383	26.036312722239686	PXN;IGF2;IRS2;IGF1;MAPK12;CDC42;SDCBP;UBB;ARPC3;CSK;FYN;GRB2;RAC1
positive regulation of cytoskeleton organization (GO:0051495)	6/78	0.000004734532575558490592932715801399723432041355408728122711181640625	0.000415707414941891687833186441736188498907722532749176025390625	0.000031663936009109234907300811645569638130837120115756988525390625	0.0028311283961085904024856940708332331269048154354095458984375	-2.045798361692014	25.082771761411475	CDC42;VASP;RHOG;RAC1;ARF6;PFN2
positive regulation of actin filament bundle assembly (GO:0032233)	5/45	0.00000492285096641713844421543722074119386888924054801464080810546875	0.000415707414941891687833186441736188498907722532749176025390625	0.00002922298027541357580590120068819715015706606209278106689453125	0.002776183126164289728665668377516340115107595920562744140625	-1.9528147769826527	23.866565466956317	CDC42;PXN;RAC1;PFN2;S100A10
