"Term","Overlap","P-value","Genes"
"regulation of cell proliferation (GO:0042127)","22/741",1.01614554893892e-10,"PRMT1;LEF1;IGF2;RHOG;IRS2;IGF1;CXCL13;IL2;NME1;PPP1R9B;SDCBP;CAPNS1;CSNK2B;CSK;FYN;GRB2;MVD;TNFRSF14;VHL;WNT1;HSPA1B;HSPA1A"
"positive regulation of protein localization to membrane (GO:1905477)","8/96",6.16702148610048e-08,"YWHAE;YWHAQ;BCL2;RHOG;FYN;DYNLL1;DYNLL2;ARF6"
"transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)","13/397",3.16088728497525e-07,"PXN;IGF2;IRS2;IGF1;MAPK12;CDC42;SDCBP;UBB;ARPC3;CSK;FYN;GRB2;RAC1"
"cytokine-mediated signaling pathway (GO:0019221)","16/634",4.30033348432499e-07,"TNFSF12;EBI3;IRS2;TNFRSF13C;CXCL13;IL2;CDC42;UBB;CSNK2B;BCL2;SAA1;TNFSF11;FYN;GRB2;TNFRSF14;IKBKG"
"regulation of mitotic nuclear division (GO:0007088)","7/85",4.63120814585812e-07,"CHMP1B;IGF2;PIN1;IGF1;HSPA1B;HSPA1A;PPP1R9B"
"regulation of DNA binding (GO:0051101)","6/53",4.73530055070631e-07,"CEBPG;CSNK2B;LEF1;IGF1;MDFI;NME1"
"positive regulation of protein phosphorylation (GO:0001934)","13/413",4.94652004917634e-07,"ACVR1;RBPMS;RPLP1;IGF2;IGF1;CDK9;SDCBP;CSNK2B;DVL2;PIN1;RAC1;CALM1;PFN2"
"positive regulation of cell proliferation (GO:0008284)","13/425",6.82957754469414e-07,"PRMT1;LEF1;IGF2;RHOG;IRS2;IGF1;RBPJ;IL2;NME1;SDCBP;CAPNS1;MVD;WNT1"
"regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)","5/31",7.28277980536563e-07,"YWHAE;YWHAQ;BCL2;DYNLL1;DYNLL2"
"positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)","5/31",7.28277980536563e-07,"YWHAE;YWHAQ;BCL2;DYNLL1;DYNLL2"
