"Gene","GO:0042127","GO:1905477","GO:0007169","GO:0019221","GO:0007088","GO:0051101","GO:0001934","GO:0008284","GO:1900739","GO:1900740"
"CDC42","0","0","1","1","0","0","0","0","0","0"
"UBB","0","0","1","1","0","0","0","0","0","0"
"RAC1","0","0","1","0","0","0","1","0","0","0"
"PIN1","0","0","0","0","1","0","1","0","0","0"
"LEF1","1","0","0","0","0","1","0","1","0","0"
"RHOG","1","1","0","0","0","0","0","1","0","0"
"IL2","1","0","0","1","0","0","0","1","0","0"
"NME1","1","0","0","0","0","1","0","1","0","0"
"GRB2","1","0","1","1","0","0","0","0","0","0"
"YWHAE","0","1","0","0","0","0","0","0","1","1"
"YWHAQ","0","1","0","0","0","0","0","0","1","1"
"DYNLL1","0","1","0","0","0","0","0","0","1","1"
"DYNLL2","0","1","0","0","0","0","0","0","1","1"
"IRS2","1","0","1","1","0","0","0","1","0","0"
"SDCBP","1","0","1","0","0","0","1","1","0","0"
"CSNK2B","1","0","0","1","0","1","1","0","0","0"
"FYN","1","1","1","1","0","0","0","0","0","0"
"BCL2","0","1","0","1","0","0","0","0","1","1"
"IGF2","1","0","1","0","1","0","1","1","0","0"
"IGF1","1","0","1","0","1","1","1","1","0","0"
