Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
C3HC4-type RING finger domain binding (GO:0055131)	2/7	0.000629503970453415225873305960391235203132964670658111572265625	0.00929444097551807187074235372392649878747761249542236328125	0.0021321975281207265762173364009868237189948558807373046875	0.039841316669320954446664728720861603505909442901611328125	-3.930195111792576	28.967811187708115	HSPA1B;HSPA1A
thioesterase binding (GO:0031996)	3/12	0.00003529313080997162170582281959241299773566424846649169921875	0.00177171516666057540963230554353913248633034527301788330078125	0.0002010161113478912899184269935659585826215334236621856689453125	0.0100910087896641416371767974169415538199245929718017578125	-2.680064412020599	27.475543856895953	CDC42;RAC1;ARF6
G-protein coupled receptor binding (GO:0001664)	8/134	0.0000008141966255322808090349345246095058570290348143316805362701416015625	0.000070616771499491952954023765709479221186484210193157196044921875	0.000015412336628487218544332482128567107793060131371021270751953125	0.0024764115761958306084766778809580500819720327854156494140625	-1.891711798647341	26.52381209511252	SDCBP;GNA15;C1QBP;DVL2;SAA1;WNT1;HSPA1B;HSPA1A
ubiquitin-like protein ligase binding (GO:0044389)	11/298	0.0000008440251573644456427130376707790304635636857710778713226318359375	0.000070616771499491952954023765709479221186484210193157196044921875	0.00002959854473540833149562516435349124321874114684760570526123046875	0.0024764115761958306084766778809580500819720327854156494140625	-1.8664506869052173	26.102468771243718	YWHAE;MAP1LC3B;BTBD2;SUMO2;BCL2;NEDD8;TNFRSF14;IKBKG;UBE2G2;HSPA1B;HSPA1A
ubiquitin protein ligase binding (GO:0031625)	11/285	0.0000005439379267909912683939994970661047091198270209133625030517578125	0.000070616771499491952954023765709479221186484210193157196044921875	0.00001989508863979246822638845271224994348813197575509548187255859375	0.0024764115761958306084766778809580500819720327854156494140625	-1.5820793740872177	22.820594296212146	YWHAE;MAP1LC3B;BTBD2;SUMO2;BCL2;NEDD8;TNFRSF14;IKBKG;UBE2G2;HSPA1B;HSPA1A
insulin receptor binding (GO:0005158)	3/20	0.00017705641643330437794146003938067224225960671901702880859375	0.005565591577925583198493963976716258912347257137298583984375	0.000747517012902367710726336813564785188646055757999420166015625	0.031271128373082386631143236854768474586308002471923828125	-2.0761891235303134	17.936285327261917	IGF2;IRS2;IGF1
disordered domain specific binding (GO:0097718)	3/24	0.000309312141640939275259725160793777831713669002056121826171875	0.007014701306485468003393268787704073474742472171783447265625	0.00120681134508189721009363548631654339260421693325042724609375	0.0373004023708397303149553181356168352067470550537109375	-2.1837745446307215	17.64743067759397	FYN;CALM1;HSPA1A
growth factor receptor binding (GO:0070851)	5/93	0.000169518538411825227425755446830635264632292091846466064453125	0.005565591577925583198493963976716258912347257137298583984375	0.00103726965332946057841978504399094163090921938419342041015625	0.037193526140813511215998943271188181824982166290283203125	-1.9876667774264611	17.258012731656677	SDCBP;PLSCR1;FYN;GRB2;IL2
phospholipid scramblase activity (GO:0017128)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-5.0199273620365865	16.387724062081418	PLSCR1
ATPase activity (GO:0016887)	6/204	0.000974692162302730267901818006492931090178899466991424560546875	0.0122323866368992638375967629826845950447022914886474609375	0.006223912334759640861692187030485001741908490657806396484375	0.06509174983436123718139043603514437563717365264892578125	-2.1856583863331105	15.154019524597127	DYNLL1;DYNLL2;HSPA1B;ATP5J2;HSPA1A;PFN2
