"Term","Overlap","P-value","Genes"
"ubiquitin protein ligase binding (GO:0031625)","11/285",5.43937926790991e-07,"YWHAE;MAP1LC3B;BTBD2;SUMO2;BCL2;NEDD8;TNFRSF14;IKBKG;UBE2G2;HSPA1B;HSPA1A"
"G-protein coupled receptor binding (GO:0001664)","8/134",8.14196625532281e-07,"SDCBP;GNA15;C1QBP;DVL2;SAA1;WNT1;HSPA1B;HSPA1A"
"ubiquitin-like protein ligase binding (GO:0044389)","11/298",8.44025157364446e-07,"YWHAE;MAP1LC3B;BTBD2;SUMO2;BCL2;NEDD8;TNFRSF14;IKBKG;UBE2G2;HSPA1B;HSPA1A"
"nucleoside-triphosphatase activity (GO:0017111)","12/425",4.29422795626588e-06,"CDC42;ARL4D;GNA15;RIT1;RHOG;PIN1;RAC1;HSPA1B;ARF6;ATP5J2;HSPA1A;PFN2"
"thioesterase binding (GO:0031996)","3/12",3.52931308099716e-05,"CDC42;RAC1;ARF6"
"growth factor receptor binding (GO:0070851)","5/93",0.000169518538411825,"SDCBP;PLSCR1;FYN;GRB2;IL2"
"insulin receptor binding (GO:0005158)","3/20",0.000177056416433304,"IGF2;IRS2;IGF1"
"GTP binding (GO:0005525)","6/148",0.000177389373001612,"CDC42;RIT1;RHOG;RAC1;ARF6;NME1"
"GTPase activity (GO:0003924)","7/223",0.000248134722344169,"CDC42;ARL4D;GNA15;RIT1;RHOG;RAC1;ARF6"
"purine ribonucleoside binding (GO:0032550)","6/160",0.000270488506020978,"CDC42;RIT1;RHOG;RAC1;ARF6;NME1"
"disordered domain specific binding (GO:0097718)","3/24",0.000309312141640939,"FYN;CALM1;HSPA1A"
"purine ribonucleoside triphosphate binding (GO:0035639)","9/397",0.000371499077122958,"ACVR1;CDC42;RIT1;RHOG;RAC1;HSPA1B;ARF6;HSPA1A;NME1"
"guanyl ribonucleotide binding (GO:0032561)","6/171",0.000386129352990505,"CDC42;RIT1;RHOG;RAC1;ARF6;NME1"
"protein serine/threonine phosphatase activity (GO:0004722)","4/62",0.000391258240202377,"DUSP23;PPP1CC;CYCS;PPP1CA"
"ubiquitin-like protein ligase activity (GO:0061659)","6/187",0.000619592310387334,"CDC42;RNF11;RNF216;UBE2G2;VHL;RNF4"
"C3HC4-type RING finger domain binding (GO:0055131)","2/7",0.000629503970453415,"HSPA1B;HSPA1A"
"phosphoserine residue binding (GO:0050815)","2/7",0.000629503970453415,"YWHAE;PIN1"
"ubiquitin protein ligase activity (GO:0061630)","6/193",0.000730933969874393,"CDC42;RNF11;RNF216;UBE2G2;VHL;RNF4"
"protein phosphorylated amino acid binding (GO:0045309)","3/35",0.000956807953989763,"YWHAE;PIN1;GRB2"
"ATPase activity (GO:0016887)","6/204",0.00097469216230273,"DYNLL1;DYNLL2;HSPA1B;ATP5J2;HSPA1A;PFN2"
"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)","7/285",0.00106617018153338,"PLSCR1;FOXF2;CEBPG;LEF1;E2F2;RBPJ;HOXB7"
"snRNA binding (GO:0017069)","3/37",0.00112677645967327,"CDK9;RBPMS;LSM2"
"frizzled binding (GO:0005109)","3/38",0.00121844173369995,"SDCBP;DVL2;WNT1"
"histone deacetylase binding (GO:0042826)","4/86",0.00134508017260986,"YWHAE;LEF1;HSPA1B;HSPA1A"
"DNA binding (GO:0003677)","13/894",0.00136597672903901,"RNF11;PCNA;FOXF2;NFYA;CEBPG;H2AFX;LEF1;RBPJ;RNF4;CDK9;BCL2;E2F2;FOXA2"
"protein kinase binding (GO:0019901)","9/496",0.00178330992106485,"CDC42;PPP1CC;RHOG;PIN1;CSK;GRB2;CD247;RAC1;CALM1"
"non-membrane spanning protein tyrosine kinase activity (GO:0004715)","3/44",0.00186726099548154,"CSK;FYN;GRB2"
"insulin-like growth factor receptor binding (GO:0005159)","2/16",0.0034816540701364,"IGF2;IGF1"
"protein heterodimerization activity (GO:0046982)","6/266",0.00369998495740002,"YWHAE;SDCBP;CEBPG;BCL2;IKBKG;CXCL13"
"protein kinase activator activity (GO:0030295)","3/56",0.00372443912216022,"RPLP1;IGF2;CALM1"
"protein homodimerization activity (GO:0042803)","10/665",0.00390946047495679,"ACVR1;CD79A;HMGCL;FCER1G;RBPMS;BCL2;MVD;CD247;IKBKG;S100A10"
