"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACVR1",70,51,19,0,1,NA,"coding"
"APEH",5,4,1,0,1,NA,"coding"
"ARF6",38,34,4,0,1,NA,"coding"
"ARL4D",26,25,1,0,1,NA,"coding"
"ARPC3",22,21,1,0,1,NA,"coding"
"ATP5J2",11,9,2,0,1,NA,"coding"
"BCL2",98,85,13,0,1,NA,"coding"
"BTBD2",27,25,2,0,1,NA,"coding"
"C14orf1",27,22,5,0,1,NA,"coding"
"C1QBP",23,22,1,0,1,NA,"coding"
"CALM1",76,70,6,0,1,NA,"coding"
"CAPNS1",24,20,4,0,1,NA,"coding"
"CCDC85B",74,60,14,0,1,NA,"coding"
"CD247",19,6,13,0,1,NA,"coding"
"CD79A",12,7,5,0,1,NA,"coding"
"CD82",18,9,9,0,1,NA,"coding"
"CDC42",67,47,20,0,1,NA,"coding"
"CDK9",55,45,10,0,1,NA,"coding"
"CEBPG",46,42,4,0,1,NA,"coding"
"CHMP1B",46,44,2,0,1,NA,"coding"
"CSK",37,30,7,0,1,NA,"coding"
"CSNK2B",57,21,36,0,1,NA,"coding"
"CXCL13",8,6,2,0,1,NA,"coding"
"CYCS",83,82,1,0,1,NA,"coding"
"DAZAP2",118,112,6,0,1,NA,"coding"
"DHFR",11,9,2,0,1,NA,"coding"
"DUSP23",13,8,5,0,1,NA,"coding"
"DVL2",29,21,8,0,1,NA,"coding"
"DYNLL1",34,25,9,0,1,NA,"coding"
"DYNLL2",75,73,2,0,1,NA,"coding"
"E2F2",108,97,11,0,1,NA,"coding"
"EBI3",14,13,1,0,1,NA,"coding"
"EIF4EBP1",54,51,3,0,1,NA,"coding"
"FCER1G",8,4,4,0,1,NA,"coding"
"FOXA2",204,3,201,0,1,NA,"coding"
"FOXF2",40,37,3,0,1,NA,"coding"
"FYN",146,98,48,0,1,NA,"coding"
"GADD45G",30,20,10,0,1,NA,"coding"
"GNA15",3,1,2,0,1,NA,"coding"
"GRB2",79,53,26,0,1,NA,"coding"
"H2AFX",49,43,6,0,1,NA,"coding"
"HCST",2,1,1,0,1,NA,"coding"
"HMGCL",5,4,1,0,1,NA,"coding"
"HOXB7",6,4,2,0,1,NA,"coding"
"HRK",56,55,1,0,1,NA,"coding"
"HSPA1A",40,32,8,0,1,NA,"coding"
"HSPA1B",39,38,1,0,1,NA,"coding"
"IGF1",119,117,2,0,1,NA,"coding"
"IGF2",67,61,6,0,1,NA,"coding"
"IKBKG",47,42,5,0,1,NA,"coding"
"IL2",8,7,1,0,1,NA,"coding"
"IRS2",45,40,5,0,1,NA,"coding"
"LEF1",35,21,14,0,1,NA,"coding"
"LSM2",10,4,6,0,1,NA,"coding"
"MAFG",52,48,4,0,1,NA,"coding"
"MAP1LC3B",30,26,4,0,1,NA,"coding"
"MAPK12",13,6,7,0,1,NA,"coding"
"MDFI",47,41,6,0,1,NA,"coding"
"MED31",14,12,2,0,1,NA,"coding"
"MED9",13,10,3,0,1,NA,"coding"
"MVD",8,7,1,0,1,NA,"coding"
"NEDD8",14,10,4,0,1,NA,"coding"
"NFYA",289,60,229,0,1,NA,"coding"
"NME1",23,19,4,0,1,NA,"coding"
"PCNA",80,71,9,0,1,NA,"coding"
"PFN2",61,56,5,0,1,NA,"coding"
"PIN1",57,41,16,0,1,NA,"coding"
"PLSCR1",56,40,16,0,1,NA,"coding"
"PPP1CA",32,26,6,0,1,NA,"coding"
"PPP1CC",67,64,3,0,1,NA,"coding"
"PPP1R9B",19,17,2,0,1,NA,"coding"
"PRMT1",23,15,8,0,1,NA,"coding"
"PRSS23",31,28,3,0,1,NA,"coding"
"PXN",38,28,10,0,1,NA,"coding"
"RAC1",62,51,11,0,1,NA,"coding"
"RASSF1",19,12,7,0,1,NA,"coding"
"RBL2",48,42,6,0,1,NA,"coding"
"RBPJ",135,59,76,0,1,NA,"coding"
"RBPMS",34,32,2,0,1,NA,"coding"
"RGS19",22,14,8,0,1,NA,"coding"
"RGS2",27,14,13,0,1,NA,"coding"
"RHOG",23,19,4,0,1,NA,"coding"
"RING1",17,14,3,0,1,NA,"coding"
"RIT1",21,19,2,0,1,NA,"coding"
"RNF11",105,85,20,0,1,NA,"coding"
"RNF216",26,24,2,0,1,NA,"coding"
"RNF4",43,42,1,0,1,NA,"coding"
"RPLP1",49,41,8,0,1,NA,"coding"
"S100A10",13,12,1,0,1,NA,"coding"
"S100A4",7,5,2,0,1,NA,"coding"
"SAA1",9,6,3,0,1,NA,"coding"
"SDCBP",49,43,6,0,1,NA,"coding"
"SLC9A3R2",40,34,6,0,1,NA,"coding"
"SMN1",33,13,20,0,1,NA,"coding"
"SNIP1",54,50,4,0,1,NA,"coding"
"SUMO2",50,45,5,0,1,NA,"coding"
"TAF10",19,10,9,0,1,NA,"coding"
"TGOLN2",73,70,3,0,1,NA,"coding"
"TNFRSF13C",49,47,2,0,1,NA,"coding"
"TNFRSF14",21,14,7,0,1,NA,"coding"
"TNFSF11",20,17,3,0,1,NA,"coding"
"TNFSF12",4,3,1,0,1,NA,"coding"
"TYROBP",7,5,2,0,1,NA,"coding"
"UBB",38,24,14,0,1,NA,"coding"
"UBE2G2",30,29,1,0,1,NA,"coding"
"VASP",29,25,4,0,1,NA,"coding"
"VHL",44,38,6,0,1,NA,"coding"
"VTA1",49,45,4,0,1,NA,"coding"
"WNT1",20,19,1,0,1,NA,"coding"
"YWHAE",86,78,8,0,1,NA,"coding"
"YWHAQ",95,82,13,0,1,NA,"coding"
