"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",42,31,11,0,1,381,"coding"
"TP53",111,21,90,0,1,328,"coding"
"TTN",16,8,8,0,1,293,"coding"
"GATA3",397,23,374,0,1,104,"coding"
"DMD",57,52,5,0,1,56,"coding"
"LRP2",29,13,16,0,1,39,"coding"
"MACF1",30,27,3,0,1,39,"coding"
"PTEN",75,69,6,0,1,39,"coding"
"APOB",12,5,7,0,1,38,"coding"
"LRP1",55,39,16,0,1,33,"coding"
"RYR1",16,7,9,0,1,30,"coding"
"ANK3",20,18,2,0,1,28,"coding"
"AKAP9",40,36,4,0,1,27,"coding"
"LYST",22,19,3,0,1,27,"coding"
"PRKDC",64,55,9,0,1,26,"coding"
"FLNA",72,53,19,0,1,24,"coding"
"MED12",12,10,2,0,1,24,"coding"
"RPGR",5,4,1,0,1,24,"coding"
"VCAN",62,51,11,0,1,24,"coding"
"ATM",38,20,18,0,1,23,"coding"
"RB1",145,121,24,0,1,23,"coding"
"FLNC",27,20,7,0,1,21,"coding"
"ZFHX3",79,78,1,0,1,21,"coding"
"DSP",24,23,1,0,1,20,"coding"
"BRCA2",21,16,5,0,1,19,"coding"
"GRIN2A",56,49,7,0,1,18,"coding"
"HDAC6",13,10,3,0,1,18,"coding"
"PIK3R1",144,87,57,0,1,18,"coding"
"SF3B1",33,27,6,0,1,18,"coding"
"FLNB",25,22,3,0,1,17,"coding"
"SHANK2",30,27,3,0,1,17,"coding"
"CHD3",66,49,17,0,1,16,"coding"
"HSPG2",35,28,7,0,1,16,"coding"
"LAMA2",6,5,1,0,1,16,"coding"
"PTPN13",26,21,5,0,1,16,"coding"
"SETDB1",67,53,14,0,1,16,"coding"
"SPTAN1",28,17,11,0,1,16,"coding"
"TLN1",60,53,7,0,1,16,"coding"
"ATN1",59,36,23,0,1,15,"coding"
"CBLB",44,34,10,0,1,15,"coding"
"CREBBP",267,94,173,0,1,15,"coding"
"DLG1",56,18,38,0,1,15,"coding"
"FANCD2",21,15,6,0,1,15,"coding"
"ITPR1",45,34,11,0,1,15,"coding"
"CFH",10,8,2,0,1,14,"coding"
"EP300",179,155,24,0,1,14,"coding"
"HTT",68,52,16,0,1,14,"coding"
"NCOA6",38,30,8,0,1,14,"coding"
"NUP98",33,27,6,0,1,14,"coding"
"RANBP2",46,35,11,0,1,14,"coding"
"TOPBP1",26,22,4,0,1,14,"coding"
"TSC22D1",46,41,5,0,1,14,"coding"
"UBC",16,12,4,0,1,14,"coding"
"ARHGEF12",43,37,6,0,1,13,"coding"
"ATR",21,14,7,0,1,13,"coding"
"CASP8",52,27,25,0,1,13,"coding"
"ERBB2IP",34,32,2,0,1,13,"coding"
"FN1",94,76,18,0,1,13,"coding"
"GNAS",46,38,8,0,1,13,"coding"
"MAP3K5",42,26,16,0,1,13,"coding"
"NOS1",18,11,7,0,1,13,"coding"
"PTPRF",37,32,5,0,1,13,"coding"
"ROBO2",39,31,8,0,1,13,"coding"
"ABCA1",48,40,8,0,1,12,"coding"
"CNTNAP2",22,18,4,0,1,12,"coding"
"COL4A1",34,28,6,0,1,12,"coding"
"IKBKAP",27,23,4,0,1,12,"coding"
"JAK1",72,41,31,0,1,12,"coding"
"LRRC41",15,14,1,0,1,12,"coding"
"MYB",283,28,255,0,1,12,"coding"
"PTCH1",24,23,1,0,1,12,"coding"
"AP3B1",38,33,5,0,1,11,"coding"
"BACH2",78,61,17,0,1,11,"coding"
"GPRASP1",31,11,20,0,1,11,"coding"
"GPRASP2",24,10,14,0,1,11,"coding"
"GPS2",10,5,5,0,1,11,"coding"
"INSR",75,42,33,0,1,11,"coding"
"MAP1B",87,77,10,0,1,11,"coding"
"MARS",31,30,1,0,1,11,"coding"
"MYLK",65,60,5,0,1,11,"coding"
"NLGN3",12,9,3,0,1,11,"coding"
"PRKCQ",19,8,11,0,1,11,"coding"
"RET",30,16,14,0,1,11,"coding"
"SMARCA4",46,28,18,0,1,11,"coding"
"XRN1",51,45,6,0,1,11,"coding"
"ACTN2",18,12,6,0,1,10,"coding"
"AFF1",65,55,10,0,1,10,"coding"
"DNMBP",22,18,4,0,1,10,"coding"
"GOLGA3",12,9,3,0,1,10,"coding"
"GRM1",11,6,5,0,1,10,"coding"
"HIPK2",38,32,6,0,1,10,"coding"
"HLA-B",20,14,6,0,1,10,"coding"
"IL1RAP",35,27,8,0,1,10,"coding"
"ITSN1",52,43,9,0,1,10,"coding"
"MET",69,45,24,0,1,10,"coding"
"PROX1",43,35,8,0,1,10,"coding"
"SATB1",45,39,6,0,1,10,"coding"
"SH3KBP1",55,52,3,0,1,10,"coding"
"SHANK1",14,4,10,0,1,10,"coding"
"SIN3A",61,54,7,0,1,10,"coding"
"UBR1",35,22,13,0,1,10,"coding"
"ACVR2A",46,44,2,0,1,9,"coding"
"APP",93,63,30,0,1,9,"coding"
"ATXN1",160,128,32,0,1,9,"coding"
"CASK",47,29,18,0,1,9,"coding"
"CDK5RAP1",6,4,2,0,1,9,"coding"
"CHUK",53,35,18,0,1,9,"coding"
"COL4A2",36,30,6,0,1,9,"coding"
"EWSR1",64,35,29,0,1,9,"coding"
"FLII",14,10,4,0,1,9,"coding"
"HLA-C",21,13,8,0,1,9,"coding"
"HNRNPUL1",44,41,3,0,1,9,"coding"
"ITGB2",32,10,22,0,1,9,"coding"
"KIAA1377",61,26,35,0,1,9,"coding"
"LRP12",37,33,4,0,1,9,"coding"
"MAGI3",28,26,2,0,1,9,"coding"
"NTRK1",18,5,13,0,1,9,"coding"
"NUMA1",16,14,2,0,1,9,"coding"
"PLXNB3",6,1,5,0,1,9,"coding"
"PRKCE",51,40,11,0,1,9,"coding"
"RGS3",16,12,4,0,1,9,"coding"
"RPS6KA3",95,84,11,0,1,9,"coding"
"SMARCC1",40,27,13,0,1,9,"coding"
"STAT4",14,4,10,0,1,9,"coding"
"USP8",24,22,2,0,1,9,"coding"
"A2M",26,8,18,0,1,8,"coding"
"ABL1",91,51,40,0,1,8,"coding"
"ACVR1B",59,53,6,0,1,8,"coding"
"ARHGEF7",24,16,8,0,1,8,"coding"
"BMPR2",84,70,14,0,1,8,"coding"
"C6",7,6,1,0,1,8,"coding"
"CACHD1",17,15,2,0,1,8,"coding"
"CAPN1",17,9,8,0,1,8,"coding"
"CAPN2",14,8,6,0,1,8,"coding"
"CDC25C",17,11,6,0,1,8,"coding"
"CDC5L",53,52,1,0,1,8,"coding"
"CREB3L3",5,2,3,0,1,8,"coding"
"DLG2",52,29,23,0,1,8,"coding"
"DLGAP4",23,20,3,0,1,8,"coding"
"EEF1A1",74,48,26,0,1,8,"coding"
"ELN",21,19,2,0,1,8,"coding"
"FBLN2",22,17,5,0,1,8,"coding"
"ILF3",37,35,2,0,1,8,"coding"
"IRF3",31,16,15,0,1,8,"coding"
"ITK",20,17,3,0,1,8,"coding"
"KCNJ12",28,26,2,0,1,8,"coding"
"KDR",53,30,23,0,1,8,"coding"
"KIT",61,31,30,0,1,8,"coding"
"MAPK8IP3",32,19,13,0,1,8,"coding"
"MCM10",35,26,9,0,1,8,"coding"
"NCOR2",94,56,38,0,1,8,"coding"
"NOTCH1",52,46,6,0,1,8,"coding"
"NR1H2",45,10,35,0,1,8,"coding"
"NUAK1",46,37,9,0,1,8,"coding"
"PARD3",36,26,10,0,1,8,"coding"
"PDE4D",40,39,1,0,1,8,"coding"
"PDGFRB",43,20,23,0,1,8,"coding"
"PLCG2",74,53,21,0,1,8,"coding"
"PLD1",27,23,4,0,1,8,"coding"
"POLR2B",24,23,1,0,1,8,"coding"
"PPL",25,22,3,0,1,8,"coding"
"PRKD2",26,22,4,0,1,8,"coding"
"PTK2",81,48,33,0,1,8,"coding"
"PTPN12",42,39,3,0,1,8,"coding"
"PTPRC",38,20,18,0,1,8,"coding"
"RFC1",25,21,4,0,1,8,"coding"
"RFX3",28,26,2,0,1,8,"coding"
"ROCK1",44,39,5,0,1,8,"coding"
"SOS2",22,18,4,0,1,8,"coding"
"SYNCRIP",90,88,2,0,1,8,"coding"
"TEK",18,8,10,0,1,8,"coding"
"TGFBI",16,13,3,0,1,8,"coding"
"THBS1",92,80,12,0,1,8,"coding"
"TJP1",54,41,13,0,1,8,"coding"
"TYK2",23,12,11,0,1,8,"coding"
"VAV3",109,101,8,0,1,8,"coding"
"XPOT",57,54,3,0,1,8,"coding"
"ACTN4",43,34,9,0,1,7,"coding"
"ADAM15",13,12,1,0,1,7,"coding"
"AR",557,71,486,0,1,7,"coding"
"AXIN1",39,18,21,0,1,7,"coding"
"AXL",42,29,13,0,1,7,"coding"
"BCAR1",44,33,11,0,1,7,"coding"
"BTK",49,8,41,0,1,7,"coding"
"CHGB",10,5,5,0,1,7,"coding"
"CHM",10,9,1,0,1,7,"coding"
"CRMP1",47,22,25,0,1,7,"coding"
"DNM1",27,19,8,0,1,7,"coding"
"DNM2",48,31,17,0,1,7,"coding"
"DPP4",17,9,8,0,1,7,"coding"
"FEZ1",26,9,17,0,1,7,"coding"
"FMR1",35,33,2,0,1,7,"coding"
"GDF9",23,5,18,0,1,7,"coding"
"HDAC4",47,42,5,0,1,7,"coding"
"IGF1R",152,132,20,0,1,7,"coding"
"IL16",20,14,6,0,1,7,"coding"
"ITGAV",41,31,10,0,1,7,"coding"
"JAK2",67,29,38,0,1,7,"coding"
"JUP",26,19,7,0,1,7,"coding"
"MCM7",65,54,11,0,1,7,"coding"
"MEIS1",46,36,10,0,1,7,"coding"
"PHC2",26,21,5,0,1,7,"coding"
"PIGR",26,23,3,0,1,7,"coding"
"PLA2G4A",33,23,10,0,1,7,"coding"
"PLG",7,5,2,0,1,7,"coding"
"POLR2A",78,66,12,0,1,7,"coding"
"PRKCB",49,34,15,0,1,7,"coding"
"PTK2B",49,23,26,0,1,7,"coding"
"RHOA",59,39,20,0,1,7,"coding"
"SERPINC1",15,13,2,0,1,7,"coding"
"SMG5",13,12,1,0,1,7,"coding"
"SOX5",37,35,2,0,1,7,"coding"
"SPTBN4",27,20,7,0,1,7,"coding"
"TCF7L2",156,50,106,0,1,7,"coding"
"TGM2",24,13,11,0,1,7,"coding"
"TP53BP2",40,35,5,0,1,7,"coding"
"TRIM24",44,34,10,0,1,7,"coding"
"UPF2",29,18,11,0,1,7,"coding"
"VAV1",47,31,16,0,1,7,"coding"
"VCAM1",31,28,3,0,1,7,"coding"
"WRN",20,17,3,0,1,7,"coding"
"WWP1",33,29,4,0,1,7,"coding"
"ZNF76",31,12,19,0,1,7,"coding"
"ABL2",51,48,3,0,1,6,"coding"
"ACTN1",49,37,12,0,1,6,"coding"
"ADRBK1",35,20,15,0,1,6,"coding"
"AGAP2",9,8,1,0,1,6,"coding"
"AP2A1",30,22,8,0,1,6,"coding"
"APLP1",22,15,7,0,1,6,"coding"
"ARHGEF11",14,9,5,0,1,6,"coding"
"ATF7IP",81,58,23,0,1,6,"coding"
"BLK",6,3,3,0,1,6,"coding"
"CLTC",93,78,15,0,1,6,"coding"
"CNKSR1",6,4,2,0,1,6,"coding"
"COL4A3",31,23,8,0,1,6,"coding"
"CSE1L",52,50,2,0,1,6,"coding"
"DISC1",30,27,3,0,1,6,"coding"
"DLGAP1",15,8,7,0,1,6,"coding"
"EBF1",208,34,174,0,1,6,"coding"
"ENAH",52,43,9,0,1,6,"coding"
"EPHB2",36,27,9,0,1,6,"coding"
"EXOC7",24,19,5,0,1,6,"coding"
"FLI1",249,29,220,0,1,6,"coding"
"GNAZ",8,5,3,0,1,6,"coding"
"GNB2L1",47,37,10,0,1,6,"coding"
"GRIN2D",26,17,9,0,1,6,"coding"
"GSK3A",21,20,1,0,1,6,"coding"
"HGS",37,18,19,0,1,6,"coding"
"HSPA8",79,56,23,0,1,6,"coding"
