"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACP1",29,23,6,0,1,NA,"coding"
"ACTC1",18,8,10,0,1,NA,"coding"
"ACVR1",76,52,24,0,1,NA,"coding"
"APOA2",2,1,1,0,1,NA,"coding"
"ARL4D",22,20,2,0,1,NA,"coding"
"ARPC3",19,15,4,0,1,NA,"coding"
"ASIP",4,3,1,0,1,NA,"coding"
"ATP5J2",13,10,3,0,1,NA,"coding"
"AVP",6,4,2,0,1,NA,"coding"
"BCL2",97,79,18,0,1,NA,"coding"
"C14orf1",33,23,10,0,1,NA,"coding"
"C1QBP",23,20,3,0,1,NA,"coding"
"C1QTNF1",6,4,2,0,1,NA,"coding"
"CALM1",95,72,23,0,1,NA,"coding"
"CAMLG",26,21,5,0,1,NA,"coding"
"CAPNS1",17,11,6,0,1,NA,"coding"
"CBR3",3,2,1,0,1,NA,"coding"
"CCDC85B",90,74,16,0,1,NA,"coding"
"CCL25",2,1,1,0,1,NA,"coding"
"CCL3",13,12,1,0,1,NA,"coding"
"CCL4",8,3,5,0,1,NA,"coding"
"CCL5",30,23,7,0,1,NA,"coding"
"CD247",20,6,14,0,1,NA,"coding"
"CD81",25,20,5,0,1,NA,"coding"
"CDC42",73,44,29,0,1,NA,"coding"
"CDK9",43,31,12,0,1,NA,"coding"
"CEBPG",47,40,7,0,1,NA,"coding"
"CHMP1B",28,26,2,0,1,NA,"coding"
"CHMP4A",6,3,3,0,1,NA,"coding"
"CIB1",12,9,3,0,1,NA,"coding"
"CNOT7",25,22,3,0,1,NA,"coding"
"CSK",38,29,9,0,1,NA,"coding"
"CSNK2B",77,30,47,0,1,NA,"coding"
"CXCL13",9,7,2,0,1,NA,"coding"
"CYCS",73,71,2,0,1,NA,"coding"
"DAZAP2",103,93,10,0,1,NA,"coding"
"DUSP23",15,9,6,0,1,NA,"coding"
"DVL2",31,20,11,0,1,NA,"coding"
"DYNLL1",43,31,12,0,1,NA,"coding"
"DYNLL2",53,51,2,0,1,NA,"coding"
"E2F2",98,83,15,0,1,NA,"coding"
"EBI3",10,9,1,0,1,NA,"coding"
"EIF4EBP1",49,43,6,0,1,NA,"coding"
"EVL",18,14,4,0,1,NA,"coding"
"FADD",26,14,12,0,1,NA,"coding"
"FCER1G",11,4,7,0,1,NA,"coding"
"FOSL1",112,29,83,0,1,NA,"coding"
"FOXA2",141,3,138,0,1,NA,"coding"
"FYN",162,91,71,0,1,NA,"coding"
"GABARAPL2",11,10,1,0,1,NA,"coding"
"GADD45A",37,25,12,0,1,NA,"coding"
"GADD45G",36,21,15,0,1,NA,"coding"
"GAS1",27,25,2,0,1,NA,"coding"
"GATA6",129,90,39,0,1,NA,"coding"
"GNA15",10,5,5,0,1,NA,"coding"
"GNG13",5,4,1,0,1,NA,"coding"
"GRB2",133,67,66,0,1,NA,"coding"
"H2AFX",44,38,6,0,1,NA,"coding"
"HLA-DRA",13,10,3,0,1,NA,"coding"
"HMGCL",5,4,1,0,1,NA,"coding"
"HOXB7",7,5,2,0,1,NA,"coding"
"HSPA1A",49,36,13,0,1,NA,"coding"
"HSPA1B",26,24,2,0,1,NA,"coding"
"IGF1",92,90,2,0,1,NA,"coding"
"IGF2",62,55,7,0,1,NA,"coding"
"IL2",9,7,2,0,1,NA,"coding"
"IRS2",46,39,7,0,1,NA,"coding"
"KLF2",50,46,4,0,1,NA,"coding"
"LEF1",32,17,15,0,1,NA,"coding"
"LSM2",10,3,7,0,1,NA,"coding"
"LSM7",15,4,11,0,1,NA,"coding"
"LTB",10,8,2,0,1,NA,"coding"
"MAFG",42,36,6,0,1,NA,"coding"
"MAP1LC3B",33,28,5,0,1,NA,"coding"
"MAPK11",12,10,2,0,1,NA,"coding"
"MAPK12",16,7,9,0,1,NA,"coding"
"MDFI",66,56,10,0,1,NA,"coding"
"MED31",30,25,5,0,1,NA,"coding"
"MED9",17,12,5,0,1,NA,"coding"
"MTA1",24,19,5,0,1,NA,"coding"
"MVD",6,5,1,0,1,NA,"coding"
"NEDD8",15,8,7,0,1,NA,"coding"
"NFYA",218,48,170,0,1,NA,"coding"
"NKX2-1",19,3,16,0,1,NA,"coding"
"NME1",22,17,5,0,1,NA,"coding"
"NPM1",37,29,8,0,1,NA,"coding"
"PAFAH1B2",55,53,2,0,1,NA,"coding"
"PBX2",13,10,3,0,1,NA,"coding"
"PCNA",82,71,11,0,1,NA,"coding"
"PFN1",52,39,13,0,1,NA,"coding"
"PFN2",56,49,7,0,1,NA,"coding"
"PIN1",59,39,20,0,1,NA,"coding"
"PLA2G10",4,3,1,0,1,NA,"coding"
"PLSCR1",61,36,25,0,1,NA,"coding"
"POLR2E",28,24,4,0,1,NA,"coding"
"POMC",8,5,3,0,1,NA,"coding"
"PPIA",32,27,5,0,1,NA,"coding"
"PPP1CA",36,30,6,0,1,NA,"coding"
"PPP1CC",50,47,3,0,1,NA,"coding"
"PRMT1",33,20,13,0,1,NA,"coding"
"PRSS23",33,25,8,0,1,NA,"coding"
"PRTN3",7,6,1,0,1,NA,"coding"
"PSME3",51,44,7,0,1,NA,"coding"
"PXN",52,28,24,0,1,NA,"coding"
"RAB17",17,13,4,0,1,NA,"coding"
"RAB5B",68,64,4,0,1,NA,"coding"
"RAC1",74,42,32,0,1,NA,"coding"
"RASSF1",21,13,8,0,1,NA,"coding"
"RBL2",42,36,6,0,1,NA,"coding"
"RBPMS",36,33,3,0,1,NA,"coding"
"RGS19",20,12,8,0,1,NA,"coding"
"RGS2",34,13,21,0,1,NA,"coding"
"RHOG",22,17,5,0,1,NA,"coding"
"RIBC2",12,4,8,0,1,NA,"coding"
"RING1",15,12,3,0,1,NA,"coding"
"RIT1",12,10,2,0,1,NA,"coding"
"RNF11",84,64,20,0,1,NA,"coding"
"RNF216",19,15,4,0,1,NA,"coding"
"RNF4",33,32,1,0,1,NA,"coding"
"S100A4",7,5,2,0,1,NA,"coding"
"SDCBP",45,38,7,0,1,NA,"coding"
"SGTA",14,8,6,0,1,NA,"coding"
"SIAH2",24,22,2,0,1,NA,"coding"
"SLC9A3R2",41,34,7,0,1,NA,"coding"
"SMN1",70,29,41,0,1,NA,"coding"
"SNIP1",46,41,5,0,1,NA,"coding"
"SNRPD3",42,34,8,0,1,NA,"coding"
"STMN2",16,13,3,0,1,NA,"coding"
"SUMO2",52,43,9,0,1,NA,"coding"
"SUMO4",27,9,18,0,1,NA,"coding"
"SYNJ2BP",46,42,4,0,1,NA,"coding"
"TAF10",23,12,11,0,1,NA,"coding"
"TCEB2",14,8,6,0,1,NA,"coding"
"TGOLN2",56,52,4,0,1,NA,"coding"
"TLX1",44,21,23,0,1,NA,"coding"
"TNFRSF14",24,14,10,0,1,NA,"coding"
"TNFRSF4",7,1,6,0,1,NA,"coding"
"TNFSF10",11,10,1,0,1,NA,"coding"
"TNFSF11",26,15,11,0,1,NA,"coding"
"TNFSF12",4,3,1,0,1,NA,"coding"
"TTR",11,7,4,0,1,NA,"coding"
"TUBB2A",43,40,3,0,1,NA,"coding"
"TYROBP",8,6,2,0,1,NA,"coding"
"UBB",41,24,17,0,1,NA,"coding"
"UBD",4,3,1,0,1,NA,"coding"
"VHL",33,27,6,0,1,NA,"coding"
"VTA1",44,38,6,0,1,NA,"coding"
"WNT1",21,18,3,0,1,NA,"coding"
"YWHAE",77,58,19,0,1,NA,"coding"
"YWHAQ",95,79,16,0,1,NA,"coding"
"ZBTB7A",330,115,215,0,1,NA,"coding"
