"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",82,61,21,0,1
"SYNCRIP",90,88,2,0,1
"A2M",26,8,18,0,1
"ATF7IP",81,58,23,0,1
"CDKN1A",120,101,19,0,1
"H2AFX",44,38,6,0,1
"HMOX2",23,11,12,0,1
"KLK2",22,21,1,0,1
"KLK3",10,4,6,0,1
"NUDT21",41,31,10,0,1
"SMN1",70,29,41,0,1
"TGFBI",16,13,3,0,1
"TK1",123,89,34,0,1
"MAP1LC3B",33,28,5,0,1
"MDFI",66,56,10,0,1
"RB1",145,121,24,0,1
"ABCA1",48,40,8,0,1
"CSNK2A1",138,109,29,0,1
"FADD",26,14,12,0,1
"MPP6",46,41,5,0,1
"RDX",56,50,6,0,1
"STX1A",24,15,9,0,1
"ABL1",91,51,40,0,1
"HSPA8",79,56,23,0,1
"MINK1",53,48,5,0,1
"NCK2",39,29,10,0,1
"SOS1",65,45,20,0,1
"SOS2",22,18,4,0,1
"WASF1",26,22,4,0,1
"KRT15",33,29,4,0,1
"ATM",38,20,18,0,1
"BCAR1",44,33,11,0,1
"CASP9",37,27,10,0,1
"CAV1",103,68,35,0,1
"CDK5",32,24,8,0,1
"CRK",94,67,27,0,1
"MAPT",58,45,13,0,1
"MDM2",123,111,12,0,1
"POLR2A",78,66,12,0,1
"PRKD1",32,25,7,0,1
"PRKDC",64,55,9,0,1
"PTPN12",42,39,3,0,1
"RAD51",88,81,7,0,1
"RAD52",10,8,2,0,1
"RAN",88,75,13,0,1
"SFN",19,14,5,0,1
"XRCC6",62,42,20,0,1
"YWHAE",77,58,19,0,1
"YWHAG",233,185,48,0,1
"YWHAZ",197,134,63,0,1
"ABL2",51,48,3,0,1
"ATXN1",160,128,32,0,1
"USP7",41,37,4,0,1
"ACP1",29,23,6,0,1
"CTNNB1",101,77,24,0,1
"FYN",162,91,71,0,1
"INSR",75,42,33,0,1
"SPTAN1",28,17,11,0,1
"PPP2CB",22,21,1,0,1
"CFL1",23,17,6,0,1
"GSN",30,22,8,0,1
"MYLK",65,60,5,0,1
"PFN1",52,39,13,0,1
"PRKCE",51,40,11,0,1
"S100A4",7,5,2,0,1
"VCL",120,84,36,0,1
"ACTB",128,97,31,0,1
"BCL2L1",72,62,10,0,1
"CSNK1A1",93,82,11,0,1
"EMD",21,17,4,0,1
"PFDN1",27,19,8,0,1
"RCC1",40,32,8,0,1
"ACTC1",18,8,10,0,1
"ACTN4",43,34,9,0,1
"DMD",57,52,5,0,1
"DYNLL1",43,31,12,0,1
"MAPK6",126,86,40,0,1
"PDPK1",96,83,13,0,1
"PFN2",56,49,7,0,1
"PIP4K2C",35,29,6,0,1
"PLD1",27,23,4,0,1
"RPS6KA5",68,60,8,0,1
"SH3GL2",14,10,4,0,1
"ACTN1",49,37,12,0,1
"COIL",52,45,7,0,1
"PKN1",24,20,4,0,1
"ACTN2",18,12,6,0,1
"CAMK2A",36,28,8,0,1
"DCTN1",19,13,6,0,1
"CHD3",66,49,17,0,1
"CDC42",73,44,29,0,1
"CTTN",24,20,4,0,1
"ACVR1",76,52,24,0,1
"AP2B1",56,45,11,0,1
"IKBKB",44,34,10,0,1
"RAB17",17,13,4,0,1
"RAP2A",40,32,8,0,1
"STX8",11,9,2,0,1
"ACVR1B",59,53,6,0,1
"TGFBRAP1",16,13,3,0,1
"ACVR2A",46,44,2,0,1
"SYNJ2BP",46,42,4,0,1
"TGFB1",35,23,12,0,1
"TGFBR1",128,77,51,0,1
"TGFBR2",107,91,16,0,1
"GRB2",133,67,66,0,1
"SH3D19",52,50,2,0,1
"TGFA",35,31,4,0,1
"ADAM15",13,12,1,0,1
"MAD2L1",28,23,5,0,1
"NOTCH1",52,46,6,0,1
"TNFSF11",26,15,11,0,1
"RYR1",16,7,9,0,1
"MAD2L2",8,4,4,0,1
"PRKCD",67,43,24,0,1
"FN1",94,76,18,0,1
"PRKCA",145,75,70,0,1
"RAF1",73,45,28,0,1
"CALM1",95,72,23,0,1
"APPL1",36,29,7,0,1
"CFH",10,8,2,0,1
"ADORA1",6,3,3,0,1
"GNAZ",8,5,3,0,1
"GRM1",11,6,5,0,1
"CYTH2",28,22,6,0,1
"SLC9A3R2",41,34,7,0,1
"FLNC",27,20,7,0,1
"RGS2",34,13,21,0,1
"EIF2B1",15,12,3,0,1
"GNAI2",62,55,7,0,1
"GNAO1",19,9,10,0,1
"DLG4",76,33,43,0,1
"GIPC1",29,20,9,0,1
"ADRB2",30,16,14,0,1
"ARR3",8,4,4,0,1
"ARRB1",59,38,21,0,1
"CSK",38,29,9,0,1
"GNA11",23,18,5,0,1
"GPRASP1",31,11,20,0,1
"GRK5",32,23,9,0,1
"SLC9A3R1",44,24,20,0,1
"SRC",104,49,55,0,1
"ADRBK1",35,20,15,0,1
"CAPN2",14,8,6,0,1
"CSNK2B",77,30,47,0,1
"GIT1",49,34,15,0,1
"MAPK3",70,60,10,0,1
"PEBP1",31,29,2,0,1
"PRKCB",49,34,15,0,1
"ADRBK2",37,35,2,0,1
"CXCR4",24,14,10,0,1
"GTF2E1",20,19,1,0,1
"HMGB1",61,59,2,0,1
"PRKCZ",49,24,25,0,1
"ATXN1L",71,59,12,0,1
"AFF1",65,55,10,0,1
"SIAH2",24,22,2,0,1
"SGSM2",28,21,7,0,1
"UBE3A",55,49,6,0,1
"AGAP2",9,8,1,0,1
"AGFG1",49,45,4,0,1
"CCDC85B",90,74,16,0,1
"BRD7",37,33,4,0,1
"CCDC90B",16,13,3,0,1
"MED31",30,25,5,0,1
"EWSR1",64,35,29,0,1
"ARRB2",40,22,18,0,1
"EGFR",158,99,59,0,1
"HRAS",54,30,24,0,1
"JAK2",67,29,38,0,1
"AHR",75,44,31,0,1
"ARNT",40,20,20,0,1
"EP300",179,155,24,0,1
"NCOA1",99,63,36,0,1
"NCOA2",67,51,16,0,1
"SMARCA4",46,28,18,0,1
"AIP",11,10,1,0,1
"AK5",5,4,1,0,1
"PRKAR2A",45,38,7,0,1
"AKAP10",28,23,5,0,1
"PRKAR1A",59,41,18,0,1
"GSK3B",141,96,45,0,1
"YWHAB",114,81,33,0,1
"KPNB1",84,67,17,0,1
"PRPF40A",74,55,19,0,1
"AKAP9",40,36,4,0,1
"AKT1",83,50,33,0,1
"CHUK",53,35,18,0,1
"HSP90AB1",49,44,5,0,1
"HTT",68,52,16,0,1
"BCL2A1",6,4,2,0,1
"HSP90AA1",99,70,29,0,1
"IMMT",37,21,16,0,1
"LUC7L2",45,36,9,0,1
"IGSF21",17,11,6,0,1
"XRN1",51,45,6,0,1
"PTN",49,17,32,0,1
"CRMP1",47,22,25,0,1
"AMOTL2",38,36,2,0,1
"CLTC",93,78,15,0,1
"DNM1",27,19,8,0,1
"TEK",18,8,10,0,1
"ANK3",20,18,2,0,1
"HDAC4",47,42,5,0,1
"LRP2",29,13,16,0,1
"ANXA1",21,12,9,0,1
"COPS6",59,38,21,0,1
"TGM2",24,13,11,0,1
"UNC119",54,24,30,0,1
"ANXA11",30,27,3,0,1
"PLSCR1",61,36,25,0,1
"S100A6",5,4,1,0,1
"EED",39,35,4,0,1
"C14orf1",33,23,10,0,1
"VIM",105,73,32,0,1
"DVL2",31,20,11,0,1
"FXR2",36,24,12,0,1
"AP1S1",22,20,2,0,1
"AP2A1",30,22,8,0,1
"BIN1",19,13,6,0,1
"RIT1",12,10,2,0,1
"AP2M1",36,32,4,0,1
"MEGF10",11,8,3,0,1
"AP3B1",38,33,5,0,1
"ARF1",41,29,12,0,1
"XPOT",57,54,3,0,1
"TGOLN2",56,52,4,0,1
"CASP3",127,71,56,0,1
"HSPA1A",49,36,13,0,1
"APP",93,63,30,0,1
"APLP2",21,20,1,0,1
"SIAH1",29,26,3,0,1
"COL4A1",34,28,6,0,1
"HDAC1",73,56,17,0,1
"PCNA",82,71,11,0,1
"UBE2I",80,67,13,0,1
"CALCOCO2",37,30,7,0,1
"APLP1",22,15,7,0,1
"SETDB1",67,53,14,0,1
"APOA1",17,7,10,0,1
"TTR",11,7,4,0,1
"APOA2",2,1,1,0,1
"APOB",12,5,7,0,1
"KPNA2",77,72,5,0,1
"LRP1",55,39,16,0,1
"PLG",7,5,2,0,1
"COL4A2",36,30,6,0,1
"HSPG2",35,28,7,0,1
