"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-130a-5p",749,26,723,0,1,NA,"non-coding"
"hsa-miR-141-5p",432,44,388,0,1,NA,"non-coding"
"hsa-miR-142-5p",651,38,613,0,1,NA,"non-coding"
"hsa-miR-181a-5p",657,42,615,0,1,NA,"non-coding"
"hsa-miR-214-5p",225,20,205,0,1,NA,"non-coding"
"hsa-miR-222-5p",329,15,314,0,1,NA,"non-coding"
"hsa-miR-223-5p",215,33,182,0,1,NA,"non-coding"
"hsa-miR-23a-5p",802,53,749,0,1,NA,"non-coding"
"hsa-miR-338-5p",231,17,214,0,1,NA,"non-coding"
"hsa-miR-342-5p",314,35,279,0,1,NA,"non-coding"
"hsa-miR-3614-5p",110,66,44,0,1,NA,"non-coding"
"hsa-miR-3648",123,119,4,0,1,NA,"non-coding"
"hsa-miR-429",337,22,315,0,1,NA,"non-coding"
"hsa-miR-4473",33,23,10,0,1,NA,"non-coding"
"hsa-miR-4757-5p",10,8,2,0,1,NA,"non-coding"
"hsa-miR-663a",116,88,28,0,1,NA,"non-coding"
"hsa-miR-9-5p",692,50,642,0,1,NA,"non-coding"
