"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"TTN",12,8,4,0,1,293,"coding"
"MAP2K4",50,43,7,0,1,33,"coding"
"RYR1",8,4,4,0,1,30,"coding"
"PRKDC",69,61,8,0,1,26,"coding"
"ZFHX3",106,105,1,0,1,21,"coding"
"SF3B1",49,43,6,0,1,18,"coding"
"CACNA1C",71,70,1,0,1,17,"coding"
"POLA1",16,13,3,0,1,16,"coding"
"SPTAN1",25,19,6,0,1,16,"coding"
"CBLB",46,38,8,0,1,15,"coding"
"CNKSR2",32,31,1,0,1,15,"coding"
"DLG1",39,17,22,0,1,15,"coding"
"MPDZ",17,12,5,0,1,15,"coding"
"RANBP2",62,51,11,0,1,14,"coding"
"ARHGEF12",54,48,6,0,1,13,"coding"
"GNAS",57,54,3,0,1,13,"coding"
"NOS1",18,13,5,0,1,13,"coding"
"PLCB1",26,22,4,0,1,13,"coding"
"CNTNAP2",26,24,2,0,1,12,"coding"
"HTATSF1",9,7,2,0,1,12,"coding"
"MYB",364,33,331,0,1,12,"coding"
"PTPRZ1",15,11,4,0,1,12,"coding"
"TCF12",310,26,284,0,1,12,"coding"
"AP3B1",41,38,3,0,1,11,"coding"
"MAP1B",106,98,8,0,1,11,"coding"
"PRKCQ",14,9,5,0,1,11,"coding"
"RET",29,19,10,0,1,11,"coding"
"AFF1",88,77,11,0,1,10,"coding"
"BMX",8,7,1,0,1,10,"coding"
"HIPK2",46,43,3,0,1,10,"coding"
"IL1RAP",41,33,8,0,1,10,"coding"
"ITSN1",59,51,8,0,1,10,"coding"
"PROX1",59,47,12,0,1,10,"coding"
"RIC8A",27,25,2,0,1,10,"coding"
"SATB1",68,62,6,0,1,10,"coding"
"SMC1A",74,67,7,0,1,10,"coding"
"TRAK2",32,30,2,0,1,10,"coding"
"CUL9",8,6,2,0,1,9,"coding"
"ETV5",45,27,18,0,1,9,"coding"
"RFX4",9,8,1,0,1,9,"coding"
"RGS3",17,14,3,0,1,9,"coding"
"RPS6KA3",112,102,10,0,1,9,"coding"
"RTN4",45,39,6,0,1,9,"coding"
"CACHD1",19,18,1,0,1,8,"coding"
"CREB3L3",5,2,3,0,1,8,"coding"
"ELN",25,23,2,0,1,8,"coding"
"IARS",31,30,1,0,1,8,"coding"
