"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"APEH",5,4,1,0,1,NA,"coding"
"ARPC3",22,21,1,0,1,NA,"coding"
"BTBD2",27,25,2,0,1,NA,"coding"
"CD247",19,6,13,0,1,NA,"coding"
"CD79A",12,7,5,0,1,NA,"coding"
"CD82",18,9,9,0,1,NA,"coding"
"CHMP1B",46,44,2,0,1,NA,"coding"
"CSK",37,30,7,0,1,NA,"coding"
"CXCL13",8,6,2,0,1,NA,"coding"
"CYCS",83,82,1,0,1,NA,"coding"
"DHFR",11,9,2,0,1,NA,"coding"
"DYNLL2",75,73,2,0,1,NA,"coding"
"E2F2",108,97,11,0,1,NA,"coding"
"EIF4EBP1",54,51,3,0,1,NA,"coding"
"FOXA2",204,3,201,0,1,NA,"coding"
"FOXF2",40,37,3,0,1,NA,"coding"
"HCST",2,1,1,0,1,NA,"coding"
"HMGCL",5,4,1,0,1,NA,"coding"
"HRK",56,55,1,0,1,NA,"coding"
"HSPA1B",39,38,1,0,1,NA,"coding"
"IGF1",119,117,2,0,1,NA,"coding"
"IKBKG",47,42,5,0,1,NA,"coding"
"IRS2",45,40,5,0,1,NA,"coding"
"MAFG",52,48,4,0,1,NA,"coding"
"MAPK12",13,6,7,0,1,NA,"coding"
"MVD",8,7,1,0,1,NA,"coding"
"PLSCR1",56,40,16,0,1,NA,"coding"
"PPP1CC",67,64,3,0,1,NA,"coding"
"PRSS23",31,28,3,0,1,NA,"coding"
"RBPJ",135,59,76,0,1,NA,"coding"
"RGS19",22,14,8,0,1,NA,"coding"
"RGS2",27,14,13,0,1,NA,"coding"
"RIT1",21,19,2,0,1,NA,"coding"
"RNF216",26,24,2,0,1,NA,"coding"
"S100A10",13,12,1,0,1,NA,"coding"
"SAA1",9,6,3,0,1,NA,"coding"
"TGOLN2",73,70,3,0,1,NA,"coding"
"TNFRSF13C",49,47,2,0,1,NA,"coding"
"TNFSF11",20,17,3,0,1,NA,"coding"
"TNFSF12",4,3,1,0,1,NA,"coding"
"TYROBP",7,5,2,0,1,NA,"coding"
"UBE2G2",30,29,1,0,1,NA,"coding"
"VASP",29,25,4,0,1,NA,"coding"
"VTA1",49,45,4,0,1,NA,"coding"
"WNT1",20,19,1,0,1,NA,"coding"
