"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",65,52,13,0,1
"TK1",82,56,26,0,1
"A2M",12,4,8,0,1
"C11orf58",35,33,2,0,1
"MYOC",22,8,14,0,1
"RPP14",70,69,1,0,1
"TGFBI",27,24,3,0,1
"GABARAPL2",15,13,2,0,1
"MAP1LC3B",49,44,5,0,1
"MDFI",49,45,4,0,1
"RB1",125,106,19,0,1
"ABCA1",49,44,5,0,1
"MPP6",25,21,4,0,1
"STX1A",26,19,7,0,1
"ABCF3",27,26,1,0,1
"ABL1",60,45,15,0,1
"NIN",36,33,3,0,1
"KRT15",29,25,4,0,1
"BCAR1",35,27,8,0,1
"CRK",129,111,18,0,1
"HCK",38,26,12,0,1
"MDM2",138,129,9,0,1
"YWHAB",95,79,16,0,1
"YWHAE",73,60,13,0,1
"YWHAZ",175,140,35,0,1
"ABL2",97,94,3,0,1
"CALCOCO2",58,49,9,0,1
"VIM",100,75,25,0,1
"YWHAG",215,180,35,0,1
"CSNK2A1",143,118,25,0,1
"CSNK2A2",34,28,6,0,1
"FBLN1",16,11,5,0,1
"FBLN2",29,24,5,0,1
"APP",130,99,31,0,1
"ACIN1",33,30,3,0,1
"ACP1",35,29,6,0,1
"CTNNB1",110,88,22,0,1
"FYN",125,79,46,0,1
"INSR",77,48,29,0,1
"ACTA1",28,17,11,0,1
"GSN",28,25,3,0,1
"PAK1",47,36,11,0,1
"PRKCE",47,36,11,0,1
"S100A4",6,5,1,0,1
"CFL1",24,19,5,0,1
"ACTB",104,91,13,0,1
"BCL2L1",56,50,6,0,1
"CDKN1A",99,92,7,0,1
"EMD",18,16,2,0,1
"H2AFX",47,42,5,0,1
"LMNA",22,19,3,0,1
"ACTC1",17,10,7,0,1
"DYNLL1",34,24,10,0,1
"GAPDH",57,43,14,0,1
"PDPK1",106,99,7,0,1
"WIPF1",25,22,3,0,1
"ATF7IP",92,80,12,0,1
"PFN2",62,52,10,0,1
"PIP4K2C",40,36,4,0,1
"PLD1",24,20,4,0,1
"ARHGDIA",61,59,2,0,1
"POLR2A",78,68,10,0,1
"ACTN1",43,34,9,0,1
"CDK5",31,24,7,0,1
"SLC2A4",31,29,2,0,1
"ACTN4",53,46,7,0,1
"DCTN1",16,12,4,0,1
"CHD3",63,51,12,0,1
"CDC42",62,44,18,0,1
"CDH1",49,35,14,0,1
"ACVR1",37,29,8,0,1
"RAB25",11,9,2,0,1
"ACVR2A",63,60,3,0,1
"GDF9",23,9,14,0,1
"SNX1",45,40,5,0,1
"SYNJ2BP",73,69,4,0,1
