"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",46,30,16,0,1
"TK1",70,42,28,0,1
"A2M",11,3,8,0,1
"MYOC",21,7,14,0,1
"RPP14",12,11,1,0,1
"GABARAPL2",10,8,2,0,1
"MAP1LC3B",27,22,5,0,1
"MDFI",35,30,5,0,1
"RB1",94,73,21,0,1
"ABCA1",22,17,5,0,1
"MPP6",10,5,5,0,1
"STX1A",21,14,7,0,1
"ABCF3",3,2,1,0,1
"ABL1",30,15,15,0,1
"NIN",6,3,3,0,1
"SOS1",29,12,17,0,1
"KRT15",27,23,4,0,1
"BCAR1",29,21,8,0,1
"CRK",39,20,19,0,1
"HCK",41,27,14,0,1
"MDM2",28,19,9,0,1
"YWHAB",47,30,17,0,1
"YWHAE",25,11,14,0,1
"YWHAZ",50,14,36,0,1
"CALCOCO2",31,22,9,0,1
"VIM",81,55,26,0,1
"YWHAG",173,135,38,0,1
"CSNK2A1",83,58,25,0,1
"CSNK2A2",23,17,6,0,1
"FBLN1",13,8,5,0,1
"AGT",9,5,4,0,1
"APP",66,35,31,0,1
"ACIN1",10,7,3,0,1
"ACP1",14,8,6,0,1
"CTNNB1",71,49,22,0,1
"FYN",97,46,51,0,1
"INSR",54,22,32,0,1
"SHBG",9,3,6,0,1
"ACTA1",19,8,11,0,1
"GSN",12,9,3,0,1
"PAK1",35,24,11,0,1
"PRKCE",21,10,11,0,1
"S100A4",4,3,1,0,1
"TPM3",7,5,2,0,1
"CFL1",13,7,6,0,1
"ACTB",44,30,14,0,1
"BCL2L1",27,21,6,0,1
"CDKN1A",42,33,9,0,1
"EMD",7,5,2,0,1
"H2AFX",11,6,5,0,1
"LMNA",10,7,3,0,1
"ACTC1",10,3,7,0,1
"DYNLL1",28,17,11,0,1
"GAPDH",39,25,14,0,1
"PDPK1",45,37,8,0,1
"ATF7IP",24,12,12,0,1
"PLD1",10,6,4,0,1
"ARHGDIA",21,18,3,0,1
"POLR2A",45,35,10,0,1
"ACTN1",28,18,10,0,1
"CDK5",29,22,7,0,1
"MAGEA11",9,4,5,0,1
"ACTN4",17,10,7,0,1
"DCTN1",12,7,5,0,1
"CHD3",47,35,12,0,1
"CDC42",36,17,19,0,1
"CDH1",29,15,14,0,1
"ACVR1",19,10,9,0,1
"RAB25",5,3,2,0,1
"ACVR2A",18,15,3,0,1
"GDF9",24,8,16,0,1
"SNX1",10,5,5,0,1
"TGFB1",20,10,10,0,1
"TGFBR2",34,24,10,0,1
"ADAM10",11,10,1,0,1
"TGFA",18,15,3,0,1
"TNFSF11",12,7,5,0,1
"FN1",47,30,17,0,1
"PRKACA",54,19,35,0,1
"PRKCZ",48,29,19,0,1
"VIPR1",8,5,3,0,1
"CALM1",71,46,25,0,1
"PRKCD",44,20,24,0,1
"ADIPOQ",3,2,1,0,1
"APPL1",12,6,6,0,1
"EPB41L2",13,7,6,0,1
"GNAI2",35,25,10,0,1
"GNAZ",9,6,3,0,1
"EZR",28,14,14,0,1
"SLC9A3R2",15,6,9,0,1
"ADRA1A",6,2,4,0,1
"FLNC",7,4,3,0,1
"AP2M1",13,5,8,0,1
"SNTB1",10,7,3,0,1
"GNAI1",41,24,17,0,1
"EIF2B1",4,1,3,0,1
"DLG4",52,20,32,0,1
"GPRASP2",15,6,9,0,1
"MAGI3",11,9,2,0,1
"SH3GL3",14,6,8,0,1
"ADRB2",15,6,9,0,1
"GRK5",20,14,6,0,1
"SLC9A3R1",28,14,14,0,1
"SRC",117,60,57,0,1
"ADRBK1",17,7,10,0,1
"ARRB1",27,9,18,0,1
"GIT1",24,11,13,0,1
"CXCR4",14,9,5,0,1
"GTF2E1",10,8,2,0,1
"HMGB1",23,20,3,0,1
"SGSM2",12,6,6,0,1
"UBE3A",33,28,5,0,1
"EPS15",22,17,5,0,1
"CCDC85B",55,45,10,0,1
"BRD7",19,16,3,0,1
"MED31",27,24,3,0,1
"AGTR1",11,2,9,0,1
"CTSG",13,6,7,0,1
"EWSR1",42,23,19,0,1
"JAK2",35,16,19,0,1
"RAF1",54,32,22,0,1
"ARNT",19,8,11,0,1
"EP300",116,103,13,0,1
"NCOA1",51,28,23,0,1
"NCOA2",35,21,14,0,1
"AIFM1",4,3,1,0,1
"AIP",5,4,1,0,1
"AK5",2,1,1,0,1
"PPP1CA",22,16,6,0,1
"PRKAR2A",18,12,6,0,1
"AKAP10",8,5,3,0,1
"PRKAR1A",22,7,15,0,1
"GSK3B",63,32,31,0,1
"FHL1",18,14,4,0,1
"AKAP9",21,17,4,0,1
"PKN1",14,11,3,0,1
"AKT1",44,17,27,0,1
"ATXN1",58,29,29,0,1
"BAD",21,11,10,0,1
"CASP3",71,29,42,0,1
"CHUK",30,18,12,0,1
"HTT",28,20,8,0,1
"IKBKB",36,25,11,0,1
"PPP2CA",27,17,10,0,1
"PTEN",27,22,5,0,1
"HSP90AA1",53,24,29,0,1
"LUC7L2",38,28,10,0,1
"C14orf1",30,23,7,0,1
"IGSF21",7,5,2,0,1
"UNC119",42,22,20,0,1
"XRN1",15,11,4,0,1
"ATXN1L",20,12,8,0,1
"PTN",26,10,16,0,1
"SSSCA1",10,9,1,0,1
"CDK5R1",22,17,5,0,1
"DNM1",15,9,6,0,1
"MAPK6",65,33,32,0,1
"TEK",14,6,8,0,1
"ANK2",17,13,4,0,1
"DNAJB1",9,5,4,0,1
"L1CAM",9,4,5,0,1
"LRP2",23,10,13,0,1
"AURKB",9,6,3,0,1
"ANXA1",17,8,9,0,1
"XRCC6",32,13,19,0,1
"ANXA11",4,3,1,0,1
"S100A6",4,3,1,0,1
"EED",19,13,6,0,1
"APLP1",17,12,5,0,1
"CCDC90B",9,7,2,0,1
"CDK4",27,17,10,0,1
"RPL13",8,4,4,0,1
"SETDB1",66,50,16,0,1
"AP1M1",13,5,8,0,1
"AP2B1",26,15,11,0,1
"DVL2",24,12,12,0,1
"FXR2",17,9,8,0,1
"AP2A1",11,5,6,0,1
"MEGF10",9,7,2,0,1
"CLTC",26,13,13,0,1
"CSNK1A1",30,22,8,0,1
"HSPA1A",20,12,8,0,1
"APBA1",10,5,5,0,1
"KCNJ12",16,13,3,0,1
"PSEN1",35,15,20,0,1
"STXBP1",11,7,4,0,1
"CLSTN1",22,19,3,0,1
"CTBP1",23,17,6,0,1
"APCS",7,1,6,0,1
"COL4A1",21,15,6,0,1
"APEX1",21,15,6,0,1
"HDAC1",87,67,20,0,1
"PCNA",40,35,5,0,1
"UBE2I",57,43,14,0,1
"APOE",7,1,6,0,1
"LRP1",36,21,15,0,1
"BGN",7,5,2,0,1
"CASP8",32,13,19,0,1
"COL4A2",17,10,7,0,1
"HSPG2",22,16,6,0,1
