"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",53,44,9,0,1,381,"coding"
"CDH1",47,33,14,0,1,119,"coding"
"SYNE1",42,38,4,0,1,58,"coding"
"DMD",49,47,2,0,1,56,"coding"
"NCOR1",113,53,60,0,1,45,"coding"
"LRP2",19,11,8,0,1,39,"coding"
"MACF1",49,47,2,0,1,39,"coding"
"LRP1",48,36,12,0,1,33,"coding"
"AKAP9",37,33,4,0,1,27,"coding"
"FLNA",49,42,7,0,1,24,"coding"
"VCAN",71,61,10,0,1,24,"coding"
"ATM",53,36,17,0,1,23,"coding"
"ERBB2",37,30,7,0,1,23,"coding"
"RB1",122,106,16,0,1,23,"coding"
"FLNC",30,23,7,0,1,21,"coding"
"DSP",38,36,2,0,1,20,"coding"
"ERBB3",47,34,13,0,1,20,"coding"
"ANK1",45,43,2,0,1,19,"coding"
"BRCA2",18,13,5,0,1,19,"coding"
"HDAC6",8,5,3,0,1,18,"coding"
"PIK3R1",124,81,43,0,1,18,"coding"
"CTCF",434,33,401,0,1,17,"coding"
"CHD3",33,25,8,0,1,16,"coding"
"GOLGA4",48,46,2,0,1,16,"coding"
"HSPG2",37,31,6,0,1,16,"coding"
"PTPN13",21,17,4,0,1,16,"coding"
"SETDB1",62,53,9,0,1,16,"coding"
"SPTAN1",29,18,11,0,1,16,"coding"
"TLN1",82,76,6,0,1,16,"coding"
"ATN1",36,23,13,0,1,15,"coding"
"CBLB",44,37,7,0,1,15,"coding"
"CNKSR2",26,24,2,0,1,15,"coding"
"CREBBP",292,84,208,0,1,15,"coding"
"DLG1",48,23,25,0,1,15,"coding"
"ITPR1",58,48,10,0,1,15,"coding"
"MPDZ",13,9,4,0,1,15,"coding"
"EP300",164,143,21,0,1,14,"coding"
"HTT",65,52,13,0,1,14,"coding"
"NUP98",52,45,7,0,1,14,"coding"
"RANBP2",63,52,11,0,1,14,"coding"
"TOPBP1",32,30,2,0,1,14,"coding"
"ARHGEF12",57,51,6,0,1,13,"coding"
"ATR",23,17,6,0,1,13,"coding"
"CASP8",59,35,24,0,1,13,"coding"
"FN1",90,71,19,0,1,13,"coding"
"GNAS",56,50,6,0,1,13,"coding"
"NOS1",19,14,5,0,1,13,"coding"
"PJA1",11,10,1,0,1,13,"coding"
"PTPRF",76,71,5,0,1,13,"coding"
"ROBO2",49,44,5,0,1,13,"coding"
"ABCA1",55,49,6,0,1,12,"coding"
"CDKN1B",102,89,13,0,1,12,"coding"
"COL4A1",77,71,6,0,1,12,"coding"
"DDR2",41,38,3,0,1,12,"coding"
"IKBKAP",27,23,4,0,1,12,"coding"
"JAK1",78,49,29,0,1,12,"coding"
"PTCH1",29,28,1,0,1,12,"coding"
"PTPRB",44,41,3,0,1,12,"coding"
"SPTBN2",42,39,3,0,1,12,"coding"
"AP3B1",45,41,4,0,1,11,"coding"
"BACH2",94,72,22,0,1,11,"coding"
"CNTN1",20,18,2,0,1,11,"coding"
"GPRASP1",25,11,14,0,1,11,"coding"
"GPRASP2",19,12,7,0,1,11,"coding"
"INSR",70,48,22,0,1,11,"coding"
"MAP1B",111,104,7,0,1,11,"coding"
"MYLK",67,63,4,0,1,11,"coding"
"NFASC",31,29,2,0,1,11,"coding"
"NLGN3",12,9,3,0,1,11,"coding"
"PRKCQ",15,6,9,0,1,11,"coding"
"RET",23,15,8,0,1,11,"coding"
"XRN1",66,61,5,0,1,11,"coding"
"AFF1",77,69,8,0,1,10,"coding"
"COL17A1",8,3,5,0,1,10,"coding"
"GRM1",23,19,4,0,1,10,"coding"
"HIPK2",57,54,3,0,1,10,"coding"
"IL1RAP",37,29,8,0,1,10,"coding"
"ITSN1",63,55,8,0,1,10,"coding"
"MAGI2",34,31,3,0,1,10,"coding"
"MET",41,30,11,0,1,10,"coding"
"PROX1",64,51,13,0,1,10,"coding"
"SIN3A",69,64,5,0,1,10,"coding"
"SMC1A",80,73,7,0,1,10,"coding"
"UBR1",42,29,13,0,1,10,"coding"
"APP",92,80,12,0,1,9,"coding"
"ATXN1",185,157,28,0,1,9,"coding"
"CADPS2",11,9,2,0,1,9,"coding"
"CASK",50,40,10,0,1,9,"coding"
"CHUK",50,34,16,0,1,9,"coding"
"COL4A2",47,44,3,0,1,9,"coding"
"EWSR1",38,21,17,0,1,9,"coding"
"IL6ST",119,113,6,0,1,9,"coding"
"ITGB2",26,11,15,0,1,9,"coding"
"KIAA1377",40,19,21,0,1,9,"coding"
"MAGI3",40,38,2,0,1,9,"coding"
"NCOA3",105,93,12,0,1,9,"coding"
"NTRK1",19,2,17,0,1,9,"coding"
"PIK3CB",57,50,7,0,1,9,"coding"
"PRKCE",43,35,8,0,1,9,"coding"
"RGS3",19,14,5,0,1,9,"coding"
"RPS6KA3",90,82,8,0,1,9,"coding"
"RTN4",53,48,5,0,1,9,"coding"
"SMARCC1",62,46,16,0,1,9,"coding"
"STAT4",17,4,13,0,1,9,"coding"
"USP8",34,32,2,0,1,9,"coding"
"A2M",17,8,9,0,1,8,"coding"
"ABL1",74,50,24,0,1,8,"coding"
"ACTG1",48,38,10,0,1,8,"coding"
"ACVR1B",48,46,2,0,1,8,"coding"
"ARHGEF7",36,31,5,0,1,8,"coding"
"BMPR2",98,86,12,0,1,8,"coding"
"CAPN1",25,19,6,0,1,8,"coding"
"CAPN2",11,10,1,0,1,8,"coding"
"CREB3L3",6,3,3,0,1,8,"coding"
"DLG2",47,31,16,0,1,8,"coding"
"EEF1A1",60,44,16,0,1,8,"coding"
"EPB41L2",21,16,5,0,1,8,"coding"
"FBLN2",26,22,4,0,1,8,"coding"
"IARS",33,32,1,0,1,8,"coding"
"IRF3",29,12,17,0,1,8,"coding"
"KCNJ12",33,31,2,0,1,8,"coding"
"KDR",52,34,18,0,1,8,"coding"
"LIMK1",23,22,1,0,1,8,"coding"
"NOTCH1",36,32,4,0,1,8,"coding"
"NR1H2",56,12,44,0,1,8,"coding"
"NUAK1",46,40,6,0,1,8,"coding"
"PDGFRB",42,19,23,0,1,8,"coding"
"PLCG2",68,55,13,0,1,8,"coding"
"PRKD2",27,24,3,0,1,8,"coding"
"PTK2",62,37,25,0,1,8,"coding"
"PTPN12",47,46,1,0,1,8,"coding"
"PTPRC",40,22,18,0,1,8,"coding"
"SOS2",37,33,4,0,1,8,"coding"
"SYNCRIP",106,105,1,0,1,8,"coding"
"TEK",19,10,9,0,1,8,"coding"
"TGFBI",25,22,3,0,1,8,"coding"
"THBS1",114,103,11,0,1,8,"coding"
"TJP1",51,43,8,0,1,8,"coding"
"XPOT",71,68,3,0,1,8,"coding"
"ACTN4",50,46,4,0,1,7,"coding"
"AXIN1",33,17,16,0,1,7,"coding"
"BCAR1",33,26,7,0,1,7,"coding"
"BTK",49,9,40,0,1,7,"coding"
"CHGB",8,5,3,0,1,7,"coding"
"CRMP1",34,20,14,0,1,7,"coding"
"CTNNA1",34,31,3,0,1,7,"coding"
"DPP4",11,5,6,0,1,7,"coding"
"FEZ1",16,5,11,0,1,7,"coding"
"FMR1",41,40,1,0,1,7,"coding"
"GDF9",5,2,3,0,1,7,"coding"
"HDAC4",48,45,3,0,1,7,"coding"
"HIP1",54,51,3,0,1,7,"coding"
"IGF1R",150,135,15,0,1,7,"coding"
"IL16",20,14,6,0,1,7,"coding"
"ITGAV",45,36,9,0,1,7,"coding"
"JAK2",70,37,33,0,1,7,"coding"
"JUP",30,24,6,0,1,7,"coding"
"KTN1",30,28,2,0,1,7,"coding"
"LEPR",28,17,11,0,1,7,"coding"
"LNX1",16,9,7,0,1,7,"coding"
"MCM7",63,54,9,0,1,7,"coding"
"MEIS1",42,35,7,0,1,7,"coding"
"MX1",3,2,1,0,1,7,"coding"
"NCF2",6,3,3,0,1,7,"coding"
"PIAS2",43,40,3,0,1,7,"coding"
"PIGR",35,34,1,0,1,7,"coding"
"PLA2G4A",19,17,2,0,1,7,"coding"
"POLR2A",63,55,8,0,1,7,"coding"
"PPARGC1A",55,54,1,0,1,7,"coding"
"PRKCB",64,49,15,0,1,7,"coding"
"PTK2B",42,24,18,0,1,7,"coding"
"RHOA",60,49,11,0,1,7,"coding"
"SFI1",5,4,1,0,1,7,"coding"
"SPTBN4",17,13,4,0,1,7,"coding"
"TGM2",22,15,7,0,1,7,"coding"
"TP53BP2",34,29,5,0,1,7,"coding"
"TRIM24",46,38,8,0,1,7,"coding"
"VAV1",37,28,9,0,1,7,"coding"
"VCAM1",35,32,3,0,1,7,"coding"
"ABL2",80,77,3,0,1,6,"coding"
"ACTN1",44,36,8,0,1,6,"coding"
"AP2A1",33,28,5,0,1,6,"coding"
"APLP1",10,8,2,0,1,6,"coding"
"ATF7IP",98,79,19,0,1,6,"coding"
"AURKA",50,45,5,0,1,6,"coding"
"BLK",6,4,2,0,1,6,"coding"
"CLSPN",50,49,1,0,1,6,"coding"
"CLTC",94,81,13,0,1,6,"coding"
"CNKSR1",3,2,1,0,1,6,"coding"
"COL4A3",30,24,6,0,1,6,"coding"
