"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACP1",26,24,2,0,1,NA,"coding"
"ACTC1",21,15,6,0,1,NA,"coding"
"ACVR1",66,50,16,0,1,NA,"coding"
"ARL4D",29,27,2,0,1,NA,"coding"
"ATP5J2",7,5,2,0,1,NA,"coding"
"BARX1",9,5,4,0,1,NA,"coding"
"BCL2",101,88,13,0,1,NA,"coding"
"C14orf1",34,28,6,0,1,NA,"coding"
"CALM1",73,67,6,0,1,NA,"coding"
"CCDC85B",69,56,13,0,1,NA,"coding"
"CCL3",12,11,1,0,1,NA,"coding"
"CD247",24,9,15,0,1,NA,"coding"
"CD79A",12,7,5,0,1,NA,"coding"
"CD81",28,25,3,0,1,NA,"coding"
"CDC42",72,46,26,0,1,NA,"coding"
"CDK9",48,41,7,0,1,NA,"coding"
"CHMP4A",4,2,2,0,1,NA,"coding"
"CSK",35,28,7,0,1,NA,"coding"
"CSNK2B",59,21,38,0,1,NA,"coding"
"CYCS",70,69,1,0,1,NA,"coding"
"DAZAP2",95,89,6,0,1,NA,"coding"
"DDIT3",13,8,5,0,1,NA,"coding"
"DLEU1",15,13,2,0,1,NA,"coding"
"DUSP23",14,8,6,0,1,NA,"coding"
"DYNLL1",44,34,10,0,1,NA,"coding"
"EIF4EBP1",47,45,2,0,1,NA,"coding"
"FCER1G",10,5,5,0,1,NA,"coding"
"FCGR2B",6,3,3,0,1,NA,"coding"
"FYN",132,86,46,0,1,NA,"coding"
"GATA6",188,110,78,0,1,NA,"coding"
"GNA15",5,3,2,0,1,NA,"coding"
"GRB2",119,84,35,0,1,NA,"coding"
"GTF2B",36,33,3,0,1,NA,"coding"
"H2AFX",42,37,5,0,1,NA,"coding"
"HCST",3,2,1,0,1,NA,"coding"
"HOXB7",6,4,2,0,1,NA,"coding"
"HSPA1A",38,33,5,0,1,NA,"coding"
"HSPA1B",60,59,1,0,1,NA,"coding"
"HSPB1",11,7,4,0,1,NA,"coding"
"IGF2",61,55,6,0,1,NA,"coding"
"IRS2",56,51,5,0,1,NA,"coding"
"KCTD13",5,3,2,0,1,NA,"coding"
"LEF1",41,22,19,0,1,NA,"coding"
"M6PR",43,42,1,0,1,NA,"coding"
"MAFF",84,14,70,0,1,NA,"coding"
"MAFG",40,37,3,0,1,NA,"coding"
"MAP1LC3B",41,37,4,0,1,NA,"coding"
"MBD2",47,44,3,0,1,NA,"coding"
"MDFI",41,36,5,0,1,NA,"coding"
"MED31",18,14,4,0,1,NA,"coding"
"MVD",8,7,1,0,1,NA,"coding"
"NANOS1",40,39,1,0,1,NA,"coding"
"NEDD8",10,7,3,0,1,NA,"coding"
"NFYA",252,63,189,0,1,NA,"coding"
"NME1",27,23,4,0,1,NA,"coding"
"NR0B1",3,2,1,0,1,NA,"coding"
"PBX2",21,16,5,0,1,NA,"coding"
"PCNA",64,58,6,0,1,NA,"coding"
"PIN1",58,42,16,0,1,NA,"coding"
"PLSCR1",41,29,12,0,1,NA,"coding"
"POLR2E",22,18,4,0,1,NA,"coding"
"PPIA",35,31,4,0,1,NA,"coding"
"PPP1CA",31,25,6,0,1,NA,"coding"
"PPP1CC",69,66,3,0,1,NA,"coding"
"PRMT1",24,17,7,0,1,NA,"coding"
"PRSS23",40,35,5,0,1,NA,"coding"
"PXN",41,27,14,0,1,NA,"coding"
"RAB5B",98,94,4,0,1,NA,"coding"
"RAB7A",52,51,1,0,1,NA,"coding"
"RAC1",77,64,13,0,1,NA,"coding"
"RAC2",8,5,3,0,1,NA,"coding"
"RGS19",22,16,6,0,1,NA,"coding"
"RIBC2",6,3,3,0,1,NA,"coding"
"RING1",13,10,3,0,1,NA,"coding"
"RNF11",111,96,15,0,1,NA,"coding"
"RNF4",50,49,1,0,1,NA,"coding"
"RNF7",18,17,1,0,1,NA,"coding"
"RPL6",9,8,1,0,1,NA,"coding"
"S100A8",15,12,3,0,1,NA,"coding"
"SIAH2",20,19,1,0,1,NA,"coding"
"SLC9A3R2",30,27,3,0,1,NA,"coding"
"SMN1",22,11,11,0,1,NA,"coding"
"SNIP1",62,57,5,0,1,NA,"coding"
"SNRPD3",60,55,5,0,1,NA,"coding"
"SOCS1",54,45,9,0,1,NA,"coding"
"SUMO2",58,52,6,0,1,NA,"coding"
"SUMO4",8,3,5,0,1,NA,"coding"
"TAF10",18,11,7,0,1,NA,"coding"
"TAF15",24,21,3,0,1,NA,"coding"
"TNFRSF4",5,1,4,0,1,NA,"coding"
"TNFSF11",22,15,7,0,1,NA,"coding"
"TUBB2A",82,81,1,0,1,NA,"coding"
"TXNDC17",11,9,2,0,1,NA,"coding"
"TYROBP",8,6,2,0,1,NA,"coding"
"UBB",44,30,14,0,1,NA,"coding"
"UBE2G1",52,50,2,0,1,NA,"coding"
"VHL",43,37,6,0,1,NA,"coding"
"VTA1",44,40,4,0,1,NA,"coding"
"YWHAE",117,99,18,0,1,NA,"coding"
"YWHAQ",89,77,12,0,1,NA,"coding"
