"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",61,47,14,0,1
"TK1",72,47,25,0,1
"A2M",17,8,9,0,1
"ATF7IP",98,79,19,0,1
"H2AFX",42,37,5,0,1
"MYOC",10,3,7,0,1
"NUDT21",56,46,10,0,1
"MAP1LC3B",41,37,4,0,1
"MDFI",41,36,5,0,1
"RB1",122,106,16,0,1
"ABCA1",55,49,6,0,1
"CSNK2A1",111,93,18,0,1
"LIMK1",23,22,1,0,1
"HAX1",19,16,3,0,1
"RDX",56,51,5,0,1
"SLC9A3R1",25,15,10,0,1
"STX1A",20,14,6,0,1
"HSPA8",79,66,13,0,1
"SOS1",68,54,14,0,1
"SOS2",37,33,4,0,1
"KRT15",15,12,3,0,1
"ABL1",74,50,24,0,1
"ATM",53,36,17,0,1
"CASP9",22,18,4,0,1
"CAV1",83,65,18,0,1
"CDK5",23,16,7,0,1
"CRK",130,103,27,0,1
"MAPT",33,27,6,0,1
"POLR2A",63,55,8,0,1
"PRKD1",39,35,4,0,1
"RAN",87,78,9,0,1
"XRCC6",44,37,7,0,1
"ABL2",80,77,3,0,1
"CALCOCO2",47,43,4,0,1
"VIM",78,59,19,0,1
"YWHAG",178,145,33,0,1
"ATXN1",185,157,28,0,1
"CSNK2A2",33,28,5,0,1
"FBLN1",16,11,5,0,1
"USP7",40,37,3,0,1
"ACP1",26,24,2,0,1
"FYN",132,86,46,0,1
"ACTA1",26,12,14,0,1
"CFL1",20,15,5,0,1
"GSN",34,30,4,0,1
"MYLK",67,63,4,0,1
"VCL",103,79,24,0,1
"ACTB",96,79,17,0,1
"CDKN1A",154,142,12,0,1
"CPNE1",20,18,2,0,1
"CSNK1A1",89,81,8,0,1
"EMD",22,18,4,0,1
"PFDN1",13,9,4,0,1
"SMN1",22,11,11,0,1
"ACTC1",21,15,6,0,1
"ACTN4",50,46,4,0,1
"DMD",49,47,2,0,1
"WIPF1",31,28,3,0,1
"ACTG1",48,38,10,0,1
"DYNLL1",44,34,10,0,1
"PIP4K2C",31,26,5,0,1
"RPS6KA5",79,74,5,0,1
"CTBP1",50,44,6,0,1
"ACTN1",44,36,8,0,1
"PKN1",15,13,2,0,1
"COIL",70,62,8,0,1
"CDC42",72,46,26,0,1
"CDH1",47,33,14,0,1
"ACVR1",66,50,16,0,1
"AP2B1",54,46,8,0,1
"IKBKB",32,28,4,0,1
"ACVR1B",48,46,2,0,1
"TDGF1",7,4,3,0,1
"MAGI2",34,31,3,0,1
"TGFB1",37,25,12,0,1
"TGFB3",14,11,3,0,1
"TGFBR2",134,122,12,0,1
"XIAP",123,113,10,0,1
"ADAM10",48,46,2,0,1
"SH3D19",66,64,2,0,1
"MAD2L1",25,20,5,0,1
"TNFSF11",22,15,7,0,1
"FN1",90,71,19,0,1
"PRKCA",99,62,37,0,1
"CALM1",73,67,6,0,1
"PRKCD",47,36,11,0,1
"APPL1",60,54,6,0,1
"FLNC",30,23,7,0,1
"GNAI2",72,65,7,0,1
