"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-130a-5p",776,25,751,0,1,NA,"non-coding"
"hsa-miR-142-5p",815,44,771,0,1,NA,"non-coding"
"hsa-miR-146b-5p",238,56,182,0,1,NA,"non-coding"
"hsa-miR-206",150,2,148,0,1,NA,"non-coding"
"hsa-miR-21-5p",686,99,587,0,1,NA,"non-coding"
"hsa-miR-22-5p",738,68,670,0,1,NA,"non-coding"
"hsa-miR-222-5p",312,18,294,0,1,NA,"non-coding"
"hsa-miR-223-5p",186,24,162,0,1,NA,"non-coding"
"hsa-miR-23a-5p",734,50,684,0,1,NA,"non-coding"
"hsa-miR-24-1-5p",679,52,627,0,1,NA,"non-coding"
"hsa-miR-27a-5p",992,55,937,0,1,NA,"non-coding"
"hsa-miR-31-5p",272,16,256,0,1,NA,"non-coding"
"hsa-miR-3124-5p",40,15,25,0,1,NA,"non-coding"
"hsa-miR-338-5p",364,28,336,0,1,NA,"non-coding"
"hsa-miR-342-5p",395,46,349,0,1,NA,"non-coding"
"hsa-miR-3614-5p",112,62,50,0,1,NA,"non-coding"
"hsa-miR-3652",131,67,64,0,1,NA,"non-coding"
"hsa-miR-4473",35,22,13,0,1,NA,"non-coding"
"hsa-miR-451a",49,25,24,0,1,NA,"non-coding"
"hsa-miR-4524a-5p",42,8,34,0,1,NA,"non-coding"
"hsa-miR-5093",34,23,11,0,1,NA,"non-coding"
"hsa-miR-639",51,49,2,0,1,NA,"non-coding"
"hsa-miR-663a",103,76,27,0,1,NA,"non-coding"
"hsa-miR-9-5p",805,61,744,0,1,NA,"non-coding"
