Name,K,Kin,Kout,TypeI,TypeII,weight,Type
SYNE1,19,15,4,0,1,58,coding
LRP2,11,6,5,0,1,39,coding
LRP1,37,26,11,0,1,33,coding
FLNA,23,16,7,0,1,24,coding
RB1,79,65,14,0,1,23,coding
GOLGA4,10,8,2,0,1,16,coding
SPTAN1,16,7,9,0,1,16,coding
ATN1,17,10,7,0,1,15,coding
CBLB,19,12,7,0,1,15,coding
CREBBP,101,45,56,0,1,15,coding
EP300,128,109,19,0,1,14,coding
TOPBP1,15,13,2,0,1,14,coding
PTPRF,26,21,5,0,1,13,coding
ABCA1,26,21,5,0,1,12,coding
CNTNAP2,3,2,1,0,1,12,coding
PTCH1,4,3,1,0,1,12,coding
BACH2,13,12,1,0,1,11,coding
C3,14,6,8,0,1,11,coding
NFATC3,11,9,2,0,1,11,coding
RET,13,5,8,0,1,11,coding
XRN1,17,13,4,0,1,11,coding
AFF1,24,21,3,0,1,10,coding
DNMBP,7,5,2,0,1,10,coding
ITSN1,29,22,7,0,1,10,coding
HLA-C,12,5,7,0,1,9,coding
IL6ST,34,28,6,0,1,9,coding
KIAA1377,34,14,20,0,1,9,coding
NTRK1,15,2,13,0,1,9,coding
RPS6KA3,12,5,7,0,1,9,coding
A2M,10,5,5,0,1,8,coding
ACTG1,12,4,8,0,1,8,coding
ACVR1B,6,4,2,0,1,8,coding
FBLN2,13,9,4,0,1,8,coding
KDR,29,12,17,0,1,8,coding
NOTCH1,7,4,3,0,1,8,coding
NR1H2,17,2,15,0,1,8,coding
PLCG2,33,24,9,0,1,8,coding
SYNCRIP,36,35,1,0,1,8,coding
AXIN1,18,5,13,0,1,7,coding
BCAR1,21,14,7,0,1,7,coding
CGN,4,2,2,0,1,7,coding
CTNND1,15,12,3,0,1,7,coding
ETS2,10,8,2,0,1,7,coding
GDF9,3,1,2,0,1,7,coding
ITGAV,22,13,9,0,1,7,coding
JAK2,54,24,30,0,1,7,coding
NCF2,4,1,3,0,1,7,coding
PIGR,4,3,1,0,1,7,coding
PTK2B,31,15,16,0,1,7,coding
SPRED1,12,10,2,0,1,7,coding
UPF2,15,8,7,0,1,7,coding
ACTN1,24,18,6,0,1,6,coding
NEDD4,26,24,2,0,1,6,coding
NEK9,19,18,1,0,1,6,coding
POLA2,12,7,5,0,1,6,coding
PRKD1,19,16,3,0,1,6,coding
