"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACVR1",35,22,13,0,1,NA,"coding"
"ARL4D",10,8,2,0,1,NA,"coding"
"ATP5J2",6,4,2,0,1,NA,"coding"
"BCL2",44,33,11,0,1,NA,"coding"
"C14orf1",12,8,4,0,1,NA,"coding"
"CABP2",3,2,1,0,1,NA,"coding"
"CALM1",10,6,4,0,1,NA,"coding"
"CAPNS1",4,1,3,0,1,NA,"coding"
"CCDC85B",60,49,11,0,1,NA,"coding"
"CCL3",6,5,1,0,1,NA,"coding"
"CD247",20,5,15,0,1,NA,"coding"
"CD79A",10,5,5,0,1,NA,"coding"
"CDC42",49,26,23,0,1,NA,"coding"
"CDK9",17,10,7,0,1,NA,"coding"
"CEBPA",9,2,7,0,1,NA,"coding"
"CEBPG",19,17,2,0,1,NA,"coding"
"CSK",17,13,4,0,1,NA,"coding"
"CSNK2B",48,16,32,0,1,NA,"coding"
"CXCL13",5,4,1,0,1,NA,"coding"
"CYCS",11,10,1,0,1,NA,"coding"
"DAZAP2",27,22,5,0,1,NA,"coding"
"DDIT3",5,3,2,0,1,NA,"coding"
"DUSP23",11,6,5,0,1,NA,"coding"
"DYNLL1",29,20,9,0,1,NA,"coding"
"E2F2",21,13,8,0,1,NA,"coding"
"EIF4E",10,8,2,0,1,NA,"coding"
"EIF4EBP1",11,9,2,0,1,NA,"coding"
"FCER1G",7,3,4,0,1,NA,"coding"
"FYN",88,47,41,0,1,NA,"coding"
"GADD45G",18,9,9,0,1,NA,"coding"
"GNA15",4,2,2,0,1,NA,"coding"
"GRB2",73,44,29,0,1,NA,"coding"
"GTF2B",10,8,2,0,1,NA,"coding"
"H2AFX",11,7,4,0,1,NA,"coding"
"HSPA1A",12,10,2,0,1,NA,"coding"
"HSPB1",7,4,3,0,1,NA,"coding"
"HSPBP1",3,2,1,0,1,NA,"coding"
"IGF2",25,21,4,0,1,NA,"coding"
"IKBKG",25,20,5,0,1,NA,"coding"
"LEF1",12,6,6,0,1,NA,"coding"
"LTB",6,4,2,0,1,NA,"coding"
"MAFG",7,4,3,0,1,NA,"coding"
"MAP1LC3B",20,16,4,0,1,NA,"coding"
"MAPK12",13,6,7,0,1,NA,"coding"
"MDFI",18,16,2,0,1,NA,"coding"
"MED31",10,7,3,0,1,NA,"coding"
"MTA1",11,7,4,0,1,NA,"coding"
"MVD",4,3,1,0,1,NA,"coding"
"NEDD8",5,2,3,0,1,NA,"coding"
"NFYA",35,12,23,0,1,NA,"coding"
"NME1",11,7,4,0,1,NA,"coding"
"NR0B1",3,2,1,0,1,NA,"coding"
"PBX2",9,4,5,0,1,NA,"coding"
"PFN1",16,10,6,0,1,NA,"coding"
"PFN2",14,12,2,0,1,NA,"coding"
"PIN1",36,24,12,0,1,NA,"coding"
"PLSCR1",8,1,7,0,1,NA,"coding"
"POLR2E",9,5,4,0,1,NA,"coding"
"PPP1CA",17,11,6,0,1,NA,"coding"
"PPP1CC",19,16,3,0,1,NA,"coding"
"PRMT1",16,9,7,0,1,NA,"coding"
"PRSS23",18,16,2,0,1,NA,"coding"
"PSMB1",5,2,3,0,1,NA,"coding"
"PXN",21,10,11,0,1,NA,"coding"
"RAB8A",7,5,2,0,1,NA,"coding"
"RAC2",6,4,2,0,1,NA,"coding"
"RGS19",12,6,6,0,1,NA,"coding"
"RIBC2",5,2,3,0,1,NA,"coding"
"RING1",10,7,3,0,1,NA,"coding"
"RIT1",7,5,2,0,1,NA,"coding"
"RNF11",43,28,15,0,1,NA,"coding"
"RNF4",8,7,1,0,1,NA,"coding"
"S100A8",7,5,2,0,1,NA,"coding"
"SDCBP",9,6,3,0,1,NA,"coding"
"SIAH2",3,2,1,0,1,NA,"coding"
"SIVA1",4,3,1,0,1,NA,"coding"
"SLC9A3R2",12,9,3,0,1,NA,"coding"
"SMN1",8,2,6,0,1,NA,"coding"
"SNIP1",27,22,5,0,1,NA,"coding"
"SNTB2",20,12,8,0,1,NA,"coding"
"SOCS1",25,16,9,0,1,NA,"coding"
"STMN1",16,14,2,0,1,NA,"coding"
"SUMO2",24,19,5,0,1,NA,"coding"
"SUMO4",3,1,2,0,1,NA,"coding"
"TAF10",13,6,7,0,1,NA,"coding"
"TAF15",6,3,3,0,1,NA,"coding"
"TCEB2",8,3,5,0,1,NA,"coding"
"TNFRSF4",5,1,4,0,1,NA,"coding"
"TNFSF11",10,7,3,0,1,NA,"coding"
"TUBB2A",8,7,1,0,1,NA,"coding"
"TXNDC17",3,1,2,0,1,NA,"coding"
"TYROBP",8,6,2,0,1,NA,"coding"
"UBB",17,7,10,0,1,NA,"coding"
"VHL",15,9,6,0,1,NA,"coding"
"VTA1",14,11,3,0,1,NA,"coding"
"YWHAE",35,24,11,0,1,NA,"coding"
"YWHAQ",44,33,11,0,1,NA,"coding"
