"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",38,25,13,0,1
"TK1",45,25,20,0,1
"A2M",10,5,5,0,1
"MYOC",7,3,4,0,1
"NUDT21",21,11,10,0,1
"RAP1B",17,15,2,0,1
"MAP1LC3B",20,16,4,0,1
"MDFI",18,16,2,0,1
"RB1",79,65,14,0,1
"ABCA1",26,21,5,0,1
"CSNK2A1",48,32,16,0,1
"HAX1",11,8,3,0,1
"RDX",12,8,4,0,1
"STX1A",11,5,6,0,1
"ABCF3",3,2,1,0,1
"HSPA8",18,9,9,0,1
"SOS1",33,22,11,0,1
"SOS2",15,11,4,0,1
"ABL1",33,15,18,0,1
"CAV1",50,33,17,0,1
"CRK",49,23,26,0,1
"POLR2A",33,25,8,0,1
"PRKD1",19,16,3,0,1
"RAN",37,29,8,0,1
"XRCC6",10,5,5,0,1
"ABL2",8,5,3,0,1
"CALCOCO2",17,13,4,0,1
"VIM",43,29,14,0,1
"YWHAG",117,88,29,0,1
"ATXN1",70,49,21,0,1
"USP7",24,21,3,0,1
"CFL1",11,7,4,0,1
"GSN",10,6,4,0,1
"PFN1",16,10,6,0,1
"VCL",54,30,24,0,1
"ACTB",26,14,12,0,1
"CDKN1A",46,40,6,0,1
"EMD",11,7,4,0,1
"H2AFX",11,7,4,0,1
"PFDN1",11,7,4,0,1
"ACTN4",9,5,4,0,1
"ACTG1",12,4,8,0,1
"ATF7IP",40,23,17,0,1
"DYNLL1",29,20,9,0,1
"PFN2",14,12,2,0,1
"RPS6KA5",18,13,5,0,1
"ST3GAL3",4,3,1,0,1
"ACTN1",24,18,6,0,1
"CDK5",16,12,4,0,1
"PKN1",13,11,2,0,1
"COIL",35,28,7,0,1
"MAGI1",12,5,7,0,1
"ACTR2",14,8,6,0,1
"CDC42",49,26,23,0,1
"CDH1",21,10,11,0,1
"ACVR1",35,22,13,0,1
"IKBKB",11,9,2,0,1
"ACVR1B",6,4,2,0,1
"TDGF1",5,3,2,0,1
"MAGI2",10,7,3,0,1
"TGFB1",27,15,12,0,1
"TGFB3",10,7,3,0,1
"TGFBR2",58,48,10,0,1
"XIAP",28,18,10,0,1
"ADAM10",9,7,2,0,1
"MAD2L1",10,5,5,0,1
"TNFSF11",10,7,3,0,1
"FN1",60,42,18,0,1
"PRKCA",57,24,33,0,1
"CALM1",10,6,4,0,1
"PRKCD",21,15,6,0,1
"APPL1",16,11,5,0,1
"ADORA1",4,3,1,0,1
"GNAZ",5,3,2,0,1
"FLNC",22,15,7,0,1
"GNAI2",40,34,6,0,1
"YWHAZ",53,21,32,0,1
"ARRB1",23,13,10,0,1
"ADRB2",17,8,9,0,1
"CSK",17,13,4,0,1
"GNA11",11,7,4,0,1
"GPRASP1",19,8,11,0,1
"GRB2",73,44,29,0,1
"GRK5",17,8,9,0,1
"ADRBK1",14,6,8,0,1
"GIT1",19,12,7,0,1
"PRKCB",34,23,11,0,1
"CXCR4",13,7,6,0,1
"PRKCE",15,7,8,0,1
"ATXN1L",31,21,10,0,1
"AFF1",24,21,3,0,1
"UBE3A",26,23,3,0,1
"CCDC85B",60,49,11,0,1
"AGTR1",8,3,5,0,1
"JAK2",54,24,30,0,1
"NOS3",5,4,1,0,1
"AHR",27,14,13,0,1
"ARNT",16,8,8,0,1
"EP300",128,109,19,0,1
"NCOA1",39,22,17,0,1
"NCOA2",24,13,11,0,1
"SETDB1",46,40,6,0,1
"PRKAR2A",24,18,6,0,1
"AKAP10",11,6,5,0,1
"P4HB",7,3,4,0,1
"PRKAR1A",24,11,13,0,1
"GSK3B",63,33,30,0,1
"YWHAB",45,30,15,0,1
"YWHAE",35,24,11,0,1
"KPNB1",45,32,13,0,1
"PRPF40A",49,32,17,0,1
"AKAP9",20,16,4,0,1
"AKT1",19,5,14,0,1
"CHUK",32,17,15,0,1
"MDM2",31,24,7,0,1
"PRKDC",28,20,8,0,1
"RAF1",19,11,8,0,1
"TCEA2",9,7,2,0,1
"PDPK1",39,29,10,0,1
"UNC119",23,11,12,0,1
"XRN1",17,13,4,0,1
"CLTC",30,18,12,0,1
"TEK",10,4,6,0,1
"ANK2",9,7,2,0,1
"HDAC4",19,17,2,0,1
"PIP4K2C",7,3,4,0,1
"LRP2",11,6,5,0,1
"TGM2",14,9,5,0,1
"S100A6",4,3,1,0,1
"RBBP4",19,15,4,0,1
"AP2B1",16,8,8,0,1
"AP2A1",12,7,5,0,1
"BIN1",9,5,4,0,1
"HIP1",12,9,3,0,1
"ARF1",11,7,4,0,1
"CSNK1A1",22,17,5,0,1
"CASP3",53,18,35,0,1
"APP",20,11,9,0,1
"MAPK6",62,33,29,0,1
"APBB1",5,4,1,0,1
"APLP1",8,7,1,0,1
"CTBP1",21,17,4,0,1
"SIAH1",15,12,3,0,1
"TRIM37",18,14,4,0,1
"APOA1",5,2,3,0,1
"TP53BP2",24,19,5,0,1
"APPBP2",4,3,1,0,1
"PIK3CA",16,8,8,0,1
"APTX",6,5,1,0,1
"EFEMP2",15,9,6,0,1
"AR",144,32,112,0,1
"CDC37",24,19,5,0,1
"CREBBP",101,45,56,0,1
"FOXA1",60,10,50,0,1
"KAT2B",38,32,6,0,1
"NCOA3",36,25,11,0,1
"NCOR1",40,22,18,0,1
"POU5F1",9,3,6,0,1
"RNF4",8,7,1,0,1
"SMAD1",39,13,26,0,1
