"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-17-5p",601,37,564,0,1,NA,"non-coding"
"hsa-miR-18a-5p",255,36,219,0,1,NA,"non-coding"
"hsa-miR-200c-5p",222,25,197,0,1,NA,"non-coding"
"hsa-miR-20a-5p",365,30,335,0,1,NA,"non-coding"
"hsa-miR-20b-5p",64,2,62,0,1,NA,"non-coding"
"hsa-miR-21-5p",191,28,163,0,1,NA,"non-coding"
"hsa-miR-214-5p",70,8,62,0,1,NA,"non-coding"
"hsa-miR-221-5p",170,5,165,0,1,NA,"non-coding"
"hsa-miR-30c-5p",151,14,137,0,1,NA,"non-coding"
"hsa-miR-30e-5p",311,22,289,0,1,NA,"non-coding"
"hsa-miR-31-5p",16,1,15,0,1,NA,"non-coding"
"hsa-miR-338-5p",40,4,36,0,1,NA,"non-coding"
"hsa-miR-33a-5p",27,4,23,0,1,NA,"non-coding"
"hsa-miR-3646",3,2,1,0,1,NA,"non-coding"
"hsa-miR-425-5p",41,4,37,0,1,NA,"non-coding"
"hsa-miR-4638-5p",23,12,11,0,1,NA,"non-coding"
"hsa-miR-4772-5p",36,7,29,0,1,NA,"non-coding"
"hsa-miR-4778-5p",3,1,2,0,1,NA,"non-coding"
"hsa-miR-6759-5p",28,22,6,0,1,NA,"non-coding"
