"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",64,55,9,0,1,381,"coding"
"CDH1",39,26,13,0,1,119,"coding"
"DMD",57,53,4,0,1,56,"coding"
"NCOR1",119,48,71,0,1,45,"coding"
"LRP2",16,9,7,0,1,39,"coding"
"PTEN",95,89,6,0,1,39,"coding"
"RUNX1",472,82,390,0,1,34,"coding"
"LRP1",49,40,9,0,1,33,"coding"
"RYR1",6,5,1,0,1,30,"coding"
"ANK3",34,33,1,0,1,28,"coding"
"AKAP9",34,30,4,0,1,27,"coding"
"LYST",25,22,3,0,1,27,"coding"
"PRKDC",54,47,7,0,1,26,"coding"
"FLNA",60,48,12,0,1,24,"coding"
"VCAN",63,56,7,0,1,24,"coding"
"DYSF",8,7,1,0,1,23,"coding"
"RB1",134,114,20,0,1,23,"coding"
"BRCA2",21,17,4,0,1,19,"coding"
"PIK3R1",136,91,45,0,1,18,"coding"
"CACNA1C",49,47,2,0,1,17,"coding"
"CHD3",27,20,7,0,1,16,"coding"
"GOLGA4",37,35,2,0,1,16,"coding"
"HSPG2",37,31,6,0,1,16,"coding"
"PCSK5",32,30,2,0,1,16,"coding"
"PTPN13",22,17,5,0,1,16,"coding"
"SETDB1",46,39,7,0,1,16,"coding"
"SPTAN1",28,19,9,0,1,16,"coding"
"TLN1",69,61,8,0,1,16,"coding"
"ATN1",51,34,17,0,1,15,"coding"
"CBLB",53,45,8,0,1,15,"coding"
"CREBBP",345,89,256,0,1,15,"coding"
"DLG1",49,24,25,0,1,15,"coding"
"GRIK2",26,21,5,0,1,15,"coding"
"EP300",176,154,22,0,1,14,"coding"
"HTT",49,36,13,0,1,14,"coding"
"NUP98",50,43,7,0,1,14,"coding"
"RANBP2",67,57,10,0,1,14,"coding"
"TOPBP1",35,32,3,0,1,14,"coding"
"ARHGEF12",56,50,6,0,1,13,"coding"
"ATR",17,10,7,0,1,13,"coding"
"CASP8",56,35,21,0,1,13,"coding"
"ERBB2IP",42,40,2,0,1,13,"coding"
"FN1",92,74,18,0,1,13,"coding"
"GNAS",42,40,2,0,1,13,"coding"
"NOS1",19,13,6,0,1,13,"coding"
"PLCB1",35,31,4,0,1,13,"coding"
"PTPRF",64,60,4,0,1,13,"coding"
"ROBO2",27,24,3,0,1,13,"coding"
"ABCA1",65,58,7,0,1,12,"coding"
"CDKN1B",96,92,4,0,1,12,"coding"
"GRIN2B",65,61,4,0,1,12,"coding"
"HTATSF1",10,8,2,0,1,12,"coding"
"IKBKAP",32,29,3,0,1,12,"coding"
"JAK1",63,38,25,0,1,12,"coding"
"MYB",265,26,239,0,1,12,"coding"
"NID1",39,36,3,0,1,12,"coding"
"PTPRB",32,29,3,0,1,12,"coding"
"AP3B1",40,37,3,0,1,11,"coding"
"C3",49,39,10,0,1,11,"coding"
"GPRASP1",19,8,11,0,1,11,"coding"
"GPRASP2",16,9,7,0,1,11,"coding"
"INSR",65,41,24,0,1,11,"coding"
"MYLK",82,76,6,0,1,11,"coding"
"NLGN3",13,11,2,0,1,11,"coding"
"PRKCQ",13,8,5,0,1,11,"coding"
"RET",14,12,2,0,1,11,"coding"
"SMARCA4",52,26,26,0,1,11,"coding"
"TRIP12",40,38,2,0,1,11,"coding"
"XRN1",76,70,6,0,1,11,"coding"
"BMX",8,7,1,0,1,10,"coding"
"COL4A4",25,22,3,0,1,10,"coding"
"GRM1",19,16,3,0,1,10,"coding"
"ITSN1",58,50,8,0,1,10,"coding"
"MAGI2",33,28,5,0,1,10,"coding"
"SIN3A",70,63,7,0,1,10,"coding"
"UBR1",38,25,13,0,1,10,"coding"
"ACVR2A",45,44,1,0,1,9,"coding"
"APP",112,86,26,0,1,9,"coding"
"ATXN1",191,163,28,0,1,9,"coding"
"CDK5RAP1",8,6,2,0,1,9,"coding"
"CHUK",38,24,14,0,1,9,"coding"
"COL4A2",40,38,2,0,1,9,"coding"
"EWSR1",42,26,16,0,1,9,"coding"
"IL6ST",108,105,3,0,1,9,"coding"
"ITGB2",26,9,17,0,1,9,"coding"
"KIAA1377",33,16,17,0,1,9,"coding"
"MAGI3",27,25,2,0,1,9,"coding"
"NTRK1",12,3,9,0,1,9,"coding"
"PRKCE",44,35,9,0,1,9,"coding"
"RIMS1",17,16,1,0,1,9,"coding"
"RPS6KA3",82,73,9,0,1,9,"coding"
"SMARCC1",48,34,14,0,1,9,"coding"
"USP8",31,28,3,0,1,9,"coding"
"A2M",16,9,7,0,1,8,"coding"
"ABL1",77,49,28,0,1,8,"coding"
"ACIN1",29,27,2,0,1,8,"coding"
"ACTG1",52,40,12,0,1,8,"coding"
"ADAM19",42,40,2,0,1,8,"coding"
"ARHGEF7",35,28,7,0,1,8,"coding"
"BMPR2",113,100,13,0,1,8,"coding"
"CACHD1",20,19,1,0,1,8,"coding"
"CREB3L3",2,1,1,0,1,8,"coding"
"EEF1A1",50,40,10,0,1,8,"coding"
"ELN",21,20,1,0,1,8,"coding"
"ILF3",36,35,1,0,1,8,"coding"
"IRF3",33,15,18,0,1,8,"coding"
"KDR",53,32,21,0,1,8,"coding"
"KIT",46,23,23,0,1,8,"coding"
"MAPK8IP3",25,18,7,0,1,8,"coding"
"MAST2",14,12,2,0,1,8,"coding"
"MCM10",30,22,8,0,1,8,"coding"
"MYO5A",68,66,2,0,1,8,"coding"
"NOTCH1",46,38,8,0,1,8,"coding"
"NR1H2",62,12,50,0,1,8,"coding"
"PARD3",59,52,7,0,1,8,"coding"
"PDGFRB",41,18,23,0,1,8,"coding"
"PKP4",23,21,2,0,1,8,"coding"
"PLCG2",54,46,8,0,1,8,"coding"
"PLD1",32,29,3,0,1,8,"coding"
"POLR2B",24,23,1,0,1,8,"coding"
"PRKD2",28,24,4,0,1,8,"coding"
"PTK2",54,30,24,0,1,8,"coding"
"PTPN12",53,50,3,0,1,8,"coding"
"PTPRC",38,24,14,0,1,8,"coding"
"RAD50",26,23,3,0,1,8,"coding"
"RFC1",22,18,4,0,1,8,"coding"
"ROCK1",63,59,4,0,1,8,"coding"
"SOS2",38,34,4,0,1,8,"coding"
"SPTBN1",62,57,5,0,1,8,"coding"
"SYNCRIP",100,97,3,0,1,8,"coding"
"TEK",16,10,6,0,1,8,"coding"
"TGFBI",27,24,3,0,1,8,"coding"
"THBS1",121,110,11,0,1,8,"coding"
"TJP1",57,46,11,0,1,8,"coding"
"ACTN4",48,45,3,0,1,7,"coding"
"BCAR1",34,28,6,0,1,7,"coding"
"BTK",36,7,29,0,1,7,"coding"
"CHGB",6,4,2,0,1,7,"coding"
"CHM",14,13,1,0,1,7,"coding"
"CRMP1",28,20,8,0,1,7,"coding"
"CTNND1",58,55,3,0,1,7,"coding"
"DNM1",23,17,6,0,1,7,"coding"
"DPP4",17,11,6,0,1,7,"coding"
"FAF1",29,23,6,0,1,7,"coding"
"FEZ1",17,5,12,0,1,7,"coding"
"FMR1",49,46,3,0,1,7,"coding"
"IGF1R",186,170,16,0,1,7,"coding"
"IL16",13,9,4,0,1,7,"coding"
"ITGAV",43,33,10,0,1,7,"coding"
"JAK2",65,36,29,0,1,7,"coding"
"LNX1",21,10,11,0,1,7,"coding"
