"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACVR1",76,55,21,0,1,NA,"coding"
"ADCYAP1",25,23,2,0,1,NA,"coding"
"APOE",10,4,6,0,1,NA,"coding"
"ARHGAP8",3,2,1,0,1,NA,"coding"
"ARPC3",21,19,2,0,1,NA,"coding"
"ATP5J2",10,8,2,0,1,NA,"coding"
"AVP",4,2,2,0,1,NA,"coding"
"BCL2",82,71,11,0,1,NA,"coding"
"BNIP3L",36,31,5,0,1,NA,"coding"
"C14orf1",25,19,6,0,1,NA,"coding"
"CABP1",7,6,1,0,1,NA,"coding"
"CALM1",60,52,8,0,1,NA,"coding"
"CAMLG",26,23,3,0,1,NA,"coding"
"CAPNS1",27,23,4,0,1,NA,"coding"
"CCDC85B",68,56,12,0,1,NA,"coding"
"CCL25",2,1,1,0,1,NA,"coding"
"CD247",23,9,14,0,1,NA,"coding"
"CD79A",10,5,5,0,1,NA,"coding"
"CDC42",61,38,23,0,1,NA,"coding"
"CDK9",27,22,5,0,1,NA,"coding"
"CHMP1B",52,50,2,0,1,NA,"coding"
"CIB1",7,4,3,0,1,NA,"coding"
"CNOT7",42,38,4,0,1,NA,"coding"
"CSK",32,24,8,0,1,NA,"coding"
"CSNK2B",67,28,39,0,1,NA,"coding"
"CXCL13",7,6,1,0,1,NA,"coding"
"DHFR",12,10,2,0,1,NA,"coding"
"DLEU1",24,22,2,0,1,NA,"coding"
"DPY30",11,10,1,0,1,NA,"coding"
"DUSP23",11,6,5,0,1,NA,"coding"
"DYNLL1",32,22,10,0,1,NA,"coding"
"E2F2",93,82,11,0,1,NA,"coding"
"EBI3",13,12,1,0,1,NA,"coding"
"EIF4EBP1",44,40,4,0,1,NA,"coding"
"EVL",11,8,3,0,1,NA,"coding"
"FCER1G",10,4,6,0,1,NA,"coding"
"FKBP1A",36,35,1,0,1,NA,"coding"
"FYN",115,77,38,0,1,NA,"coding"
"GABARAPL2",6,5,1,0,1,NA,"coding"
"GADD45G",22,13,9,0,1,NA,"coding"
"GAS1",34,32,2,0,1,NA,"coding"
"GDNF",57,55,2,0,1,NA,"coding"
"GRB2",93,67,26,0,1,NA,"coding"
"H2AFX",45,40,5,0,1,NA,"coding"
"HOXB7",8,6,2,0,1,NA,"coding"
"HSPA1A",35,30,5,0,1,NA,"coding"
"HSPBP1",8,6,2,0,1,NA,"coding"
"IGF2",52,47,5,0,1,NA,"coding"
"IKBKG",44,39,5,0,1,NA,"coding"
"KCTD15",52,51,1,0,1,NA,"coding"
"LEF1",30,19,11,0,1,NA,"coding"
"LSM2",11,6,5,0,1,NA,"coding"
"LTB",17,15,2,0,1,NA,"coding"
"M6PR",24,23,1,0,1,NA,"coding"
"MAFG",42,37,5,0,1,NA,"coding"
"MAP1LC3B",43,40,3,0,1,NA,"coding"
"MDFI",43,40,3,0,1,NA,"coding"
"MED31",10,8,2,0,1,NA,"coding"
"MVD",6,5,1,0,1,NA,"coding"
"NEDD8",12,5,7,0,1,NA,"coding"
"NFYA",261,53,208,0,1,NA,"coding"
"NME1",24,22,2,0,1,NA,"coding"
"PBX2",25,21,4,0,1,NA,"coding"
"PFN1",60,52,8,0,1,NA,"coding"
"PFN2",57,54,3,0,1,NA,"coding"
"PIN1",63,47,16,0,1,NA,"coding"
"PLSCR1",48,35,13,0,1,NA,"coding"
"POLE4",11,10,1,0,1,NA,"coding"
"POLR2E",25,21,4,0,1,NA,"coding"
"POMC",7,4,3,0,1,NA,"coding"
"PPP1CA",29,23,6,0,1,NA,"coding"
"PRMT1",23,14,9,0,1,NA,"coding"
"PRSS23",28,26,2,0,1,NA,"coding"
"RAB5B",75,71,4,0,1,NA,"coding"
"RAC1",54,45,9,0,1,NA,"coding"
"RAMP1",3,2,1,0,1,NA,"coding"
"RAP1GAP",7,6,1,0,1,NA,"coding"
"RASSF1",16,10,6,0,1,NA,"coding"
"RBL2",36,32,4,0,1,NA,"coding"
"RHOG",25,21,4,0,1,NA,"coding"
"RING1",14,11,3,0,1,NA,"coding"
"RIT1",17,15,2,0,1,NA,"coding"
"RNF11",119,100,19,0,1,NA,"coding"
"RNF4",32,31,1,0,1,NA,"coding"
"RPLP1",42,35,7,0,1,NA,"coding"
"RRAS2",38,32,6,0,1,NA,"coding"
"SAA1",13,11,2,0,1,NA,"coding"
"SDCBP",33,28,5,0,1,NA,"coding"
"SGTA",12,8,4,0,1,NA,"coding"
"SIAH2",23,22,1,0,1,NA,"coding"
"SIGIRR",9,7,2,0,1,NA,"coding"
"SLC9A3R2",30,22,8,0,1,NA,"coding"
"SMN1",46,18,28,0,1,NA,"coding"
"SNIP1",61,57,4,0,1,NA,"coding"
"SUMO2",40,35,5,0,1,NA,"coding"
"SYNJ2BP",58,55,3,0,1,NA,"coding"
"TAF10",22,13,9,0,1,NA,"coding"
"TNF",13,12,1,0,1,NA,"coding"
"TNFRSF13C",76,74,2,0,1,NA,"coding"
"TNFRSF14",17,10,7,0,1,NA,"coding"
"TNFRSF4",5,1,4,0,1,NA,"coding"
"TNFSF11",24,19,5,0,1,NA,"coding"
"TNFSF12",3,2,1,0,1,NA,"coding"
"TYROBP",6,4,2,0,1,NA,"coding"
"VDR",110,27,83,0,1,NA,"coding"
"VHL",47,41,6,0,1,NA,"coding"
"WNT1",18,16,2,0,1,NA,"coding"
"YWHAH",47,45,2,0,1,NA,"coding"
"YWHAQ",75,64,11,0,1,NA,"coding"
