"Name","K","Kin","Kout","TypeI","TypeII"
"TK1",68,46,22,0,1
"SYNCRIP",100,97,3,0,1
"A2M",16,9,7,0,1
"ATF7IP",110,88,22,0,1
"MYOC",6,3,3,0,1
"MAP1LC3B",43,40,3,0,1
"YWHAZ",161,119,42,0,1
"MDFI",43,40,3,0,1
"ABCA1",65,58,7,0,1
"CSNK2A1",132,109,23,0,1
"MPP6",42,39,3,0,1
"RDX",62,57,5,0,1
"ABL1",77,49,28,0,1
"HSPA8",65,55,10,0,1
"SOS1",78,59,19,0,1
"SOS2",38,34,4,0,1
"SPTAN1",28,19,9,0,1
"CASP9",25,22,3,0,1
"CDK5",24,17,7,0,1
"CRK",140,114,26,0,1
"POLR2A",78,68,10,0,1
"PRKD1",36,27,9,0,1
"PRKDC",54,47,7,0,1
"PTPN12",53,50,3,0,1
"RB1",134,114,20,0,1
"SFN",11,9,2,0,1
"YTHDC1",64,62,2,0,1
"YWHAG",207,161,46,0,1
"YWHAH",47,45,2,0,1
"ACAP1",2,1,1,0,1
"USP7",38,34,4,0,1
"ACIN1",29,27,2,0,1
"CTNNB1",111,90,21,0,1
"INSR",65,41,24,0,1
"PPP2CB",22,21,1,0,1
"MYLK",82,76,6,0,1
"VCL",106,77,29,0,1
"ACTA2",21,18,3,0,1
"ACTB",104,90,14,0,1
"EMD",23,19,4,0,1
"H2AFX",45,40,5,0,1
"ACTG1",52,40,12,0,1
"GSN",21,16,5,0,1
"PDPK1",97,84,13,0,1
"PFN2",57,54,3,0,1
"CDKN1A",139,127,12,0,1
"ACTN1",36,29,7,0,1
"ACTN4",48,45,3,0,1
"COIL",56,52,4,0,1
"CHD3",27,20,7,0,1
"DCTN1",11,8,3,0,1
"CDC42",61,38,23,0,1
"CDH1",39,26,13,0,1
"ACVR1",76,55,21,0,1
"RAP2A",34,27,7,0,1
"RRAS2",38,32,6,0,1
"SOCS6",43,38,5,0,1
"UBE2E3",28,27,1,0,1
"ACVR2A",45,44,1,0,1
"SYNJ2BP",58,55,3,0,1
"TGFB1",29,20,9,0,1
"TGFBR1",126,80,46,0,1
"TGFBR2",103,91,12,0,1
"ADAM10",52,49,3,0,1
"DLL1",20,18,2,0,1
"SH3D19",44,43,1,0,1
"TGFA",33,31,2,0,1
"MAD2L1",15,11,4,0,1
"NOTCH1",46,38,8,0,1
"ADAM19",42,40,2,0,1
"TNFSF11",24,19,5,0,1
"SNX9",53,52,1,0,1
"FN1",92,74,18,0,1
"RAF1",79,60,19,0,1
"ADCYAP1",25,23,2,0,1
"CASP2",46,36,10,0,1
"APPL1",58,51,7,0,1
"SLC9A3R2",30,22,8,0,1
"GNAI1",40,29,11,0,1
"GNAI2",55,47,8,0,1
"GRB2",93,67,26,0,1
"CSK",32,24,8,0,1
"GPRASP1",19,8,11,0,1
"GRK5",27,22,5,0,1
"SRC",76,36,40,0,1
"CSNK2B",67,28,39,0,1
"MAPK3",36,30,6,0,1
"PRKCB",46,41,5,0,1
"CXCR4",25,15,10,0,1
"PRKCE",44,35,9,0,1
"PRKCZ",37,19,18,0,1
"ATXN1L",89,79,10,0,1
"UBE3A",51,48,3,0,1
"SMN1",46,18,28,0,1
"CCDC85B",68,56,12,0,1
"CCDC90B",18,15,3,0,1
"HRAS",46,25,21,0,1
"JAK2",65,36,29,0,1
"CDKN2A",28,26,2,0,1
"ARNT",55,28,27,0,1
"EP300",176,154,22,0,1
"NCOA2",65,52,13,0,1
"SMARCA4",52,26,26,0,1
"TAF4",29,24,5,0,1
"PRKAR2A",77,71,6,0,1
"AKAP10",35,31,4,0,1
"GSK3B",152,111,41,0,1
"YWHAB",114,94,20,0,1
"CALM1",60,52,8,0,1
"PPP3CA",38,29,9,0,1
"KPNB1",80,67,13,0,1
"PRPF40A",75,58,17,0,1
"AKAP9",34,30,4,0,1
"PKN1",15,13,2,0,1
"AKT1",64,53,11,0,1
"BAD",21,12,9,0,1
"XRN1",76,70,6,0,1
"SHC3",32,30,2,0,1
"DNM1",23,17,6,0,1
"MAPK6",143,113,30,0,1
"SYN1",11,8,3,0,1
"PTEN",95,89,6,0,1
"ANXA7",49,36,13,0,1
"TEK",16,10,6,0,1
"SPTBN1",62,57,5,0,1
"ANK3",34,33,1,0,1
"PIP4K2C",31,28,3,0,1
"TRAF1",60,49,11,0,1
"ANXA1",18,10,8,0,1
"COPS6",47,33,14,0,1
"FAF1",29,23,6,0,1
"UNC119",31,12,19,0,1
"XRCC6",50,38,12,0,1
"NEDD4",51,46,5,0,1
"CDK4",74,62,12,0,1
"AP1M1",16,13,3,0,1
"AP2B1",46,39,7,0,1
"AP2A1",26,22,4,0,1
"HTT",49,36,13,0,1
"SMURF1",70,69,1,0,1
"AP3B1",40,37,3,0,1
"CLTC",87,75,12,0,1
"CASP3",87,55,32,0,1
"APP",112,86,26,0,1
"CCS",30,28,2,0,1
"PSEN1",45,35,10,0,1
"PFN1",60,52,8,0,1
"CTBP1",46,39,7,0,1
"SIAH1",34,31,3,0,1
"HDAC1",61,47,14,0,1
"SETDB1",46,39,7,0,1
"APOA1",11,5,6,0,1
"APOE",10,4,6,0,1
"CASP8",56,35,21,0,1
"CAV1",96,70,26,0,1
"COL4A2",40,38,2,0,1
"HSPG2",37,31,6,0,1
"NID1",39,36,3,0,1
"SHC1",52,34,18,0,1
"TP53BP2",26,23,3,0,1
"APPBP2",52,50,2,0,1
"PIK3CA",64,55,9,0,1
"EFEMP2",24,18,6,0,1
"CDC37",44,38,6,0,1
"CREBBP",345,89,256,0,1
"NCOR1",119,48,71,0,1
"NFKB1",156,29,127,0,1
"PIAS2",42,39,3,0,1
"PQBP1",12,10,2,0,1
"PRPF6",14,13,1,0,1
"RNF4",32,31,1,0,1
"RUNX1",472,82,390,0,1
"SMAD1",171,25,146,0,1
"TRIM24",39,31,8,0,1
"UBQLN4",53,39,14,0,1
"ARF1",56,51,5,0,1
"ATN1",51,34,17,0,1
"PTPN11",93,53,40,0,1
"RHOA",63,41,22,0,1
"TUBA4A",20,15,5,0,1
"SMURF2",70,53,17,0,1
"ARHGAP8",3,2,1,0,1
"ARHGDIA",68,65,3,0,1
"CBX5",178,172,6,0,1
"ARHGEF11",25,20,5,0,1
"GNA12",38,29,9,0,1
"GNA13",74,62,12,0,1
"ARHGEF12",56,50,6,0,1
"CD44",37,28,9,0,1
"IGF1R",186,170,16,0,1
"ARHGEF7",35,28,7,0,1
"CBLB",53,45,8,0,1
"SIN3A",70,63,7,0,1
"GAPDH",45,31,14,0,1
"RPL8",16,14,2,0,1
"UBR1",38,25,13,0,1
