"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-1269a",4,3,1,0,1,NA,"non-coding"
"hsa-miR-130a-5p",739,24,715,0,1,NA,"non-coding"
"hsa-miR-132-5p",238,32,206,0,1,NA,"non-coding"
"hsa-miR-135a-5p",253,8,245,0,1,NA,"non-coding"
"hsa-miR-142-5p",720,38,682,0,1,NA,"non-coding"
"hsa-miR-146a-5p",249,58,191,0,1,NA,"non-coding"
"hsa-miR-146b-5p",159,41,118,0,1,NA,"non-coding"
"hsa-miR-155-5p",408,46,362,0,1,NA,"non-coding"
"hsa-miR-181b-5p",636,53,583,0,1,NA,"non-coding"
"hsa-miR-18a-5p",400,51,349,0,1,NA,"non-coding"
"hsa-miR-206",145,4,141,0,1,NA,"non-coding"
"hsa-miR-21-5p",512,67,445,0,1,NA,"non-coding"
"hsa-miR-222-5p",368,16,352,0,1,NA,"non-coding"
"hsa-miR-223-5p",201,33,168,0,1,NA,"non-coding"
"hsa-miR-29b-2-5p",62,46,16,0,1,NA,"non-coding"
"hsa-miR-3124-5p",52,25,27,0,1,NA,"non-coding"
"hsa-miR-3614-5p",109,61,48,0,1,NA,"non-coding"
"hsa-miR-4473",41,27,14,0,1,NA,"non-coding"
"hsa-miR-506-5p",212,4,208,0,1,NA,"non-coding"
"hsa-miR-6762-5p",71,54,17,0,1,NA,"non-coding"
"hsa-miR-9-5p",658,43,615,0,1,NA,"non-coding"
"hsa-miR-92a-1-5p",563,37,526,0,1,NA,"non-coding"
