"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",10,3,7,0,1,381,"coding"
"DMD",9,5,4,0,1,56,"coding"
"NCOR1",31,13,18,0,1,45,"coding"
"RUNX1",27,13,14,0,1,34,"coding"
"LRP1",18,11,7,0,1,33,"coding"
"ANK3",3,2,1,0,1,28,"coding"
"AKAP9",11,8,3,0,1,27,"coding"
"PRKDC",22,16,6,0,1,26,"coding"
"FLNA",18,12,6,0,1,24,"coding"
"MED12",4,2,2,0,1,24,"coding"
"RB1",75,57,18,0,1,23,"coding"
"FBN1",22,17,5,0,1,20,"coding"
"TAF1",21,3,18,0,1,20,"coding"
"BRCA2",10,6,4,0,1,19,"coding"
"PIK3R1",59,24,35,0,1,18,"coding"
"SF3B1",11,5,6,0,1,18,"coding"
"ATXN2",8,5,3,0,1,17,"coding"
"CHD3",12,9,3,0,1,16,"coding"
"GOLGA4",5,3,2,0,1,16,"coding"
"HSPG2",22,17,5,0,1,16,"coding"
"POLA1",5,3,2,0,1,16,"coding"
"PTPN13",9,5,4,0,1,16,"coding"
"SPTAN1",8,5,3,0,1,16,"coding"
"TLN1",11,6,5,0,1,16,"coding"
"ATN1",19,9,10,0,1,15,"coding"
"CBLB",23,16,7,0,1,15,"coding"
"CREBBP",82,36,46,0,1,15,"coding"
"ITPR1",10,4,6,0,1,15,"coding"
"MPDZ",6,1,5,0,1,15,"coding"
"EP300",121,102,19,0,1,14,"coding"
"HTT",17,8,9,0,1,14,"coding"
"NUP98",8,2,6,0,1,14,"coding"
"RANBP2",15,5,10,0,1,14,"coding"
"TOPBP1",7,4,3,0,1,14,"coding"
"ARHGEF12",9,3,6,0,1,13,"coding"
"ATR",10,4,6,0,1,13,"coding"
"CASP8",29,11,18,0,1,13,"coding"
"ERBB2IP",6,4,2,0,1,13,"coding"
"FN1",42,27,15,0,1,13,"coding"
"PTPRF",8,4,4,0,1,13,"coding"
"ROBO2",4,2,2,0,1,13,"coding"
"ABCA1",21,16,5,0,1,12,"coding"
"CDKN1B",5,2,3,0,1,12,"coding"
"HTATSF1",3,2,1,0,1,12,"coding"
"JAK1",36,13,23,0,1,12,"coding"
"NID1",14,12,2,0,1,12,"coding"
"NRXN1",7,1,6,0,1,12,"coding"
"PTPRB",7,5,2,0,1,12,"coding"
