"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACTC1",3,1,2,0,1,NA,"coding"
"ACVR1",35,20,15,0,1,NA,"coding"
"AKAP5",8,2,6,0,1,NA,"coding"
"APOE",7,2,5,0,1,NA,"coding"
"ATP5J2",6,4,2,0,1,NA,"coding"
"BIRC5",9,7,2,0,1,NA,"coding"
"C14orf1",10,4,6,0,1,NA,"coding"
"CALM1",7,4,3,0,1,NA,"coding"
"CCDC85B",58,48,10,0,1,NA,"coding"
"CD247",19,6,13,0,1,NA,"coding"
"CDC42",24,9,15,0,1,NA,"coding"
"CIB1",6,3,3,0,1,NA,"coding"
"CLTB",5,2,3,0,1,NA,"coding"
"CNOT7",3,1,2,0,1,NA,"coding"
"CSK",19,12,7,0,1,NA,"coding"
"CSNK2B",49,20,29,0,1,NA,"coding"
"CXCL13",4,3,1,0,1,NA,"coding"
"DAZAP2",11,8,3,0,1,NA,"coding"
"DDIT3",8,5,3,0,1,NA,"coding"
"DHFR",2,1,1,0,1,NA,"coding"
"DRAP1",6,3,3,0,1,NA,"coding"
"DUSP23",10,5,5,0,1,NA,"coding"
"DYNLL1",11,6,5,0,1,NA,"coding"
"EBI3",3,2,1,0,1,NA,"coding"
"EIF3J",3,2,1,0,1,NA,"coding"
"FCER1G",7,3,4,0,1,NA,"coding"
"FOXA2",5,1,4,0,1,NA,"coding"
"FYN",69,38,31,0,1,NA,"coding"
"GADD45G",17,9,8,0,1,NA,"coding"
"GFRA1",2,1,1,0,1,NA,"coding"
"GRB2",15,6,9,0,1,NA,"coding"
"H2AFX",7,3,4,0,1,NA,"coding"
"HLA-DPA1",6,5,1,0,1,NA,"coding"
"HSPA1A",11,7,4,0,1,NA,"coding"
"HSPB1",8,5,3,0,1,NA,"coding"
"HSPBP1",3,2,1,0,1,NA,"coding"
"IKBKG",17,12,5,0,1,NA,"coding"
"KCTD13",3,1,2,0,1,NA,"coding"
"LTB",5,4,1,0,1,NA,"coding"
"MAFG",4,2,2,0,1,NA,"coding"
"MAFK",13,4,9,0,1,NA,"coding"
"MVD",3,2,1,0,1,NA,"coding"
"NEDD8",7,2,5,0,1,NA,"coding"
"NFYA",18,7,11,0,1,NA,"coding"
"NKX2-1",3,1,2,0,1,NA,"coding"
"NME3",4,2,2,0,1,NA,"coding"
"PCNA",31,24,7,0,1,NA,"coding"
"PDE6G",3,1,2,0,1,NA,"coding"
"PFN1",15,9,6,0,1,NA,"coding"
"PIN1",35,22,13,0,1,NA,"coding"
"PLSCR1",8,4,4,0,1,NA,"coding"
"POLR2E",9,5,4,0,1,NA,"coding"
"PPP1CA",10,6,4,0,1,NA,"coding"
"PPP1CC",8,7,1,0,1,NA,"coding"
"PRMT1",15,7,8,0,1,NA,"coding"
"RASSF1",8,4,4,0,1,NA,"coding"
"RBL2",10,7,3,0,1,NA,"coding"
"RBX1",8,5,3,0,1,NA,"coding"
"RGS19",11,5,6,0,1,NA,"coding"
"RHOG",7,3,4,0,1,NA,"coding"
"RING1",8,5,3,0,1,NA,"coding"
"RNF11",35,19,16,0,1,NA,"coding"
"RNF4",3,2,1,0,1,NA,"coding"
"RPL6",3,2,1,0,1,NA,"coding"
"RPLP1",14,9,5,0,1,NA,"coding"
"RRAS2",7,3,4,0,1,NA,"coding"
"SDCBP",6,4,2,0,1,NA,"coding"
"SET",11,8,3,0,1,NA,"coding"
"SIAH2",3,2,1,0,1,NA,"coding"
"SIVA1",3,2,1,0,1,NA,"coding"
"SLC9A3R2",9,4,5,0,1,NA,"coding"
"SMN1",31,11,20,0,1,NA,"coding"
"SNIP1",23,19,4,0,1,NA,"coding"
"STMN1",3,2,1,0,1,NA,"coding"
"STX5",4,3,1,0,1,NA,"coding"
"SUMO2",3,2,1,0,1,NA,"coding"
"TAF10",16,8,8,0,1,NA,"coding"
"TAF11",7,4,3,0,1,NA,"coding"
"TBPL1",2,1,1,0,1,NA,"coding"
"TERF1",5,1,4,0,1,NA,"coding"
"TNFRSF14",13,7,6,0,1,NA,"coding"
"VDR",8,1,7,0,1,NA,"coding"
"VHL",10,4,6,0,1,NA,"coding"
"YWHAQ",25,15,10,0,1,NA,"coding"
