"Name","K","Kin","Kout","TypeI","TypeII"
"SYNCRIP",9,6,3,0,1
"A2M",3,2,1,0,1
"CTSB",7,4,3,0,1
"YWHAZ",33,6,27,0,1
"ABCA1",21,16,5,0,1
"CSNK2A1",46,27,19,0,1
"ABL1",38,20,18,0,1
"NCK2",11,5,6,0,1
"SOS1",27,12,15,0,1
"SOS2",11,7,4,0,1
"CDK5",14,11,3,0,1
"CRK",45,22,23,0,1
"POLR2A",34,25,9,0,1
"PRKD1",8,4,4,0,1
"RB1",75,57,18,0,1
"SFN",6,5,1,0,1
"YTHDC1",5,4,1,0,1
"YWHAG",136,98,38,0,1
"USP7",18,15,3,0,1
"CTNNB1",51,35,16,0,1
"MYLK",16,12,4,0,1
"ACTB",23,14,9,0,1
"CFL1",7,5,2,0,1
"EMD",8,4,4,0,1
"FHL3",8,7,1,0,1
"ACTC1",3,1,2,0,1
"VCL",49,24,25,0,1
"ACTN1",11,7,4,0,1
"CHD3",12,9,3,0,1
"CDC42",24,9,15,0,1
"ACVR1",35,20,15,0,1
"RAP2A",11,4,7,0,1
"RRAS2",7,3,4,0,1
"SOCS6",12,7,5,0,1
"TGFB1",12,4,8,0,1
"TGFBR2",24,14,10,0,1
"XIAP",15,7,8,0,1
"TGFA",5,3,2,0,1
"NOTCH1",18,13,5,0,1
"ADAM19",5,3,2,0,1
"FN1",42,27,15,0,1
"CASP2",7,2,5,0,1
"APPL1",5,1,4,0,1
"SLC9A3R2",9,4,5,0,1
"GNAI2",21,14,7,0,1
"GRB2",15,6,9,0,1
"GRK5",7,4,3,0,1
"MAPK3",16,10,6,0,1
"PDE6G",3,1,2,0,1
"CXCR4",15,5,10,0,1
"PRKCE",12,7,5,0,1
"AFF1",6,4,2,0,1
"CCNT1",12,11,1,0,1
"UBE3A",15,13,2,0,1
"SMN1",31,11,20,0,1
"CCDC85B",58,48,10,0,1
"CDKN2A",12,11,1,0,1
"ARNT",18,9,9,0,1
"EP300",121,102,19,0,1
"NCOA1",39,22,17,0,1
"NCOA2",26,13,13,0,1
"PRKAR2A",16,11,5,0,1
"AKAP10",4,1,3,0,1
"GSK3B",66,32,34,0,1
"YWHAB",44,28,16,0,1
"AKAP5",8,2,6,0,1
"CALM1",7,4,3,0,1
"IQGAP1",16,10,6,0,1
"KCNJ2",9,6,3,0,1
"PPP3CA",6,2,4,0,1
"KPNB1",26,14,12,0,1
"PRPF40A",39,24,15,0,1
"AKAP9",11,8,3,0,1
"AKT1",10,4,6,0,1
"BAD",15,9,6,0,1
"PRKDC",22,16,6,0,1
"PDPK1",34,22,12,0,1
"XRN1",12,8,4,0,1
"ATXN1L",25,17,8,0,1
"TGFBR1",50,18,32,0,1
"AMPH",8,1,7,0,1
"DNM1",10,6,4,0,1
"MAPK6",55,30,25,0,1
"ANXA7",26,17,9,0,1
"CSNK2B",49,20,29,0,1
"TEK",8,3,5,0,1
"SPTBN1",13,9,4,0,1
"ANK3",3,2,1,0,1
"HDAC4",13,11,2,0,1
"AURKB",7,6,1,0,1
"ANXA1",7,3,4,0,1
"COPS6",30,18,12,0,1
"FAF1",7,3,4,0,1
"AP2A1",2,1,1,0,1
"AP2B1",7,1,6,0,1
"CLTC",18,8,10,0,1
"CSNK1A1",11,6,5,0,1
"CASP3",41,17,24,0,1
"PFN1",15,9,6,0,1
"CTBP1",24,17,7,0,1
"SIAH1",8,6,2,0,1
"APEX1",7,3,4,0,1
"HDAC1",28,19,9,0,1
"PCNA",31,24,7,0,1
"CDKN1A",18,13,5,0,1
"APOE",7,2,5,0,1
"APP",25,9,16,0,1
"CAV1",43,26,17,0,1
"FLOT1",5,4,1,0,1
"HSPG2",22,17,5,0,1
"NID1",14,12,2,0,1
"APPBP2",3,1,2,0,1
"PIK3CA",10,3,7,0,1
"EFEMP2",10,6,4,0,1
"AR",57,16,41,0,1
"CDC37",31,25,6,0,1
"CREBBP",82,36,46,0,1
"KAT2B",32,27,5,0,1
"NCOA3",16,8,8,0,1
"NCOR1",31,13,18,0,1
"RUNX1",27,13,14,0,1
"SMAD1",33,11,22,0,1
"SP1",70,25,45,0,1
"TRIM24",14,7,7,0,1
"ARF1",2,1,1,0,1
"ATN1",19,9,10,0,1
"TK1",32,19,13,0,1
"PTPN11",49,18,31,0,1
"RASA1",40,19,21,0,1
"RHOA",24,9,15,0,1
"PKN1",9,7,2,0,1
"SMURF2",24,11,13,0,1
"ARHGDIA",10,8,2,0,1
"CBX5",21,17,4,0,1
"ARHGEF11",9,5,4,0,1
"GNA12",15,6,9,0,1
"GNA13",14,6,8,0,1
"ARHGEF12",9,3,6,0,1
"ARHGEF7",12,6,6,0,1
"CBLB",23,16,7,0,1
"SIN3A",30,23,7,0,1
"GAPDH",9,3,6,0,1
"RPL8",5,3,2,0,1
"UBR1",14,5,9,0,1
"UNC119",16,6,10,0,1
"TLE1",9,8,1,0,1
"ATP5J2",6,4,2,0,1
"WAS",19,10,9,0,1
"MAPKAPK2",5,3,2,0,1
"MDM2",20,9,11,0,1
"ARRB2",11,8,3,0,1
"ASGR1",4,2,2,0,1
"DHFR",2,1,1,0,1
"HSP90AA1",29,11,18,0,1
"CREB1",20,8,12,0,1
"GABPA",13,4,9,0,1
"GABPB1",4,1,3,0,1
"SPI1",30,13,17,0,1
"SMAD3",39,13,26,0,1
"BATF3",4,3,1,0,1
"JUN",18,5,13,0,1
"DDIT3",8,5,3,0,1
"ATF7IP",31,12,19,0,1
"LUC7L2",19,13,6,0,1
"H2AFX",7,3,4,0,1
"STK11",9,5,4,0,1
"TOPBP1",7,4,3,0,1
"WRN",7,5,2,0,1
"XRCC5",13,7,6,0,1
"CSE1L",8,6,2,0,1
"RASSF1",8,4,4,0,1
"ATR",10,4,6,0,1
"ATXN1",51,30,21,0,1
"ATXN2",8,5,3,0,1
"CDK6",8,4,4,0,1
"TRIM32",4,3,1,0,1
"U2AF2",6,5,1,0,1
"ITGA2B",3,2,1,0,1
"RNF11",35,19,16,0,1
"AURKA",4,1,3,0,1
"PPP1CC",8,7,1,0,1
"PRKCA",46,12,34,0,1
"SH3GL1",13,8,5,0,1
"B2M",9,7,2,0,1
"HLA-A",8,5,3,0,1
"MAFK",13,4,9,0,1
"EWSR1",13,6,7,0,1
"MAPK8",34,28,6,0,1
"PPP1CA",10,6,4,0,1
"YWHAQ",25,15,10,0,1
"HSPA1A",11,7,4,0,1
"DLG4",20,7,13,0,1
"PHYHIP",5,1,4,0,1
"SHANK1",10,2,8,0,1
"BAIAP2",5,3,2,0,1
"BRD7",7,6,1,0,1
"TCERG1",15,12,3,0,1
"CREB3L3",2,1,1,0,1
"BCL2L1",6,3,3,0,1
"MAP3K7",28,20,8,0,1
"BCAR1",19,14,5,0,1
"CD2AP",10,7,3,0,1
"GTF2A1",12,9,3,0,1
"NFKB2",13,6,7,0,1
"RXRA",8,6,2,0,1
"BCL6",6,3,3,0,1
"GNA11",8,4,4,0,1
"RBL1",21,16,5,0,1
"NEK9",2,1,1,0,1
"BIRC2",14,4,10,0,1
"CASP7",11,7,4,0,1
"DIABLO",4,3,1,0,1
"IKBKG",17,12,5,0,1
"BIRC5",9,7,2,0,1
"BLK",4,2,2,0,1
"BLNK",10,7,3,0,1
"BMI1",5,3,2,0,1
"PHC1",7,5,2,0,1
"RNF2",11,7,4,0,1
"BMPR2",23,12,11,0,1
"MAPK1",68,45,23,0,1
"BRCA2",10,6,4,0,1
"CCNA2",16,13,3,0,1
"CDK2",43,36,7,0,1
"KPNA1",5,4,1,0,1
"NFYA",18,7,11,0,1
"RFC1",7,5,2,0,1
"BRF1",9,4,5,0,1
"RBL2",10,7,3,0,1
"BRMS1",4,1,3,0,1
"RBP1",2,1,1,0,1
"PDLIM7",6,3,3,0,1
"BTK",29,5,24,0,1
"HCK",23,20,3,0,1
"LYN",56,27,29,0,1
"MYD88",15,9,6,0,1
"PRKCB",14,10,4,0,1
"SYK",27,8,19,0,1
"VAV1",23,20,3,0,1
"TNFRSF14",13,7,6,0,1
"BUB1",7,2,5,0,1
"PLK1",22,11,11,0,1
"C11orf58",4,2,2,0,1
"RPLP1",14,9,5,0,1
"SF3B1",11,5,6,0,1
"C14orf1",10,4,6,0,1
"HIPK3",17,13,4,0,1
"UBQLN4",20,12,8,0,1
"C3",12,4,8,0,1
