"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-146a-5p",40,12,28,0,1,NA,"non-coding"
"hsa-miR-148a-5p",36,3,33,0,1,NA,"non-coding"
"hsa-miR-150-5p",32,7,25,0,1,NA,"non-coding"
"hsa-miR-181b-5p",12,1,11,0,1,NA,"non-coding"
"hsa-miR-22-5p",109,12,97,0,1,NA,"non-coding"
"hsa-miR-221-5p",12,3,9,0,1,NA,"non-coding"
"hsa-miR-23a-5p",211,17,194,0,1,NA,"non-coding"
"hsa-miR-24-2-5p",4,3,1,0,1,NA,"non-coding"
"hsa-miR-25-5p",16,2,14,0,1,NA,"non-coding"
"hsa-miR-326",47,4,43,0,1,NA,"non-coding"
"hsa-miR-33a-5p",3,1,2,0,1,NA,"non-coding"
"hsa-miR-4638-5p",12,10,2,0,1,NA,"non-coding"
"hsa-miR-5698",10,3,7,0,1,NA,"non-coding"
"hsa-miR-6783-5p",9,4,5,0,1,NA,"non-coding"
"hsa-miR-7-5p",17,4,13,0,1,NA,"non-coding"
"hsa-miR-9-5p",16,2,14,0,1,NA,"non-coding"
