"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"GATA3",444,26,418,0,1,104,"coding"
"DMD",65,60,5,0,1,56,"coding"
"NCOR1",102,49,53,0,1,45,"coding"
"LRP2",14,11,3,0,1,39,"coding"
"PTEN",99,93,6,0,1,39,"coding"
"RUNX1",572,83,489,0,1,34,"coding"
"LRP1",51,38,13,0,1,33,"coding"
"RYR1",6,3,3,0,1,30,"coding"
"ANK2",27,25,2,0,1,29,"coding"
"ANK3",49,47,2,0,1,28,"coding"
"AKAP9",32,28,4,0,1,27,"coding"
"LYST",25,22,3,0,1,27,"coding"
"APC",56,53,3,0,1,24,"coding"
"FLNA",62,47,15,0,1,24,"coding"
"MED12",19,17,2,0,1,24,"coding"
"VCAN",73,63,10,0,1,24,"coding"
"ATM",57,41,16,0,1,23,"coding"
"RB1",141,117,24,0,1,23,"coding"
"LAMA1",19,11,8,0,1,21,"coding"
"DSP",30,29,1,0,1,20,"coding"
"FBN1",76,70,6,0,1,20,"coding"
"BRCA2",18,14,4,0,1,19,"coding"
"GRIN2A",86,79,7,0,1,18,"coding"
"PIK3R1",144,96,48,0,1,18,"coding"
"SF3B1",54,48,6,0,1,18,"coding"
"ATXN2",38,35,3,0,1,17,"coding"
"SHANK2",30,27,3,0,1,17,"coding"
"CHD3",33,25,8,0,1,16,"coding"
"HSPG2",35,30,5,0,1,16,"coding"
"PTPN13",26,21,5,0,1,16,"coding"
"SETDB1",40,31,9,0,1,16,"coding"
"SPTAN1",20,14,6,0,1,16,"coding"
"TLN1",87,80,7,0,1,16,"coding"
"ATN1",47,30,17,0,1,15,"coding"
"CBLB",51,43,8,0,1,15,"coding"
"CREBBP",276,79,197,0,1,15,"coding"
"DLG1",54,25,29,0,1,15,"coding"
"GRIK2",16,15,1,0,1,15,"coding"
"ITPR1",35,28,7,0,1,15,"coding"
"EP300",165,144,21,0,1,14,"coding"
"HTT",47,38,9,0,1,14,"coding"
"NCOA6",42,35,7,0,1,14,"coding"
"NUP98",50,44,6,0,1,14,"coding"
"TOPBP1",25,22,3,0,1,14,"coding"
"ARHGEF12",55,50,5,0,1,13,"coding"
"ATR",20,15,5,0,1,13,"coding"
"CASP8",61,38,23,0,1,13,"coding"
"ERBB2IP",46,44,2,0,1,13,"coding"
"FN1",106,85,21,0,1,13,"coding"
"NOS1",17,13,4,0,1,13,"coding"
"PLCB1",41,37,4,0,1,13,"coding"
"PTPRF",56,52,4,0,1,13,"coding"
"ABCA1",57,51,6,0,1,12,"coding"
"IKBKAP",24,21,3,0,1,12,"coding"
