"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",56,42,14,0,1
"TK1",80,56,24,0,1
"A2M",21,8,13,0,1
"ATF7IP",110,91,19,0,1
"H2AFX",55,47,8,0,1
"HMOX2",22,12,10,0,1
"MYOC",9,4,5,0,1
"NUDT21",50,41,9,0,1
"RAP1B",79,76,3,0,1
"MAP1LC3B",34,30,4,0,1
"MDFI",43,40,3,0,1
"RB1",141,117,24,0,1
"ABCA1",57,51,6,0,1
"CSNK2A1",141,116,25,0,1
"HAX1",20,18,2,0,1
"RDX",58,53,5,0,1
"ABL1",88,60,28,0,1
"EPS8",48,43,5,0,1
"NCK2",45,34,11,0,1
"SOS1",80,62,18,0,1
"SOS2",40,35,5,0,1
"ATM",57,41,16,0,1
"CAV1",109,79,30,0,1
"CRK",146,121,25,0,1
"PLSCR1",43,30,13,0,1
"POLR2A",71,63,8,0,1
"PRKD1",35,29,6,0,1
"PTPN12",48,45,3,0,1
"RAN",63,58,5,0,1
"YWHAE",102,92,10,0,1
"YWHAG",206,166,40,0,1
"HOOK2",10,9,1,0,1
"ATXN1",167,142,25,0,1
"CSNK2A2",38,28,10,0,1
"USP7",36,32,4,0,1
"FYN",156,98,58,0,1
"SPTAN1",20,14,6,0,1
"ACTA1",25,13,12,0,1
"GSN",40,34,6,0,1
"MYLK",82,78,4,0,1
"PFN1",54,44,10,0,1
"PRKCD",31,20,11,0,1
"VCL",137,106,31,0,1
"ACTB",126,106,20,0,1
"CDKN1A",90,83,7,0,1
"CFL1",25,20,5,0,1
"LMNA",27,23,4,0,1
"PFDN1",19,11,8,0,1
"ACTC1",16,12,4,0,1
"DYNLL1",33,24,9,0,1
"MAPK6",151,116,35,0,1
"PDPK1",83,72,11,0,1
"PIP4K2C",38,33,5,0,1
"ARHGDIA",56,54,2,0,1
"ACTN1",49,41,8,0,1
"KAT2B",55,50,5,0,1
"ACTN4",48,44,4,0,1
"CAMK2G",39,36,3,0,1
"DCTN1",20,17,3,0,1
"CHD3",33,25,8,0,1
"CDC42",75,56,19,0,1
"ACVR1",76,57,19,0,1
"AP2B1",45,38,7,0,1
"RAP2A",40,33,7,0,1
"SOCS6",47,42,5,0,1
"STX8",7,5,2,0,1
"ACVR2A",83,81,2,0,1
"TGFB1",33,23,10,0,1
"TGFB3",11,8,3,0,1
"TGFBR2",132,121,11,0,1
"GRB2",72,46,26,0,1
"ADAM10",56,54,2,0,1
"ADAM17",50,43,7,0,1
"NOTCH1",57,48,9,0,1
"TNFSF11",21,15,6,0,1
"RYR1",6,3,3,0,1
"FN1",106,85,21,0,1
"PRKCA",142,79,63,0,1
"RAF1",53,39,14,0,1
"ADCYAP1",37,36,1,0,1
"CALM1",75,61,14,0,1
"EDN1",31,29,2,0,1
"ADRBK1",44,34,10,0,1
"GNAI2",53,43,10,0,1
"YWHAZ",151,118,33,0,1
"ADRB2",20,15,5,0,1
"GPRASP1",24,11,13,0,1
"GRK5",31,25,6,0,1
"GRK6",32,27,5,0,1
"SLC9A3R1",29,21,8,0,1
"CSNK2B",70,26,44,0,1
"GIT1",40,29,11,0,1
"SRC",44,23,21,0,1
"CXCR4",29,19,10,0,1
"AES",17,15,2,0,1
"PRKCB",66,53,13,0,1
"PRKCE",37,28,9,0,1
"ATXN1L",100,91,9,0,1
"CCNT1",60,59,1,0,1
"SGSM2",28,25,3,0,1
"UBE3A",58,53,5,0,1
"AGFG1",75,71,4,0,1
"CCDC85B",74,59,15,0,1
"CTSG",20,10,10,0,1
"CDKN2A",28,27,1,0,1
"EP300",165,144,21,0,1
"NCOA1",103,74,29,0,1
"NCOA2",77,63,14,0,1
"TAF4",26,21,5,0,1
"AIP",21,20,1,0,1
"PRKAR2A",84,78,6,0,1
"AKAP10",32,29,3,0,1
"PRKAR1A",68,55,13,0,1
"GSK3B",141,102,39,0,1
"YWHAB",103,83,20,0,1
"KPNB1",87,75,12,0,1
"PRPF40A",88,71,17,0,1
"AKAP9",32,28,4,0,1
"PKN1",21,17,4,0,1
"AKT1",88,57,31,0,1
"BAD",23,12,11,0,1
"CHUK",56,42,14,0,1
