"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"TP53",49,15,34,0,1,328,"coding"
"GATA3",56,12,44,0,1,104,"coding"
"DMD",38,32,6,0,1,56,"coding"
"LRP2",12,8,4,0,1,39,"coding"
"PTEN",41,34,7,0,1,39,"coding"
"RUNX1",81,27,54,0,1,34,"coding"
"LRP1",38,25,13,0,1,33,"coding"
"RYR1",8,4,4,0,1,30,"coding"
"ANK2",18,16,2,0,1,29,"coding"
"ANK3",15,13,2,0,1,28,"coding"
"AKAP9",23,18,5,0,1,27,"coding"
"LYST",14,11,3,0,1,27,"coding"
"FLNA",50,35,15,0,1,24,"coding"
"MED12",11,9,2,0,1,24,"coding"
"RPGR",4,3,1,0,1,24,"coding"
"VCAN",48,38,10,0,1,24,"coding"
"ATM",27,10,17,0,1,23,"coding"
"ERBB2",18,10,8,0,1,23,"coding"
"RB1",118,94,24,0,1,23,"coding"
"LAMA1",15,6,9,0,1,21,"coding"
"DSP",12,11,1,0,1,20,"coding"
"ANK1",7,4,3,0,1,19,"coding"
"BRCA2",11,7,4,0,1,19,"coding"
"PIK3R1",109,58,51,0,1,18,"coding"
"SF3B1",21,15,6,0,1,18,"coding"
"ATXN2",10,7,3,0,1,17,"coding"
"SHANK2",4,1,3,0,1,17,"coding"
"CHD3",23,14,9,0,1,16,"coding"
"HSPG2",27,21,6,0,1,16,"coding"
"PTPN13",14,9,5,0,1,16,"coding"
"SETDB1",38,29,9,0,1,16,"coding"
"SPTAN1",16,9,7,0,1,16,"coding"
"TLN1",38,30,8,0,1,16,"coding"
"ATN1",39,20,19,0,1,15,"coding"
"CBLB",32,23,9,0,1,15,"coding"
"CNKSR2",16,13,3,0,1,15,"coding"
"CREBBP",128,53,75,0,1,15,"coding"
"DLG1",46,13,33,0,1,15,"coding"
"GRIK2",4,3,1,0,1,15,"coding"
"TLR4",32,21,11,0,1,15,"coding"
"EP300",148,126,22,0,1,14,"coding"
"HTT",31,21,10,0,1,14,"coding"
"LAMA5",6,5,1,0,1,14,"coding"
"NCOA6",28,21,7,0,1,14,"coding"
"NUP98",17,11,6,0,1,14,"coding"
"TOPBP1",11,8,3,0,1,14,"coding"
"ARHGEF12",26,21,5,0,1,13,"coding"
"ATR",11,6,5,0,1,13,"coding"
"CASP8",44,20,24,0,1,13,"coding"
"ERBB2IP",17,15,2,0,1,13,"coding"
"FN1",79,57,22,0,1,13,"coding"
"MYO15A",2,1,1,0,1,13,"coding"
"NOS1",10,4,6,0,1,13,"coding"
"PLCB1",13,9,4,0,1,13,"coding"
"PTPRF",10,6,4,0,1,13,"coding"
"ABCA1",25,19,6,0,1,12,"coding"
"JAK1",61,33,28,0,1,12,"coding"
"PTCH1",17,16,1,0,1,12,"coding"
"PTPRB",16,13,3,0,1,12,"coding"
"AP3B1",15,12,3,0,1,11,"coding"
"BACH2",49,43,6,0,1,11,"coding"
"C3",23,12,11,0,1,11,"coding"
"GPRASP1",22,8,14,0,1,11,"coding"
"GPRASP2",12,2,10,0,1,11,"coding"
"INSR",47,20,27,0,1,11,"coding"
"MAZ",78,21,57,0,1,11,"coding"
"MYLK",40,36,4,0,1,11,"coding"
"NFASC",8,6,2,0,1,11,"coding"
"PRKCQ",13,7,6,0,1,11,"coding"
"SMARCA4",23,10,13,0,1,11,"coding"
"SMARCC2",9,5,4,0,1,11,"coding"
"XRN1",33,27,6,0,1,11,"coding"
"AFF1",15,13,2,0,1,10,"coding"
"BMX",7,6,1,0,1,10,"coding"
"COL3A1",29,24,5,0,1,10,"coding"
"COL4A4",10,4,6,0,1,10,"coding"
"DIAPH2",21,20,1,0,1,10,"coding"
"DNMBP",8,5,3,0,1,10,"coding"
"HLA-B",10,6,4,0,1,10,"coding"
"ITSN1",43,35,8,0,1,10,"coding"
"MET",44,24,20,0,1,10,"coding"
"PROX1",23,18,5,0,1,10,"coding"
"SH3KBP1",37,30,7,0,1,10,"coding"
"SHANK1",11,2,9,0,1,10,"coding"
"SIN3A",42,36,6,0,1,10,"coding"
"TRAK2",8,6,2,0,1,10,"coding"
"UBR1",21,10,11,0,1,10,"coding"
"ACVR2A",40,38,2,0,1,9,"coding"
"AMPH",6,2,4,0,1,9,"coding"
"APP",57,26,31,0,1,9,"coding"
"ATXN1",103,75,28,0,1,9,"coding"
"CASK",31,17,14,0,1,9,"coding"
"CDK5RAP1",5,3,2,0,1,9,"coding"
"CHUK",40,25,15,0,1,9,"coding"
"COL4A2",15,14,1,0,1,9,"coding"
"EWSR1",46,21,25,0,1,9,"coding"
"FLII",8,5,3,0,1,9,"coding"
"IL6ST",26,24,2,0,1,9,"coding"
"ITGB2",23,9,14,0,1,9,"coding"
"KIAA1377",38,16,22,0,1,9,"coding"
"NTRK1",10,1,9,0,1,9,"coding"
"PIK3CB",21,13,8,0,1,9,"coding"
"PRKCE",20,11,9,0,1,9,"coding"
"RPS6KA3",49,40,9,0,1,9,"coding"
"SMARCC1",19,15,4,0,1,9,"coding"
"STAT4",10,3,7,0,1,9,"coding"
"USP8",13,11,2,0,1,9,"coding"
"A2M",21,6,15,0,1,8,"coding"
"ABL1",67,38,29,0,1,8,"coding"
"ACIN1",14,11,3,0,1,8,"coding"
"ACTG1",35,20,15,0,1,8,"coding"
"ARHGEF7",14,7,7,0,1,8,"coding"
"BMPR2",62,50,12,0,1,8,"coding"
"CAPN1",10,4,6,0,1,8,"coding"
"CAPN2",9,5,4,0,1,8,"coding"
"COL1A1",52,37,15,0,1,8,"coding"
"CREB3L3",2,1,1,0,1,8,"coding"
"DLG2",28,9,19,0,1,8,"coding"
"DLGAP4",6,3,3,0,1,8,"coding"
"EEF1A1",32,15,17,0,1,8,"coding"
"IARS",7,6,1,0,1,8,"coding"
"IRF3",19,11,8,0,1,8,"coding"
"ITK",18,15,3,0,1,8,"coding"
"JAK3",24,12,12,0,1,8,"coding"
"KDR",44,23,21,0,1,8,"coding"
"KIT",50,21,29,0,1,8,"coding"
"MAPK8IP3",17,8,9,0,1,8,"coding"
"MCM10",16,8,8,0,1,8,"coding"
"MLH1",7,6,1,0,1,8,"coding"
"MYO5A",15,13,2,0,1,8,"coding"
"NLRP1",5,4,1,0,1,8,"coding"
"NOTCH1",33,24,9,0,1,8,"coding"
"NR1H2",28,3,25,0,1,8,"coding"
"NUAK1",34,28,6,0,1,8,"coding"
"PARD3",14,7,7,0,1,8,"coding"
"PDGFRB",45,16,29,0,1,8,"coding"
"PLCG1",69,36,33,0,1,8,"coding"
"PLCG2",47,31,16,0,1,8,"coding"
"PLD1",23,20,3,0,1,8,"coding"
"POLR2B",11,10,1,0,1,8,"coding"
"PPL",11,8,3,0,1,8,"coding"
"PRKD2",20,16,4,0,1,8,"coding"
"PTK2",48,25,23,0,1,8,"coding"
"PTPN12",27,24,3,0,1,8,"coding"
"RAD50",9,5,4,0,1,8,"coding"
"RFC1",12,10,2,0,1,8,"coding"
"SEMA4D",6,5,1,0,1,8,"coding"
"SOS2",14,9,5,0,1,8,"coding"
"SYNCRIP",25,22,3,0,1,8,"coding"
"TEK",14,5,9,0,1,8,"coding"
"THBS1",62,54,8,0,1,8,"coding"
"TJP1",36,26,10,0,1,8,"coding"
"XPOT",12,10,2,0,1,8,"coding"
"ACTN4",12,7,5,0,1,7,"coding"
"AR",116,30,86,0,1,7,"coding"
"BCAR1",32,22,10,0,1,7,"coding"
"BTK",45,7,38,0,1,7,"coding"
"CBX8",17,15,2,0,1,7,"coding"
"CHM",6,5,1,0,1,7,"coding"
"CRMP1",18,3,15,0,1,7,"coding"
"CTNND1",27,24,3,0,1,7,"coding"
"DNM1",22,15,7,0,1,7,"coding"
"DNM2",27,18,9,0,1,7,"coding"
"DPP4",15,8,7,0,1,7,"coding"
"EPS8",27,20,7,0,1,7,"coding"
"FEZ1",18,5,13,0,1,7,"coding"
"FMR1",14,12,2,0,1,7,"coding"
"HDAC4",33,29,4,0,1,7,"coding"
"IGF1R",34,16,18,0,1,7,"coding"
"IL16",18,13,5,0,1,7,"coding"
"IQGAP1",42,32,10,0,1,7,"coding"
"ITGAV",30,20,10,0,1,7,"coding"
"JAK2",55,25,30,0,1,7,"coding"
"KCND1",8,7,1,0,1,7,"coding"
"KTN1",11,8,3,0,1,7,"coding"
"LEPR",23,12,11,0,1,7,"coding"
"LNX1",24,13,11,0,1,7,"coding"
"MCM7",26,18,8,0,1,7,"coding"
"MEIS1",22,17,5,0,1,7,"coding"
"NOP2",7,5,2,0,1,7,"coding"
"NR5A2",20,17,3,0,1,7,"coding"
"PIGR",13,11,2,0,1,7,"coding"
"PLA2G4A",28,19,9,0,1,7,"coding"
