"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACTC1",6,2,4,0,1,NA,"coding"
"ACVR1",55,36,19,0,1,NA,"coding"
"ADAM17",20,13,7,0,1,NA,"coding"
"ADCYAP1",6,5,1,0,1,NA,"coding"
"APEH",2,1,1,0,1,NA,"coding"
"ARF6",7,2,5,0,1,NA,"coding"
"ARPC3",9,6,3,0,1,NA,"coding"
"ATP5J2",12,10,2,0,1,NA,"coding"
"AVP",4,2,2,0,1,NA,"coding"
"AVPR1A",8,6,2,0,1,NA,"coding"
"BARX1",6,3,3,0,1,NA,"coding"
"BCL2",39,28,11,0,1,NA,"coding"
"BNIP3L",16,11,5,0,1,NA,"coding"
"BTBD2",21,19,2,0,1,NA,"coding"
"C14orf1",24,18,6,0,1,NA,"coding"
"CABP2",2,1,1,0,1,NA,"coding"
"CALM1",45,22,23,0,1,NA,"coding"
"CAMLG",6,2,4,0,1,NA,"coding"
"CAPNS1",14,9,5,0,1,NA,"coding"
"CCDC85B",73,58,15,0,1,NA,"coding"
"CD247",18,5,13,0,1,NA,"coding"
"CD79A",9,5,4,0,1,NA,"coding"
"CD81",16,11,5,0,1,NA,"coding"
"CDC42",48,26,22,0,1,NA,"coding"
"CDK9",23,15,8,0,1,NA,"coding"
"CHMP1B",8,6,2,0,1,NA,"coding"
"CIB1",12,9,3,0,1,NA,"coding"
"CNOT7",12,9,3,0,1,NA,"coding"
"CSF2",3,2,1,0,1,NA,"coding"
"CSK",24,18,6,0,1,NA,"coding"
"CSNK2B",71,26,45,0,1,NA,"coding"
"CXCL13",7,5,2,0,1,NA,"coding"
"CYCS",5,3,2,0,1,NA,"coding"
"DAZAP2",21,14,7,0,1,NA,"coding"
"DDIT3",12,7,5,0,1,NA,"coding"
"DLEU1",6,4,2,0,1,NA,"coding"
"DUSP23",12,7,5,0,1,NA,"coding"
"DVL2",20,10,10,0,1,NA,"coding"
"DYNLL1",30,21,9,0,1,NA,"coding"
"EBI3",6,5,1,0,1,NA,"coding"
"EIF4EBP1",12,8,4,0,1,NA,"coding"
"EXOSC6",13,3,10,0,1,NA,"coding"
"F2RL3",3,2,1,0,1,NA,"coding"
"FCER1G",10,3,7,0,1,NA,"coding"
"FGF1",19,13,6,0,1,NA,"coding"
"FYN",129,70,59,0,1,NA,"coding"
"GADD45A",16,11,5,0,1,NA,"coding"
"GADD45G",19,11,8,0,1,NA,"coding"
"GATA6",55,42,13,0,1,NA,"coding"
"GNG13",3,2,1,0,1,NA,"coding"
"GRB2",50,16,34,0,1,NA,"coding"
"H2AFX",24,16,8,0,1,NA,"coding"
"HBEGF",12,9,3,0,1,NA,"coding"
"HLA-DRA",7,4,3,0,1,NA,"coding"
"HSPA1A",31,20,11,0,1,NA,"coding"
"HSPA1B",15,14,1,0,1,NA,"coding"
"IFNGR2",9,5,4,0,1,NA,"coding"
"IGF1",53,52,1,0,1,NA,"coding"
"IGF2",31,26,5,0,1,NA,"coding"
"IRS2",20,13,7,0,1,NA,"coding"
"LEF1",14,6,8,0,1,NA,"coding"
"LSM2",9,3,6,0,1,NA,"coding"
"LTB",7,5,2,0,1,NA,"coding"
"MAFG",14,9,5,0,1,NA,"coding"
"MAP1LC3B",17,13,4,0,1,NA,"coding"
"MAPK11",8,7,1,0,1,NA,"coding"
"MDFI",30,25,5,0,1,NA,"coding"
"MED31",26,22,4,0,1,NA,"coding"
"MED9",13,7,6,0,1,NA,"coding"
"MMP7",11,3,8,0,1,NA,"coding"
"MVD",4,3,1,0,1,NA,"coding"
"NEDD8",10,3,7,0,1,NA,"coding"
"NFYA",27,10,17,0,1,NA,"coding"
"NME1",10,6,4,0,1,NA,"coding"
"NPM1",6,3,3,0,1,NA,"coding"
"PAFAH1B2",30,27,3,0,1,NA,"coding"
"PCNA",37,30,7,0,1,NA,"coding"
"PFN1",24,14,10,0,1,NA,"coding"
"PFN2",12,9,3,0,1,NA,"coding"
"PIN1",54,33,21,0,1,NA,"coding"
"PLSCR1",26,10,16,0,1,NA,"coding"
"POLR2E",14,10,4,0,1,NA,"coding"
"PPP1CA",31,24,7,0,1,NA,"coding"
"PPP1CC",28,25,3,0,1,NA,"coding"
"PPP1R9B",10,5,5,0,1,NA,"coding"
"PXN",39,14,25,0,1,NA,"coding"
"RAC1",39,24,15,0,1,NA,"coding"
"RAC2",6,2,4,0,1,NA,"coding"
"RASSF1",16,10,6,0,1,NA,"coding"
"RBL2",24,18,6,0,1,NA,"coding"
"RBPMS",26,22,4,0,1,NA,"coding"
"RGS19",14,7,7,0,1,NA,"coding"
"RGS2",23,9,14,0,1,NA,"coding"
"RHOG",6,4,2,0,1,NA,"coding"
"RIBC2",5,3,2,0,1,NA,"coding"
"RING1",13,10,3,0,1,NA,"coding"
"RNF11",50,32,18,0,1,NA,"coding"
"RNF216",6,4,2,0,1,NA,"coding"
