"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",49,35,14,0,1
"TK1",71,44,27,0,1
"A2M",21,6,15,0,1
"ATF7IP",49,28,21,0,1
"CDKN1A",39,30,9,0,1
"H2AFX",24,16,8,0,1
"HMOX2",17,7,10,0,1
"MYOC",12,5,7,0,1
"NUDT21",29,20,9,0,1
"RAP1B",32,29,3,0,1
"MAP1LC3B",17,13,4,0,1
"MDFI",30,25,5,0,1
"RB1",118,94,24,0,1
"ABCA1",25,19,6,0,1
"CSNK2A1",92,66,26,0,1
"MPP6",22,16,6,0,1
"RDX",22,17,5,0,1
"STX1A",21,14,7,0,1
"ABL1",67,38,29,0,1
"EPS8",27,20,7,0,1
"NCK2",29,15,14,0,1
"PAK2",38,31,7,0,1
"SOS1",50,32,18,0,1
"SOS2",14,9,5,0,1
"SPTAN1",16,9,7,0,1
"ATM",27,10,17,0,1
"CAV1",76,45,31,0,1
"CRK",71,45,26,0,1
"PLSCR1",26,10,16,0,1
"POLR2A",42,33,9,0,1
"PRKD1",25,19,6,0,1
"PTPN12",27,24,3,0,1
"RAN",21,13,8,0,1
"XRCC6",21,11,10,0,1
"YWHAE",31,17,14,0,1
"YWHAG",165,124,41,0,1
"ABL2",38,35,3,0,1
"CALCOCO2",20,14,6,0,1
"ATXN1",103,75,28,0,1
"CSNK2A2",28,16,12,0,1
"USP7",29,25,4,0,1
"ACIN1",14,11,3,0,1
"FYN",129,70,59,0,1
"ACTA1",24,8,16,0,1
"CFL1",15,10,5,0,1
"MYLK",40,36,4,0,1
"PFN1",24,14,10,0,1
"PRKCD",25,10,15,0,1
"VCL",100,69,31,0,1
"ACTB",82,60,22,0,1
"LMNA",15,11,4,0,1
"PFDN1",20,12,8,0,1
"ACTC1",6,2,4,0,1
"DYNLL1",30,21,9,0,1
"ACTG1",35,20,15,0,1
"MAPK6",99,63,36,0,1
"PDPK1",47,35,12,0,1
"PIP4K2C",16,11,5,0,1
"ARHGDIA",24,22,2,0,1
"ACTN1",35,27,8,0,1
"CAMK2A",20,16,4,0,1
"KAT2B",38,33,5,0,1
"ACTN4",12,7,5,0,1
"CAMK2G",13,10,3,0,1
"DCTN1",10,6,4,0,1
"CHD3",23,14,9,0,1
"ACTR2",28,22,6,0,1
"CDC42",48,26,22,0,1
"ACVR1",55,36,19,0,1
"AP2B1",17,9,8,0,1
"NRAS",29,24,5,0,1
"RAB25",7,6,1,0,1
"RAP2A",21,14,7,0,1
"SOCS6",15,10,5,0,1
"STX8",7,5,2,0,1
"ACVR2A",40,38,2,0,1
"INHBA",23,19,4,0,1
"TGFBR1",105,64,41,0,1
"TGFBR2",62,51,11,0,1
"GRB2",50,16,34,0,1
"ADAM10",26,24,2,0,1
"ADAM17",20,13,7,0,1
"NOTCH1",33,24,9,0,1
"TNFSF11",19,11,8,0,1
"RYR1",8,4,4,0,1
"FN1",79,57,22,0,1
"PRKCA",119,54,65,0,1
"RAF1",34,19,15,0,1
"ADCYAP1",6,5,1,0,1
"CALM1",45,22,23,0,1
"EDN1",21,19,2,0,1
"RGS2",23,9,14,0,1
"ADRBK1",22,11,11,0,1
"GNAI2",33,23,10,0,1
"YWHAZ",72,31,41,0,1
"ADRB2",13,6,7,0,1
"CSK",24,18,6,0,1
"GPRASP1",22,8,14,0,1
"GRK5",13,6,7,0,1
"GRK6",18,13,5,0,1
"SLC9A3R1",20,10,10,0,1
"CAPN2",9,5,4,0,1
"CSNK2B",71,26,45,0,1
"GIT1",30,18,12,0,1
"SRC",47,22,25,0,1
"CXCR4",22,11,11,0,1
"PRKCB",40,25,15,0,1
"PRKCE",20,11,9,0,1
"PRKCZ",42,18,24,0,1
"ATXN1L",47,37,10,0,1
"AFF1",15,13,2,0,1
"CCNT1",21,20,1,0,1
"AFP",2,1,1,0,1
"SGSM2",10,7,3,0,1
"UBE3A",33,28,5,0,1
"SMN1",23,5,18,0,1
"AGFG1",22,18,4,0,1
"CCDC85B",73,58,15,0,1
"CTSG",21,10,11,0,1
"CDKN2A",25,24,1,0,1
"EP300",148,126,22,0,1
"NCOA1",65,41,24,0,1
"NCOA2",40,26,14,0,1
"SMARCA4",23,10,13,0,1
"PRKAR2A",29,23,6,0,1
"AKAP10",8,4,4,0,1
"PRKAR1A",29,16,13,0,1
"GSK3B",108,68,40,0,1
"YWHAB",66,43,23,0,1
"IQGAP1",42,32,10,0,1
"KPNB1",51,39,12,0,1
"PRPF40A",63,46,17,0,1
"AKAP9",23,18,5,0,1
