"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-let-7i-5p",332,33,299,0,1,NA,"non-coding"
"hsa-miR-103a-2-5p",40,28,12,0,1,NA,"non-coding"
"hsa-miR-130a-5p",326,10,316,0,1,NA,"non-coding"
"hsa-miR-181a-5p",182,21,161,0,1,NA,"non-coding"
"hsa-miR-196b-5p",230,13,217,0,1,NA,"non-coding"
"hsa-miR-199b-5p",264,13,251,0,1,NA,"non-coding"
"hsa-miR-200c-5p",294,38,256,0,1,NA,"non-coding"
"hsa-miR-21-5p",231,43,188,0,1,NA,"non-coding"
"hsa-miR-214-5p",130,16,114,0,1,NA,"non-coding"
"hsa-miR-22-5p",253,25,228,0,1,NA,"non-coding"
"hsa-miR-23a-5p",550,35,515,0,1,NA,"non-coding"
"hsa-miR-24-1-5p",339,22,317,0,1,NA,"non-coding"
"hsa-miR-26a-5p",336,32,304,0,1,NA,"non-coding"
"hsa-miR-31-5p",182,10,172,0,1,NA,"non-coding"
"hsa-miR-338-5p",140,11,129,0,1,NA,"non-coding"
"hsa-miR-4638-5p",51,33,18,0,1,NA,"non-coding"
"hsa-miR-548aw",26,11,15,0,1,NA,"non-coding"
"hsa-miR-615-5p",42,5,37,0,1,NA,"non-coding"
"hsa-miR-92a-1-5p",155,12,143,0,1,NA,"non-coding"
"hsa-miR-99a-5p",140,28,112,0,1,NA,"non-coding"
