"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",54,46,8,0,1,381,"coding"
"GATA3",435,24,411,0,1,104,"coding"
"DMD",51,45,6,0,1,56,"coding"
"LRP2",21,12,9,0,1,39,"coding"
"PTEN",91,84,7,0,1,39,"coding"
"APOB",6,4,2,0,1,38,"coding"
"RUNX1",540,86,454,0,1,34,"coding"
"LRP1",48,37,11,0,1,33,"coding"
"RYR1",6,3,3,0,1,30,"coding"
"ANK2",21,20,1,0,1,29,"coding"
"ANK3",41,39,2,0,1,28,"coding"
"AKAP9",33,29,4,0,1,27,"coding"
"LYST",26,23,3,0,1,27,"coding"
"NOTCH2",81,71,10,0,1,27,"coding"
"FLNA",57,48,9,0,1,24,"coding"
"MED12",14,12,2,0,1,24,"coding"
"RPGR",3,2,1,0,1,24,"coding"
"VCAN",69,59,10,0,1,24,"coding"
"RB1",127,103,24,0,1,23,"coding"
"LAMA1",19,11,8,0,1,21,"coding"
"BRCA2",19,15,4,0,1,19,"coding"
"HDAC6",12,11,1,0,1,18,"coding"
"PIK3R1",133,86,47,0,1,18,"coding"
"SF3B1",51,45,6,0,1,18,"coding"
"CHD3",45,34,11,0,1,16,"coding"
"HSPG2",32,26,6,0,1,16,"coding"
"PCSK5",33,31,2,0,1,16,"coding"
"PTPN13",28,24,4,0,1,16,"coding"
"SPTAN1",24,17,7,0,1,16,"coding"
"ATN1",52,35,17,0,1,15,"coding"
"CBLB",47,39,8,0,1,15,"coding"
"CNKSR2",22,19,3,0,1,15,"coding"
"CREBBP",280,84,196,0,1,15,"coding"
"GRIK2",18,17,1,0,1,15,"coding"
"CFTR",10,8,2,0,1,14,"coding"
"EP300",161,143,18,0,1,14,"coding"
"HTT",58,48,10,0,1,14,"coding"
"NUP98",51,45,6,0,1,14,"coding"
"TOPBP1",25,22,3,0,1,14,"coding"
"TSC22D1",37,33,4,0,1,14,"coding"
"UBC",28,22,6,0,1,14,"coding"
"ARHGEF12",52,46,6,0,1,13,"coding"
"ATR",19,14,5,0,1,13,"coding"
"CASP8",64,42,22,0,1,13,"coding"
"FN1",97,77,20,0,1,13,"coding"
"MAP3K5",47,34,13,0,1,13,"coding"
"MYO15A",2,1,1,0,1,13,"coding"
"NOS1",21,16,5,0,1,13,"coding"
"ABCA1",56,52,4,0,1,12,"coding"
"IKBKAP",29,25,4,0,1,12,"coding"
"JAK1",68,46,22,0,1,12,"coding"
"NID1",37,35,2,0,1,12,"coding"
"PLXNA1",43,40,3,0,1,12,"coding"
"AP3B1",39,36,3,0,1,11,"coding"
"BACH2",95,73,22,0,1,11,"coding"
"EPRS",20,18,2,0,1,11,"coding"
"GPRASP1",18,6,12,0,1,11,"coding"
"GPRASP2",16,6,10,0,1,11,"coding"
"INSR",54,33,21,0,1,11,"coding"
"MYLK",71,67,4,0,1,11,"coding"
"NEDD9",31,29,2,0,1,11,"coding"
"NLGN3",11,9,2,0,1,11,"coding"
"PRKCQ",15,8,7,0,1,11,"coding"
"SMARCA4",56,22,34,0,1,11,"coding"
"XRN1",68,61,7,0,1,11,"coding"
"AFF1",62,55,7,0,1,10,"coding"
"ARHGEF1",24,20,4,0,1,10,"coding"
"COL3A1",37,33,4,0,1,10,"coding"
"COL4A4",34,27,7,0,1,10,"coding"
"DIAPH2",40,39,1,0,1,10,"coding"
"HIPK2",53,49,4,0,1,10,"coding"
"ITSN1",53,44,9,0,1,10,"coding"
"MARK2",40,39,1,0,1,10,"coding"
"MET",52,33,19,0,1,10,"coding"
"PROX1",68,55,13,0,1,10,"coding"
"SH3KBP1",44,39,5,0,1,10,"coding"
"SHANK1",13,3,10,0,1,10,"coding"
"UBR1",36,27,9,0,1,10,"coding"
"APBA1",34,31,3,0,1,9,"coding"
"APP",135,111,24,0,1,9,"coding"
"ATXN1",167,143,24,0,1,9,"coding"
"CASK",46,34,12,0,1,9,"coding"
"CHUK",50,35,15,0,1,9,"coding"
"COL4A2",40,37,3,0,1,9,"coding"
"CP",2,1,1,0,1,9,"coding"
"CUL9",7,5,2,0,1,9,"coding"
"EWSR1",46,30,16,0,1,9,"coding"
"FLII",12,9,3,0,1,9,"coding"
"IL6ST",83,80,3,0,1,9,"coding"
"ITGB2",26,9,17,0,1,9,"coding"
"KIAA1377",30,16,14,0,1,9,"coding"
"NACA",14,13,1,0,1,9,"coding"
"NTRK1",11,3,8,0,1,9,"coding"
"PIK3CB",49,41,8,0,1,9,"coding"
"PRKCE",51,40,11,0,1,9,"coding"
"RGS3",18,15,3,0,1,9,"coding"
"RPS6KA3",93,84,9,0,1,9,"coding"
"RTN4",51,44,7,0,1,9,"coding"
"STAT4",18,5,13,0,1,9,"coding"
"USP8",21,19,2,0,1,9,"coding"
"A2M",22,11,11,0,1,8,"coding"
"ABL1",68,44,24,0,1,8,"coding"
"ACTG1",65,50,15,0,1,8,"coding"
"ARHGEF7",35,30,5,0,1,8,"coding"
"BMPR2",81,69,12,0,1,8,"coding"
"CACHD1",22,20,2,0,1,8,"coding"
"CAPN1",26,19,7,0,1,8,"coding"
"COL1A1",64,53,11,0,1,8,"coding"
"CREB3L3",3,1,2,0,1,8,"coding"
"DLGAP4",26,24,2,0,1,8,"coding"
"EEF1A1",64,50,14,0,1,8,"coding"
"IARS",28,27,1,0,1,8,"coding"
"IRF3",38,16,22,0,1,8,"coding"
"JAK3",27,18,9,0,1,8,"coding"
"KDR",45,25,20,0,1,8,"coding"
"KIT",64,40,24,0,1,8,"coding"
"MAPK8IP3",38,27,11,0,1,8,"coding"
"MCM10",29,22,7,0,1,8,"coding"
"NCOR2",93,55,38,0,1,8,"coding"
"NFE2L1",62,61,1,0,1,8,"coding"
"NOTCH1",40,37,3,0,1,8,"coding"
"NR1H2",53,12,41,0,1,8,"coding"
"NUAK1",45,41,4,0,1,8,"coding"
"PDGFRB",41,20,21,0,1,8,"coding"
"PLCG1",92,65,27,0,1,8,"coding"
"PLD1",36,32,4,0,1,8,"coding"
"POLR2B",27,26,1,0,1,8,"coding"
"PRKD2",32,28,4,0,1,8,"coding"
"PTK2",60,39,21,0,1,8,"coding"
"PTPN12",43,41,2,0,1,8,"coding"
"PTPRC",30,20,10,0,1,8,"coding"
"RAD50",25,22,3,0,1,8,"coding"
"RFC1",18,16,2,0,1,8,"coding"
"RREB1",96,94,2,0,1,8,"coding"
"SYNCRIP",94,92,2,0,1,8,"coding"
"TEK",16,9,7,0,1,8,"coding"
"THBS1",109,100,9,0,1,8,"coding"
"TJP1",57,46,11,0,1,8,"coding"
"USP13",24,20,4,0,1,8,"coding"
"ACTN4",58,55,3,0,1,7,"coding"
"AXIN1",37,20,17,0,1,7,"coding"
"BCAR1",37,29,8,0,1,7,"coding"
"BTK",41,7,34,0,1,7,"coding"
"CRMP1",23,16,7,0,1,7,"coding"
"DNM2",52,43,9,0,1,7,"coding"
"DPP4",18,11,7,0,1,7,"coding"
"EPS8",42,35,7,0,1,7,"coding"
"FEZ1",19,6,13,0,1,7,"coding"
"FMR1",50,48,2,0,1,7,"coding"
"HDAC4",46,42,4,0,1,7,"coding"
"IGF1R",158,145,13,0,1,7,"coding"
"IL16",18,16,2,0,1,7,"coding"
"ITGAV",44,35,9,0,1,7,"coding"
"JAK2",57,32,25,0,1,7,"coding"
"JUP",26,22,4,0,1,7,"coding"
