"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",56,46,10,0,1
"TK1",92,68,24,0,1
"A2M",22,11,11,0,1
"ATF7IP",78,60,18,0,1
"CDK2AP2",11,9,2,0,1
"H2AFX",46,39,7,0,1
"HMOX2",24,16,8,0,1
"TNFRSF14",15,10,5,0,1
"MAP1LC3B",33,29,4,0,1
"RB1",127,103,24,0,1
"ABCA1",56,52,4,0,1
"CSNK2A1",141,119,22,0,1
"MPP6",43,41,2,0,1
"ABCF3",26,25,1,0,1
"EPS8",42,35,7,0,1
"HSPA8",77,63,14,0,1
"KRT15",18,14,4,0,1
"PCM1",25,23,2,0,1
"ABL1",68,44,24,0,1
"BCR",26,22,4,0,1
"CAV1",89,64,25,0,1
"CDK5",33,27,6,0,1
"CRK",142,119,23,0,1
"NEDD9",31,29,2,0,1
"POLR2A",71,60,11,0,1
"PRKD1",36,30,6,0,1
"PTPN12",43,41,2,0,1
"RAN",70,62,8,0,1
"YWHAE",98,85,13,0,1
"ABL2",117,114,3,0,1
"ATXN1",167,143,24,0,1
"AGT",7,3,4,0,1
"APP",135,111,24,0,1
"YWHAG",214,174,40,0,1
"ACP1",24,23,1,0,1
"SPTAN1",24,17,7,0,1
"CFL1",23,19,4,0,1
"PFN1",48,41,7,0,1
"VCL",137,108,29,0,1
"ACTB",119,96,23,0,1
"EMD",23,20,3,0,1
"FHL3",16,15,1,0,1
"PFDN1",21,15,6,0,1
"DMD",51,45,6,0,1
"MYLK",71,67,4,0,1
"ACTG1",65,50,15,0,1
"DYNLL1",34,26,8,0,1
"MAPK6",129,98,31,0,1
"PDPK1",80,68,12,0,1
"PIP4K2C",37,33,4,0,1
"RPS6KA5",71,66,5,0,1
"SH3GL2",22,20,2,0,1
"ARHGDIA",77,75,2,0,1
"ACTN1",50,41,9,0,1
"CAMK2A",38,35,3,0,1
"ACTN4",58,55,3,0,1
"DCTN1",18,14,4,0,1
"CHD3",45,34,11,0,1
"CDC42",69,46,23,0,1
"CTTN",36,32,4,0,1
"ACVR1",63,44,19,0,1
"AP2B1",51,41,10,0,1
"RAP2A",32,27,5,0,1
"STX8",6,5,1,0,1
"TGFB1",26,14,12,0,1
"TGFBR1",124,84,40,0,1
"TGFBR2",111,99,12,0,1
"GRB2",84,52,32,0,1
"ADAM10",51,49,2,0,1
"SH3D19",60,58,2,0,1
"ADAM17",45,39,6,0,1
"NOTCH1",40,37,3,0,1
"TNFSF11",28,19,9,0,1
"RYR1",6,3,3,0,1
"PCYT2",15,14,1,0,1
"FN1",97,77,20,0,1
"PRKCA",120,65,55,0,1
"RAF1",48,38,10,0,1
"APPL1",47,41,6,0,1
"ADM",40,38,2,0,1
"GNAZ",12,10,2,0,1
"EZR",25,20,5,0,1
"SLC9A3R2",33,25,8,0,1
"GNAI2",44,36,8,0,1
"GNAO1",25,18,7,0,1
"ARRB1",40,30,10,0,1
"GPRASP2",16,6,10,0,1
"GRK5",33,27,6,0,1
"SLC9A3R1",27,18,9,0,1
"ADRBK1",39,26,13,0,1
"GIT1",50,38,12,0,1
"MAPK3",49,38,11,0,1
"PEBP1",49,47,2,0,1
"SRC",72,40,32,0,1
"GTF2E1",24,23,1,0,1
"PRKCB",59,46,13,0,1
"PRKCE",51,40,11,0,1
"AFF1",62,55,7,0,1
"CCNT1",57,56,1,0,1
"SGSM2",33,29,4,0,1
"UBE3A",55,50,5,0,1
"CCDC85B",74,61,13,0,1
"CTSG",12,8,4,0,1
"EWSR1",46,30,16,0,1
"ARNT",52,27,25,0,1
"EP300",161,143,18,0,1
"NCOA1",121,79,42,0,1
"NCOA2",72,59,13,0,1
"NCOR2",93,55,38,0,1
"SMARCA4",56,22,34,0,1
"TAF4",31,27,4,0,1
"PRKAR2A",71,65,6,0,1
"AKAP10",33,28,5,0,1
"PRKAR1A",71,59,12,0,1
"GSK3B",139,103,36,0,1
"YWHAB",108,86,22,0,1
"PPP3CA",44,38,6,0,1
"AKAP8L",15,11,4,0,1
"KPNB1",86,74,12,0,1
"PRPF40A",90,74,16,0,1
"AKAP9",33,29,4,0,1
"PKN1",19,16,3,0,1
"AKT1",79,53,26,0,1
"BAD",24,14,10,0,1
"CASP3",102,67,35,0,1
"CHUK",50,35,15,0,1
"MDM2",113,107,6,0,1
"PPP2CA",69,62,7,0,1
"PTEN",91,84,7,0,1
"AKT2",45,37,8,0,1
"BCL2A1",6,4,2,0,1
"HSP90AA1",84,66,18,0,1
"ALB",6,4,2,0,1
"LUC7L2",66,58,8,0,1
"IGSF21",9,6,3,0,1
"XRN1",68,61,7,0,1
"JAK3",27,18,9,0,1
"PTN",18,8,10,0,1
"SSSCA1",11,10,1,0,1
"TOM1L1",14,6,8,0,1
"EGFR",114,68,46,0,1
"BMPR1B",23,11,12,0,1
"TEK",16,9,7,0,1
"ANK2",21,20,1,0,1
"ANK3",41,39,2,0,1
"HDAC4",46,42,4,0,1
"LRP2",21,12,9,0,1
"ANXA1",16,9,7,0,1
"COPS6",53,36,17,0,1
"TGM2",21,15,6,0,1
"UNC119",40,22,18,0,1
"XRCC6",67,60,7,0,1
"PLSCR1",52,36,16,0,1
"S100A6",4,3,1,0,1
"MED31",27,23,4,0,1
"RBBP4",65,57,8,0,1
"RPL13",14,10,4,0,1
"AP2A1",34,28,6,0,1
"RIT1",26,24,2,0,1
"HTT",58,48,10,0,1
"AP2M1",25,23,2,0,1
