"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-130a-5p",934,30,904,0,1,NA,"non-coding"
"hsa-miR-142-5p",748,39,709,0,1,NA,"non-coding"
"hsa-miR-146a-5p",268,57,211,0,1,NA,"non-coding"
"hsa-miR-181a-5p",630,45,585,0,1,NA,"non-coding"
"hsa-miR-21-5p",606,83,523,0,1,NA,"non-coding"
"hsa-miR-22-5p",772,69,703,0,1,NA,"non-coding"
"hsa-miR-29b-2-5p",76,56,20,0,1,NA,"non-coding"
"hsa-miR-3648",125,121,4,0,1,NA,"non-coding"
"hsa-miR-4503",30,23,7,0,1,NA,"non-coding"
"hsa-miR-4524a-5p",67,12,55,0,1,NA,"non-coding"
"hsa-miR-663a",100,75,25,0,1,NA,"non-coding"
"hsa-miR-6784-5p",42,32,10,0,1,NA,"non-coding"
"hsa-miR-6794-5p",81,33,48,0,1,NA,"non-coding"
"hsa-miR-8078",12,11,1,0,1,NA,"non-coding"
"hsa-miR-95-5p",54,32,22,0,1,NA,"non-coding"
