"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",13,6,7,0,1,381,"coding"
"GATA3",23,6,17,0,1,104,"coding"
"LRP2",15,8,7,0,1,39,"coding"
"PTEN",21,15,6,0,1,39,"coding"
"RUNX1",36,16,20,0,1,34,"coding"
"LRP1",25,16,9,0,1,33,"coding"
"MAP2K4",11,4,7,0,1,33,"coding"
"RYR1",4,1,3,0,1,30,"coding"
"ANK2",4,3,1,0,1,29,"coding"
"ANK3",5,3,2,0,1,28,"coding"
"AKAP9",15,12,3,0,1,27,"coding"
"LYST",10,7,3,0,1,27,"coding"
"NOTCH2",19,10,9,0,1,27,"coding"
"FLNA",22,17,5,0,1,24,"coding"
"MED12",4,2,2,0,1,24,"coding"
"RPGR",3,2,1,0,1,24,"coding"
"VCAN",36,27,9,0,1,24,"coding"
"ATM",21,6,15,0,1,23,"coding"
"ERBB2",8,3,5,0,1,23,"coding"
"RB1",81,61,20,0,1,23,"coding"
"LAMA1",13,6,7,0,1,21,"coding"
"ERBB3",7,2,5,0,1,20,"coding"
"FBN1",32,26,6,0,1,20,"coding"
"TAF1",32,5,27,0,1,20,"coding"
"ANK1",7,4,3,0,1,19,"coding"
"BRCA2",8,4,4,0,1,19,"coding"
"GRIN2A",15,9,6,0,1,18,"coding"
"HDAC6",7,6,1,0,1,18,"coding"
"PIK3R1",76,36,40,0,1,18,"coding"
"SF3B1",11,5,6,0,1,18,"coding"
"CHD3",22,15,7,0,1,16,"coding"
"HSPG2",21,16,5,0,1,16,"coding"
"PTPN13",10,6,4,0,1,16,"coding"
"SETDB1",20,15,5,0,1,16,"coding"
"SPTAN1",7,3,4,0,1,16,"coding"
"ATN1",23,11,12,0,1,15,"coding"
"CBLB",22,14,8,0,1,15,"coding"
"CREBBP",81,35,46,0,1,15,"coding"
"DLG1",26,1,25,0,1,15,"coding"
"EP300",108,92,16,0,1,14,"coding"
"EP400",4,2,2,0,1,14,"coding"
"HTT",20,13,7,0,1,14,"coding"
"NUP98",7,1,6,0,1,14,"coding"
"TOPBP1",7,4,3,0,1,14,"coding"
"UBC",8,2,6,0,1,14,"coding"
"ARHGEF12",13,8,5,0,1,13,"coding"
"ATR",8,3,5,0,1,13,"coding"
"CASP8",32,13,19,0,1,13,"coding"
"FN1",63,45,18,0,1,13,"coding"
"MAP3K5",16,7,9,0,1,13,"coding"
"NOS1",5,2,3,0,1,13,"coding"
"PLCB1",6,3,3,0,1,13,"coding"
"ABCA1",19,15,4,0,1,12,"coding"
"GRIN2B",4,1,3,0,1,12,"coding"
"IKBKAP",11,7,4,0,1,12,"coding"
"JAK1",30,11,19,0,1,12,"coding"
"NID1",21,19,2,0,1,12,"coding"
"BACH2",29,25,4,0,1,11,"coding"
"EPRS",6,4,2,0,1,11,"coding"
"GPRASP1",10,3,7,0,1,11,"coding"
"INSR",26,11,15,0,1,11,"coding"
"LTBP1",16,14,2,0,1,11,"coding"
"MAP1B",20,14,6,0,1,11,"coding"
"MYLK",27,23,4,0,1,11,"coding"
"NLGN3",4,2,2,0,1,11,"coding"
"PRKCQ",14,7,7,0,1,11,"coding"
"SMARCA4",16,7,9,0,1,11,"coding"
"XRN1",18,12,6,0,1,11,"coding"
"BMX",6,4,2,0,1,10,"coding"
"COL3A1",19,16,3,0,1,10,"coding"
"COL4A4",10,4,6,0,1,10,"coding"
"HLA-B",8,5,3,0,1,10,"coding"
"MET",21,6,15,0,1,10,"coding"
"PI4KA",2,1,1,0,1,10,"coding"
"PROX1",10,6,4,0,1,10,"coding"
"SH3KBP1",22,17,5,0,1,10,"coding"
"SHANK1",10,1,9,0,1,10,"coding"
"SIN3A",26,22,4,0,1,10,"coding"
"UBR1",16,7,9,0,1,10,"coding"
