Name,K,Kin,Kout,TypeI,TypeII,weight,Type
GATA3,23,6,17,0,1,104,coding
ERBB2,8,3,5,0,1,23,coding
TAF1,32,5,27,0,1,20,coding
HDAC6,7,6,1,0,1,18,coding
SETDB1,20,15,5,0,1,16,coding
DLG1,26,1,25,0,1,15,coding
EP400,4,2,2,0,1,14,coding
UBC,8,2,6,0,1,14,coding
ARHGEF12,13,8,5,0,1,13,coding
FN1,63,45,18,0,1,13,coding
JAK1,30,11,19,0,1,12,coding
NID1,21,19,2,0,1,12,coding
PRKCQ,14,7,7,0,1,11,coding
COL4A4,10,4,6,0,1,10,coding
PI4KA,2,1,1,0,1,10,coding
SH3KBP1,22,17,5,0,1,10,coding
SHANK1,10,1,9,0,1,10,coding
APBA1,4,2,2,0,1,9,coding
ATXN1,52,30,22,0,1,9,coding
ITGB2,24,9,15,0,1,9,coding
PIK3CB,15,9,6,0,1,9,coding
PRKCE,19,10,9,0,1,9,coding
CAPN2,5,2,3,0,1,8,coding
EEF1A1,19,9,10,0,1,8,coding
KIT,35,11,24,0,1,8,coding
PRKD2,11,7,4,0,1,8,coding
RAD50,6,3,3,0,1,8,coding
ROCK1,15,11,4,0,1,8,coding
THBS1,34,26,8,0,1,8,coding
TJP1,17,10,7,0,1,8,coding
ACTN4,11,9,2,0,1,7,coding
DNM2,15,8,7,0,1,7,coding
FEZ1,10,2,8,0,1,7,coding
HDAC4,16,13,3,0,1,7,coding
PLA2G4A,17,9,8,0,1,7,coding
POLR2A,38,29,9,0,1,7,coding
PPARGC1A,13,12,1,0,1,7,coding
PPFIA1,4,1,3,0,1,7,coding
SPTBN4,10,6,4,0,1,7,coding
TGM2,12,8,4,0,1,7,coding
TRIM24,13,6,7,0,1,7,coding
WWP1,6,3,3,0,1,7,coding
ABL2,11,8,3,0,1,6,coding
ARHGEF11,5,3,2,0,1,6,coding
CCNB1,17,7,10,0,1,6,coding
CCNT1,14,13,1,0,1,6,coding
CNKSR1,4,2,2,0,1,6,coding
CSE1L,14,12,2,0,1,6,coding
ENAH,15,8,7,0,1,6,coding
GNAZ,5,3,2,0,1,6,coding
MBIP,7,3,4,0,1,6,coding
PIK3R3,9,6,3,0,1,6,coding
PRKD3,7,5,2,0,1,6,coding
PTPRE,5,1,4,0,1,6,coding
RUNX1T1,37,21,16,0,1,6,coding
VCL,65,38,27,0,1,6,coding
ABCF3,4,3,1,0,1,5,coding
AKT2,9,5,4,0,1,5,coding
BTBD1,4,3,1,0,1,5,coding
CSF1,5,2,3,0,1,5,coding
DIS3,6,3,3,0,1,5,coding
HOOK2,8,6,2,0,1,5,coding
LUC7L2,18,11,7,0,1,5,coding
PKD2,8,6,2,0,1,5,coding
TOP1,12,10,2,0,1,5,coding
TRIM37,20,13,7,0,1,5,coding
BUB1,9,5,4,0,1,4,coding
CAMK2A,12,9,3,0,1,4,coding
CANX,14,5,9,0,1,4,coding
CAV1,54,31,23,0,1,4,coding
CBL,54,29,25,0,1,4,coding
DNAJC3,9,6,3,0,1,4,coding
HIF1A,44,17,27,0,1,4,coding
ITCH,5,3,2,0,1,4,coding
MEOX2,2,1,1,0,1,4,coding
NCDN,4,3,1,0,1,4,coding
REL,15,8,7,0,1,4,coding
RPS6KA5,16,11,5,0,1,4,coding
TCF3,28,5,23,0,1,4,coding
TNFRSF1A,23,10,13,0,1,4,coding
TRAF3,7,5,2,0,1,4,coding
TRIM39,2,1,1,0,1,4,coding
U2AF2,14,11,3,0,1,4,coding
WBP11,3,1,2,0,1,4,coding
CHMP2A,3,1,2,0,1,3,coding
CSNK2A1,45,29,16,0,1,3,coding
ERG,20,3,17,0,1,3,coding
GOPC,9,4,5,0,1,3,coding
HEXDC,3,1,2,0,1,3,coding
HSP90AA1,21,7,14,0,1,3,coding
ICAM3,4,2,2,0,1,3,coding
NR3C1,44,7,37,0,1,3,coding
SUMO1,11,9,2,0,1,3,coding
TRIP6,12,7,5,0,1,3,coding
VTN,13,4,9,0,1,3,coding
YWHAZ,61,24,37,0,1,3,coding
ZAP70,26,3,23,0,1,3,coding
BCL11A,5,3,2,0,1,2,coding
CD2AP,16,13,3,0,1,2,coding
F2RL2,5,2,3,0,1,2,coding
GRASP,2,1,1,0,1,2,coding
GRK5,12,8,4,0,1,2,coding
LCK,58,31,27,0,1,2,coding
NFIC,7,4,3,0,1,2,coding
PPP2CB,5,4,1,0,1,2,coding
PTPN6,48,9,39,0,1,2,coding
RAB3A,3,1,2,0,1,2,coding
TAF1C,6,3,3,0,1,2,coding
TGFB1,18,7,11,0,1,2,coding
TUBG1,7,3,4,0,1,2,coding
ARHGDIA,19,17,2,0,1,1,coding
EEF1G,19,5,14,0,1,1,coding
GAPDH,26,9,17,0,1,1,coding
GOLM1,3,2,1,0,1,1,coding
HDAC3,6,5,1,0,1,1,coding
IGFBP4,2,1,1,0,1,1,coding
LIMS1,12,8,4,0,1,1,coding
NFYB,18,7,11,0,1,1,coding
RAN,17,11,6,0,1,1,coding
SRC,50,25,25,0,1,1,coding
STX8,3,2,1,0,1,1,coding
TNK2,11,10,1,0,1,1,coding
VAMP2,6,3,3,0,1,1,coding
YAP1,25,22,3,0,1,1,coding
YWHAG,127,94,33,0,1,1,coding
