"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACP1",4,3,1,0,1,NA,"coding"
"ACVR1",40,23,17,0,1,NA,"coding"
"APOE",10,2,8,0,1,NA,"coding"
"ARF3",3,2,1,0,1,NA,"coding"
"ARL4D",7,6,1,0,1,NA,"coding"
"ARPC3",4,3,1,0,1,NA,"coding"
"ATP5J2",7,5,2,0,1,NA,"coding"
"BCL2",14,11,3,0,1,NA,"coding"
"C14orf1",9,7,2,0,1,NA,"coding"
"CALM1",8,6,2,0,1,NA,"coding"
"CAPNS1",8,4,4,0,1,NA,"coding"
"CCDC85B",60,48,12,0,1,NA,"coding"
"CCL3",6,5,1,0,1,NA,"coding"
"CD247",18,5,13,0,1,NA,"coding"
"CD79A",9,5,4,0,1,NA,"coding"
"CDC42",37,18,19,0,1,NA,"coding"
"CDK9",16,7,9,0,1,NA,"coding"
"CEBPA",22,6,16,0,1,NA,"coding"
"CEBPG",4,1,3,0,1,NA,"coding"
"CHMP1B",3,1,2,0,1,NA,"coding"
"CIB1",8,4,4,0,1,NA,"coding"
"CNOT7",3,2,1,0,1,NA,"coding"
"CSK",20,13,7,0,1,NA,"coding"
"CSNK2B",45,16,29,0,1,NA,"coding"
"CXCL13",4,3,1,0,1,NA,"coding"
"DAZAP2",11,8,3,0,1,NA,"coding"
"DCP1A",10,8,2,0,1,NA,"coding"
"DHFR",2,1,1,0,1,NA,"coding"
"DUSP23",11,6,5,0,1,NA,"coding"
"DVL2",13,6,7,0,1,NA,"coding"
"DYNLL1",19,11,8,0,1,NA,"coding"
"DYNLL2",9,6,3,0,1,NA,"coding"
"E2F2",12,8,4,0,1,NA,"coding"
"EIF4E",11,9,2,0,1,NA,"coding"
"EIF4EBP1",10,8,2,0,1,NA,"coding"
"FCER1G",7,3,4,0,1,NA,"coding"
"FGF1",10,8,2,0,1,NA,"coding"
"FOXA2",20,2,18,0,1,NA,"coding"
"FYN",82,41,41,0,1,NA,"coding"
"GABARAPL2",5,4,1,0,1,NA,"coding"
"GADD45G",18,8,10,0,1,NA,"coding"
"GATA6",2,1,1,0,1,NA,"coding"
"GNA15",2,1,1,0,1,NA,"coding"
"GNG13",3,2,1,0,1,NA,"coding"
"GRB2",40,16,24,0,1,NA,"coding"
"H2AFX",15,10,5,0,1,NA,"coding"
"HSPA1A",24,14,10,0,1,NA,"coding"
"HSPA1B",3,2,1,0,1,NA,"coding"
"IGF1",17,16,1,0,1,NA,"coding"
"IL2",8,6,2,0,1,NA,"coding"
"KCTD13",4,1,3,0,1,NA,"coding"
"LSM2",8,3,5,0,1,NA,"coding"
"LTB",7,5,2,0,1,NA,"coding"
"MAFG",5,3,2,0,1,NA,"coding"
"MAP1LC3B",13,9,4,0,1,NA,"coding"
"MAPK11",6,5,1,0,1,NA,"coding"
"MDFI",8,5,3,0,1,NA,"coding"
"MED31",14,11,3,0,1,NA,"coding"
"MED9",6,4,2,0,1,NA,"coding"
"MVD",4,3,1,0,1,NA,"coding"
"NME1",8,5,3,0,1,NA,"coding"
"NME3",5,3,2,0,1,NA,"coding"
"NPM1",5,2,3,0,1,NA,"coding"
"PCNA",25,21,4,0,1,NA,"coding"
"PFN1",12,7,5,0,1,NA,"coding"
"PFN2",4,1,3,0,1,NA,"coding"
"PIN1",39,23,16,0,1,NA,"coding"
"PLSCR1",18,7,11,0,1,NA,"coding"
"POMC",2,1,1,0,1,NA,"coding"
"PPIA",7,5,2,0,1,NA,"coding"
"PPP1CA",19,12,7,0,1,NA,"coding"
"PPP1CC",10,8,2,0,1,NA,"coding"
"PRMT1",23,13,10,0,1,NA,"coding"
"PXN",16,6,10,0,1,NA,"coding"
"RAB5A",17,2,15,0,1,NA,"coding"
"RAB5B",5,1,4,0,1,NA,"coding"
"RAC1",17,3,14,0,1,NA,"coding"
"RAP1GAP",6,5,1,0,1,NA,"coding"
"RASSF1",8,4,4,0,1,NA,"coding"
"RASSF8",2,1,1,0,1,NA,"coding"
"RBL2",18,14,4,0,1,NA,"coding"
"RGS19",13,6,7,0,1,NA,"coding"
"RGS2",7,3,4,0,1,NA,"coding"
"RHOG",6,4,2,0,1,NA,"coding"
"RING1",10,7,3,0,1,NA,"coding"
"RNF11",40,23,17,0,1,NA,"coding"
"RNF4",7,6,1,0,1,NA,"coding"
"RPL6",3,2,1,0,1,NA,"coding"
"RPLP1",17,10,7,0,1,NA,"coding"
"SDCBP",17,11,6,0,1,NA,"coding"
"SGTA",7,3,4,0,1,NA,"coding"
"SLC9A3R2",11,3,8,0,1,NA,"coding"
"SMN1",24,7,17,0,1,NA,"coding"
"SNIP1",22,19,3,0,1,NA,"coding"
"SOCS1",25,16,9,0,1,NA,"coding"
"SSSCA1",6,5,1,0,1,NA,"coding"
"SUMO2",7,5,2,0,1,NA,"coding"
"SYNJ2BP",6,2,4,0,1,NA,"coding"
"TAF10",15,7,8,0,1,NA,"coding"
"TCAP",5,2,3,0,1,NA,"coding"
"TNFRSF14",12,8,4,0,1,NA,"coding"
"TNFSF11",16,11,5,0,1,NA,"coding"
"TNFSF12",3,2,1,0,1,NA,"coding"
"TYROBP",6,4,2,0,1,NA,"coding"
"UBE2E2",6,5,1,0,1,NA,"coding"
"VBP1",3,2,1,0,1,NA,"coding"
"VHL",12,7,5,0,1,NA,"coding"
"YWHAH",10,9,1,0,1,NA,"coding"
"YWHAQ",30,19,11,0,1,NA,"coding"
