"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",63,51,12,0,1,381,"coding"
"DMD",52,47,5,0,1,56,"coding"
"NCOR1",110,44,66,0,1,45,"coding"
"LRP2",21,14,7,0,1,39,"coding"
"PTEN",108,102,6,0,1,39,"coding"
"LRP1",41,34,7,0,1,33,"coding"
"MAP2K4",43,37,6,0,1,33,"coding"
"RYR1",5,3,2,0,1,30,"coding"
"ANK3",35,33,2,0,1,28,"coding"
"AKAP9",32,29,3,0,1,27,"coding"
"LYST",21,18,3,0,1,27,"coding"
"FLNA",54,43,11,0,1,24,"coding"
"MED12",15,13,2,0,1,24,"coding"
"RB1",129,106,23,0,1,23,"coding"
"FLNC",24,20,4,0,1,21,"coding"
"DSP",31,29,2,0,1,20,"coding"
"ERBB3",34,27,7,0,1,20,"coding"
"FBN1",70,66,4,0,1,20,"coding"
"BRCA2",16,12,4,0,1,19,"coding"
"PIK3R1",133,84,49,0,1,18,"coding"
"SF3B1",55,50,5,0,1,18,"coding"
"CACNA1C",52,51,1,0,1,17,"coding"
"SHANK2",35,32,3,0,1,17,"coding"
"ANKRD11",28,26,2,0,1,16,"coding"
"CHD3",32,24,8,0,1,16,"coding"
"GOLGA4",39,37,2,0,1,16,"coding"
"HSPG2",30,25,5,0,1,16,"coding"
"LAMA2",5,4,1,0,1,16,"coding"
"PTPN13",32,26,6,0,1,16,"coding"
"SPTAN1",23,17,6,0,1,16,"coding"
"TLN1",66,57,9,0,1,16,"coding"
"ATN1",53,33,20,0,1,15,"coding"
"CBLB",55,47,8,0,1,15,"coding"
"CREBBP",307,89,218,0,1,15,"coding"
"DLG1",50,19,31,0,1,15,"coding"
"LAMA3",15,14,1,0,1,15,"coding"
"EP300",160,141,19,0,1,14,"coding"
"HTT",52,42,10,0,1,14,"coding"
"NCOA6",40,33,7,0,1,14,"coding"
"NUP98",48,42,6,0,1,14,"coding"
"RANBP2",79,69,10,0,1,14,"coding"
"TOPBP1",33,29,4,0,1,14,"coding"
"ACE",4,3,1,0,1,13,"coding"
"ARHGEF12",46,41,5,0,1,13,"coding"
"ATR",18,12,6,0,1,13,"coding"
"CASP8",63,40,23,0,1,13,"coding"
"FN1",72,58,14,0,1,13,"coding"
"GNAS",43,39,4,0,1,13,"coding"
"MYO15A",2,1,1,0,1,13,"coding"
"NOS1",28,21,7,0,1,13,"coding"
"PTPRF",62,58,4,0,1,13,"coding"
"CNTNAP2",21,20,1,0,1,12,"coding"
"COL4A1",53,48,5,0,1,12,"coding"
"COL7A1",12,9,3,0,1,12,"coding"
"GRIN2B",59,52,7,0,1,12,"coding"
"JAK1",67,37,30,0,1,12,"coding"
"MCM3AP",21,19,2,0,1,12,"coding"
"NID1",37,35,2,0,1,12,"coding"
"PTPRB",29,26,3,0,1,12,"coding"
"SPTBN2",35,33,2,0,1,12,"coding"
"AP3B1",46,42,4,0,1,11,"coding"
"C3",43,36,7,0,1,11,"coding"
"GPRASP1",24,11,13,0,1,11,"coding"
"GPRASP2",19,7,12,0,1,11,"coding"
"INSR",77,50,27,0,1,11,"coding"
"MYLK",70,65,5,0,1,11,"coding"
"NFASC",39,38,1,0,1,11,"coding"
"NFATC3",56,51,5,0,1,11,"coding"
"PRKCQ",13,7,6,0,1,11,"coding"
"XRN1",62,56,6,0,1,11,"coding"
"AFF1",65,57,8,0,1,10,"coding"
"COL1A2",53,45,8,0,1,10,"coding"
"COL3A1",34,31,3,0,1,10,"coding"
"DIAPH2",47,46,1,0,1,10,"coding"
"HIPK2",51,46,5,0,1,10,"coding"
"IL1RAP",37,29,8,0,1,10,"coding"
"ITSN1",51,43,8,0,1,10,"coding"
"MAP4K1",11,7,4,0,1,10,"coding"
"MED14",37,34,3,0,1,10,"coding"
"MET",55,37,18,0,1,10,"coding"
"PER1",60,56,4,0,1,10,"coding"
"PROX1",58,47,11,0,1,10,"coding"
"SHANK1",8,3,5,0,1,10,"coding"
"SIN3A",74,68,6,0,1,10,"coding"
"UBR1",39,28,11,0,1,10,"coding"
"ACVR2A",58,55,3,0,1,9,"coding"
"AMPH",3,2,1,0,1,9,"coding"
"APP",119,93,26,0,1,9,"coding"
"ATXN1",159,132,27,0,1,9,"coding"
"CASK",64,51,13,0,1,9,"coding"
"CHUK",48,32,16,0,1,9,"coding"
