"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACVR1",74,53,21,0,1,NA,"coding"
"ADAM17",48,43,5,0,1,NA,"coding"
"ADCYAP1",30,29,1,0,1,NA,"coding"
"ARF6",70,64,6,0,1,NA,"coding"
"ARL4D",29,28,1,0,1,NA,"coding"
"ASIP",3,2,1,0,1,NA,"coding"
"ATP5J2",16,13,3,0,1,NA,"coding"
"BCL2",85,73,12,0,1,NA,"coding"
"BNIP3L",38,33,5,0,1,NA,"coding"
"C14orf1",31,28,3,0,1,NA,"coding"
"CALM1",94,85,9,0,1,NA,"coding"
"CAPNS1",32,26,6,0,1,NA,"coding"
"CCDC85B",75,62,13,0,1,NA,"coding"
"CD247",21,6,15,0,1,NA,"coding"
"CD79A",12,7,5,0,1,NA,"coding"
"CD81",29,25,4,0,1,NA,"coding"
"CDC42",71,51,20,0,1,NA,"coding"
"CDK9",38,28,10,0,1,NA,"coding"
"CHMP1B",42,40,2,0,1,NA,"coding"
"CHMP4B",27,24,3,0,1,NA,"coding"
"CIB1",11,8,3,0,1,NA,"coding"
"CNOT7",45,42,3,0,1,NA,"coding"
"CORT",2,1,1,0,1,NA,"coding"
"CSF2",2,1,1,0,1,NA,"coding"
"CSK",35,28,7,0,1,NA,"coding"
"CSNK2B",77,33,44,0,1,NA,"coding"
"CXCL13",6,5,1,0,1,NA,"coding"
"DAZAP2",81,76,5,0,1,NA,"coding"
"DDIT3",18,12,6,0,1,NA,"coding"
"DUSP23",14,9,5,0,1,NA,"coding"
"DVL2",27,18,9,0,1,NA,"coding"
"DYNLL1",39,29,10,0,1,NA,"coding"
"DYNLL2",74,71,3,0,1,NA,"coding"
"FADD",26,20,6,0,1,NA,"coding"
"FCER1G",10,5,5,0,1,NA,"coding"
"FKBP1A",55,54,1,0,1,NA,"coding"
"FYN",117,76,41,0,1,NA,"coding"
"FZR1",18,15,3,0,1,NA,"coding"
"GABARAPL2",7,6,1,0,1,NA,"coding"
"GADD45G",22,15,7,0,1,NA,"coding"
"GNA15",4,3,1,0,1,NA,"coding"
"GRAP",10,7,3,0,1,NA,"coding"
"GRB2",72,51,21,0,1,NA,"coding"
"GZMB",8,1,7,0,1,NA,"coding"
"H2AFX",56,48,8,0,1,NA,"coding"
"HOXB7",7,4,3,0,1,NA,"coding"
"HSPA1A",41,33,8,0,1,NA,"coding"
"HSPA1B",47,45,2,0,1,NA,"coding"
"HSPB1",9,7,2,0,1,NA,"coding"
"IFNGR2",24,22,2,0,1,NA,"coding"
"IGF1",89,88,1,0,1,NA,"coding"
"IGF2",49,46,3,0,1,NA,"coding"
"IKBKG",61,55,6,0,1,NA,"coding"
"IRS2",46,38,8,0,1,NA,"coding"
"LSM2",7,2,5,0,1,NA,"coding"
"LTB",14,12,2,0,1,NA,"coding"
"MAFG",40,36,4,0,1,NA,"coding"
"MAP1LC3B",44,39,5,0,1,NA,"coding"
"MDFI",43,39,4,0,1,NA,"coding"
"MED17",41,40,1,0,1,NA,"coding"
"MED31",20,17,3,0,1,NA,"coding"
"MED9",10,8,2,0,1,NA,"coding"
"MVD",5,4,1,0,1,NA,"coding"
"NFYA",213,52,161,0,1,NA,"coding"
"NME1",25,22,3,0,1,NA,"coding"
"PCNA",43,37,6,0,1,NA,"coding"
"PFN1",60,49,11,0,1,NA,"coding"
"PIM1",18,16,2,0,1,NA,"coding"
"PIN1",64,45,19,0,1,NA,"coding"
"PLA2G10",4,3,1,0,1,NA,"coding"
"PPP1CA",35,29,6,0,1,NA,"coding"
"PPP1CC",69,67,2,0,1,NA,"coding"
"PRMT1",32,22,10,0,1,NA,"coding"
"PRSS23",26,22,4,0,1,NA,"coding"
"PSMC1",13,9,4,0,1,NA,"coding"
"PSME3",70,65,5,0,1,NA,"coding"
"PTK6",21,19,2,0,1,NA,"coding"
"PXN",57,31,26,0,1,NA,"coding"
"RAC1",90,74,16,0,1,NA,"coding"
"RAC3",12,10,2,0,1,NA,"coding"
"RASSF1",22,15,7,0,1,NA,"coding"
"RBL2",39,35,4,0,1,NA,"coding"
"RBPMS",24,22,2,0,1,NA,"coding"
"RGS2",19,11,8,0,1,NA,"coding"
"RHOG",20,16,4,0,1,NA,"coding"
"RING1",13,10,3,0,1,NA,"coding"
"RNF11",110,90,20,0,1,NA,"coding"
"RNF4",41,40,1,0,1,NA,"coding"
"RPS27A",34,29,5,0,1,NA,"coding"
"RPSA",13,9,4,0,1,NA,"coding"
"SCT",2,1,1,0,1,NA,"coding"
"SDCBP",42,38,4,0,1,NA,"coding"
"SGTA",13,7,6,0,1,NA,"coding"
"SIAH2",23,21,2,0,1,NA,"coding"
"SIGIRR",9,7,2,0,1,NA,"coding"
"SLC9A3R2",34,27,7,0,1,NA,"coding"
"SMN1",37,17,20,0,1,NA,"coding"
"SNIP1",58,55,3,0,1,NA,"coding"
"SOCS1",40,29,11,0,1,NA,"coding"
"SUMO2",42,38,4,0,1,NA,"coding"
"SUMO4",14,3,11,0,1,NA,"coding"
"TAF10",21,11,10,0,1,NA,"coding"
"TNFRSF14",17,9,8,0,1,NA,"coding"
"TNFSF11",12,7,5,0,1,NA,"coding"
"TYROBP",5,3,2,0,1,NA,"coding"
"UBB",51,37,14,0,1,NA,"coding"
"UBD",18,17,1,0,1,NA,"coding"
"VASP",27,23,4,0,1,NA,"coding"
"VDR",132,40,92,0,1,NA,"coding"
"VHL",43,37,6,0,1,NA,"coding"
"WNT1",16,15,1,0,1,NA,"coding"
"YWHAE",95,88,7,0,1,NA,"coding"
"YWHAQ",74,61,13,0,1,NA,"coding"
