"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",65,49,16,0,1
"A2M",16,4,12,0,1
"ATF7IP",91,68,23,0,1
"H2AFX",56,48,8,0,1
"HMOX2",24,14,10,0,1
"NUDT21",59,49,10,0,1
"RPP14",57,56,1,0,1
"TK1",77,52,25,0,1
"MAP1LC3B",44,39,5,0,1
"RB1",129,106,23,0,1
"CSNK2A1",151,126,25,0,1
"FADD",26,20,6,0,1
"MPP6",39,32,7,0,1
"HAX1",14,11,3,0,1
"RDX",46,41,5,0,1
"ABCF3",34,33,1,0,1
"ABL1",90,57,33,0,1
"EPS8",52,43,9,0,1
"NCK2",32,25,7,0,1
"SOS1",72,53,19,0,1
"SOS2",38,33,5,0,1
"SPTAN1",23,17,6,0,1
"BCAR1",30,23,7,0,1
"CAV1",82,57,25,0,1
"CDK5",28,21,7,0,1
"CRK",154,126,28,0,1
"POLR2A",67,57,10,0,1
"PRKD1",34,29,5,0,1
"PSTPIP1",10,9,1,0,1
"XRCC6",68,61,7,0,1
"YWHAB",90,69,21,0,1
"YWHAG",197,157,40,0,1
"HOOK2",11,9,2,0,1
"KRT15",14,13,1,0,1
"ATXN1",159,132,27,0,1
"FBLN1",12,9,3,0,1
"USP7",37,33,4,0,1
"ACE",4,3,1,0,1
"COMT",10,9,1,0,1
"ACIN1",32,31,1,0,1
"PPP2CB",26,24,2,0,1
"GSN",37,33,4,0,1
"ACTB",84,70,14,0,1
"CFL1",33,27,6,0,1
"EMD",28,25,3,0,1
"FHL3",18,17,1,0,1
"DYNLL1",39,29,10,0,1
"FHOD1",15,14,1,0,1
"MAPK6",137,103,34,0,1
"PDPK1",93,81,12,0,1
"PIP4K2C",38,33,5,0,1
"RPS6KA5",75,69,6,0,1
"VASP",27,23,4,0,1
"ACTN1",42,33,9,0,1
"MED14",37,34,3,0,1
"PKN1",19,16,3,0,1
"DISC1",38,36,2,0,1
"ACTN4",54,46,8,0,1
"CHD3",32,24,8,0,1
"CDC42",71,51,20,0,1
"ACVR1",74,53,21,0,1
"AP2B1",56,47,9,0,1
"RAB25",14,13,1,0,1
"RAP2A",37,30,7,0,1
"RPS27A",34,29,5,0,1
"ACVR1B",59,54,5,0,1
"SNX1",57,52,5,0,1
"ACVR2A",58,55,3,0,1
"TGFB1",39,29,10,0,1
"TGFBR2",102,90,12,0,1
"ADAM10",44,42,2,0,1
"SH3D19",54,51,3,0,1
"TGFA",36,35,1,0,1
"ADAM17",48,43,5,0,1
"NOTCH1",50,43,7,0,1
"TNFSF11",12,7,5,0,1
"PRKCD",41,30,11,0,1
"FN1",72,58,14,0,1
"PRKCA",122,64,58,0,1
"RAF1",65,46,19,0,1
"ADCYAP1",30,29,1,0,1
"MME",29,25,4,0,1
"CALM1",94,85,9,0,1
"APPL1",49,43,6,0,1
"EDN1",37,34,3,0,1
"SLC9A3R2",34,27,7,0,1
"FLNC",24,20,4,0,1
"RGS2",19,11,8,0,1
"GNAI1",36,27,9,0,1
"DLG4",37,23,14,0,1
"GPRASP1",24,11,13,0,1
"GRB2",72,51,21,0,1
"GRK5",19,14,5,0,1
"SLC9A3R1",22,13,9,0,1
"GIT1",33,27,6,0,1
"MAPK3",37,28,9,0,1
"GTF2E1",25,24,1,0,1
"PRKCE",37,28,9,0,1
"PRKCZ",41,20,21,0,1
"SRC",46,29,17,0,1
"ATXN1L",90,80,10,0,1
"AFF1",65,57,8,0,1
"CCNT1",58,57,1,0,1
"UBE3A",61,56,5,0,1
"SMN1",37,17,20,0,1
"PIK3R1",133,84,49,0,1
"CCDC85B",75,62,13,0,1
"BRD7",32,29,3,0,1
"ERBB3",34,27,7,0,1
"GNAI2",50,43,7,0,1
"CDKN2A",33,32,1,0,1
"ARNT",63,30,33,0,1
"EP300",160,141,19,0,1
"NCOA1",100,66,34,0,1
"NCOA2",68,54,14,0,1
"AIP",19,18,1,0,1
"PPP1CA",35,29,6,0,1
"PRKAR2A",61,56,5,0,1
"PRKAR1A",64,48,16,0,1
"GSK3B",139,99,40,0,1
"YWHAZ",172,132,40,0,1
"IQGAP1",42,35,7,0,1
"AKAP8L",13,9,4,0,1
"KPNB1",89,77,12,0,1
"PRPF40A",82,65,17,0,1
"AKAP9",32,29,3,0,1
"AKT1",51,45,6,0,1
"BCL2A1",7,5,2,0,1
"HSP90AA1",107,87,20,0,1
"XRN1",62,56,6,0,1
"IRS1",71,56,15,0,1
"PTN",28,13,15,0,1
"RASA1",74,53,21,0,1
"AMPH",3,2,1,0,1
"CSNK2B",77,33,44,0,1
"TEK",16,9,7,0,1
"ANK3",35,33,2,0,1
"ANKRD11",28,26,2,0,1
"HDAC4",55,52,3,0,1
"LRP2",21,14,7,0,1
"COPS6",63,42,21,0,1
"GAPDH",64,49,15,0,1
"UNC119",36,14,22,0,1
"MED31",20,17,3,0,1
"RBBP4",71,62,9,0,1
"VIM",76,61,15,0,1
"AP1M1",32,26,6,0,1
"AP2A1",26,22,4,0,1
"SMURF1",70,69,1,0,1
"AP2M1",31,27,4,0,1
"MEGF10",11,8,3,0,1
"AP3B1",46,42,4,0,1
"CLTC",98,85,13,0,1
"CSNK1A1",89,79,10,0,1
"ARF1",77,70,7,0,1
"CASP3",97,59,38,0,1
"APP",119,93,26,0,1
"HDAC1",49,38,11,0,1
"UBE2I",72,60,12,0,1
"APOA1",12,7,5,0,1
"MAPT",38,34,4,0,1
"APOH",13,11,2,0,1
"PLG",9,8,1,0,1
"APPBP2",53,51,2,0,1
"NID1",37,35,2,0,1
"PSEN1",50,34,16,0,1
"PSEN2",14,10,4,0,1
"SNCA",16,8,8,0,1
"TP53BP2",29,26,3,0,1
"PIK3CA",63,51,12,0,1
"AR",686,81,605,0,1
"CDC37",45,40,5,0,1
"CREBBP",307,89,218,0,1
"FOXO1",318,67,251,0,1
"GTF2H1",37,31,6,0,1
"KAT2B",60,52,8,0,1
"MED1",53,48,5,0,1
"NCOA3",117,103,14,0,1
"NCOR1",110,44,66,0,1
"NCOR2",84,50,34,0,1
"NFKB1",203,29,174,0,1
"PIAS2",35,31,4,0,1
"RNF4",41,40,1,0,1
"SMAD1",192,30,162,0,1
"SMAD3",152,44,108,0,1
"SUMO1",78,74,4,0,1
"TRIM24",46,38,8,0,1
"EEF1G",34,15,19,0,1
"ARF6",70,64,6,0,1
"ARRB2",39,29,10,0,1
"TUBA4A",13,9,4,0,1
"SMURF2",83,63,20,0,1
"ARHGEF11",19,14,5,0,1
"GNA13",77,63,14,0,1
"ARHGEF12",46,41,5,0,1
"CD44",43,35,8,0,1
"IGF1R",159,137,22,0,1
"ARHGEF18",21,20,1,0,1
"RHOA",50,45,5,0,1
"ARHGEF2",32,31,1,0,1
"CBLB",55,47,8,0,1
"SMARCE1",37,32,5,0,1
"SIN3A",74,68,6,0,1
"UBE2L3",19,17,2,0,1
"TUBB2B",18,12,6,0,1
"UBR1",39,28,11,0,1
"ARL4D",29,28,1,0,1
"ATP5J2",16,13,3,0,1
"WAS",22,11,11,0,1
"PRMT1",32,22,10,0,1
"MAPK1",199,175,24,0,1
"CHUK",48,32,16,0,1
"HIPK3",92,86,6,0,1
"MED8",36,32,4,0,1
"BIN1",18,13,5,0,1
"H3F3A",21,20,1,0,1
"ASGR1",22,19,3,0,1
"ASIP",3,2,1,0,1
"F11R",32,27,5,0,1
"CREB1",457,99,358,0,1
"GABPB1",99,95,4,0,1
"SPI1",413,20,393,0,1
"DDIT3",18,12,6,0,1
"CDC34",24,22,2,0,1
"LUC7L2",63,55,8,0,1
"POLR2C",17,13,4,0,1
"ATG12",38,35,3,0,1
"MDFI",43,39,4,0,1
"GABARAPL2",7,6,1,0,1
"MDM2",174,163,11,0,1
"RBBP8",30,25,5,0,1
"TOPBP1",33,29,4,0,1
"WRN",43,40,3,0,1
"XRCC5",47,41,6,0,1
"ATN1",53,33,20,0,1
"EWSR1",40,23,17,0,1
"LYST",21,18,3,0,1
"SUMO2",42,38,4,0,1
"BCL2",85,73,12,0,1
"RASSF1",22,15,7,0,1
"ATP5C1",20,18,2,0,1
"PSME3",70,65,5,0,1
"ATR",18,12,6,0,1
"CDK6",116,110,6,0,1
"DAZAP2",81,76,5,0,1
"FAM46A",57,53,4,0,1
"TRIM32",18,17,1,0,1
"COIL",51,45,6,0,1
"ATXN3",90,84,6,0,1
"PSMD7",25,23,2,0,1
"RAD23A",18,15,3,0,1
"RNF11",110,90,20,0,1
"CDC20",21,17,4,0,1
"CDC25B",36,35,1,0,1
"NME1",25,22,3,0,1
"PPP1CC",69,67,2,0,1
"CTNNB1",112,91,21,0,1
"DAB2",48,38,10,0,1
"DVL2",27,18,9,0,1
"JUP",20,17,3,0,1
"PPP2CA",90,78,12,0,1
"SH3GL1",31,23,8,0,1
"CBL",97,72,25,0,1
"PIK3R3",52,50,2,0,1
"B2M",32,30,2,0,1
"CD1B",2,1,1,0,1
"VCL",119,90,29,0,1
"BAD",21,10,11,0,1
"BCL2L1",50,47,3,0,1
"MAPK8",112,104,8,0,1
"YWHAQ",74,61,13,0,1
"HSPA1A",41,33,8,0,1
"BAIAP2",16,10,6,0,1
"C14orf1",31,28,3,0,1
"DIAPH1",54,52,2,0,1
"VDAC1",25,21,4,0,1
"MAP3K7",68,60,8,0,1
"CASP8",63,40,23,0,1
"CD2AP",76,72,4,0,1
"TRIP6",23,16,7,0,1
"IKBKG",61,55,6,0,1
"CDK2",70,63,7,0,1
"MAPK14",92,83,9,0,1
"PIN1",64,45,19,0,1
"NFKB2",79,12,67,0,1
"IGSF21",11,7,4,0,1
"GNA11",25,21,4,0,1
"PTPN11",93,50,43,0,1
"BDNF",36,33,3,0,1
"CPE",54,51,3,0,1
"RBL1",55,50,5,0,1
"NEK9",69,68,1,0,1
"BIRC2",29,18,11,0,1
"CASP7",26,18,8,0,1
"DIABLO",25,22,3,0,1
"UBB",51,37,14,0,1
"BLNK",15,12,3,0,1
"PHC1",30,28,2,0,1
"RING1",13,10,3,0,1
"RNF2",49,45,4,0,1
"COL1A1",62,49,13,0,1
"COL7A1",12,9,3,0,1
"HSPG2",30,25,5,0,1
"LAMA3",15,14,1,0,1
"BMPR2",86,73,13,0,1
"BNIP3L",38,33,5,0,1
"GNB5",18,16,2,0,1
"RINT1",12,10,2,0,1
"MAP2K1",48,38,10,0,1
"BRCA2",16,12,4,0,1
"KPNA1",66,63,3,0,1
"NFYA",213,52,161,0,1
"RBL2",39,35,4,0,1
"BRMS1",10,6,4,0,1
"PDLIM7",12,10,2,0,1
