"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-130a-5p",614,28,586,0,1,NA,"non-coding"
"hsa-miR-135a-5p",196,7,189,0,1,NA,"non-coding"
"hsa-miR-141-5p",480,49,431,0,1,NA,"non-coding"
"hsa-miR-142-5p",628,41,587,0,1,NA,"non-coding"
"hsa-miR-145-5p",553,51,502,0,1,NA,"non-coding"
"hsa-miR-181a-5p",986,59,927,0,1,NA,"non-coding"
"hsa-miR-18a-5p",505,56,449,0,1,NA,"non-coding"
"hsa-miR-196b-5p",335,28,307,0,1,NA,"non-coding"
"hsa-miR-21-5p",729,107,622,0,1,NA,"non-coding"
"hsa-miR-215-5p",145,16,129,0,1,NA,"non-coding"
"hsa-miR-22-5p",642,63,579,0,1,NA,"non-coding"
"hsa-miR-223-5p",189,28,161,0,1,NA,"non-coding"
"hsa-miR-24-1-5p",652,43,609,0,1,NA,"non-coding"
"hsa-miR-27a-5p",1147,63,1084,0,1,NA,"non-coding"
"hsa-miR-338-5p",295,19,276,0,1,NA,"non-coding"
"hsa-miR-3614-5p",91,53,38,0,1,NA,"non-coding"
"hsa-miR-3648",105,101,4,0,1,NA,"non-coding"
"hsa-miR-4473",37,26,11,0,1,NA,"non-coding"
"hsa-miR-496",29,10,19,0,1,NA,"non-coding"
"hsa-miR-5699-5p",25,2,23,0,1,NA,"non-coding"
"hsa-miR-663a",63,44,19,0,1,NA,"non-coding"
"hsa-miR-6741-5p",60,27,33,0,1,NA,"non-coding"
"hsa-miR-6794-5p",75,32,43,0,1,NA,"non-coding"
"hsa-miR-9-5p",648,44,604,0,1,NA,"non-coding"
"hsa-miR-96-5p",620,25,595,0,1,NA,"non-coding"
