"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"PIK3CA",17,7,10,0,1,381,"coding"
"CDH1",13,3,10,0,1,119,"coding"
"DMD",14,9,5,0,1,56,"coding"
"NCOR1",38,19,19,0,1,45,"coding"
"LRP2",14,8,6,0,1,39,"coding"
"PTEN",15,10,5,0,1,39,"coding"
"RUNX1",9,4,5,0,1,34,"coding"
"LRP1",16,11,5,0,1,33,"coding"
"MAP2K4",9,3,6,0,1,33,"coding"
"RYR1",5,3,2,0,1,30,"coding"
"ANK3",9,7,2,0,1,28,"coding"
"AKAP9",12,9,3,0,1,27,"coding"
"LYST",8,5,3,0,1,27,"coding"
"FLNA",20,11,9,0,1,24,"coding"
"MED12",4,2,2,0,1,24,"coding"
"RB1",95,73,22,0,1,23,"coding"
"FLNC",5,2,3,0,1,21,"coding"
"ERBB3",11,4,7,0,1,20,"coding"
"FBN1",10,6,4,0,1,20,"coding"
"BRCA2",9,5,4,0,1,19,"coding"
"PTPRD",13,10,3,0,1,19,"coding"
"PIK3R1",81,34,47,0,1,18,"coding"
"SF3B1",10,5,5,0,1,18,"coding"
"ATXN2",8,5,3,0,1,17,"coding"
"CACNA1C",2,1,1,0,1,17,"coding"
"CTCF",11,4,7,0,1,17,"coding"
"SHANK2",3,1,2,0,1,17,"coding"
"CHD3",12,6,6,0,1,16,"coding"
"GOLGA4",3,1,2,0,1,16,"coding"
"HSPG2",15,10,5,0,1,16,"coding"
"LAMA2",5,4,1,0,1,16,"coding"
"PTPN13",13,7,6,0,1,16,"coding"
"SPTAN1",10,6,4,0,1,16,"coding"
"TLN1",12,4,8,0,1,16,"coding"
"ATN1",27,10,17,0,1,15,"coding"
"CBLB",23,15,8,0,1,15,"coding"
"CREBBP",109,47,62,0,1,15,"coding"
"DLG1",32,4,28,0,1,15,"coding"
"LAMA3",4,3,1,0,1,15,"coding"
"EP300",122,104,18,0,1,14,"coding"
"ERBB4",11,3,8,0,1,14,"coding"
"HTT",21,11,10,0,1,14,"coding"
"NUP98",8,2,6,0,1,14,"coding"
"RANBP2",13,3,10,0,1,14,"coding"
"TOPBP1",8,4,4,0,1,14,"coding"
"ARHGEF12",7,2,5,0,1,13,"coding"
"ATR",11,5,6,0,1,13,"coding"
"CASP8",32,10,22,0,1,13,"coding"
"ERBB2IP",6,4,2,0,1,13,"coding"
"FN1",28,15,13,0,1,13,"coding"
"GNAS",4,1,3,0,1,13,"coding"
"NOS1",13,6,7,0,1,13,"coding"
"PTPRF",11,7,4,0,1,13,"coding"
"COL4A1",12,7,5,0,1,12,"coding"
"COL7A1",7,4,3,0,1,12,"coding"
"HTATSF1",4,2,2,0,1,12,"coding"
"JAK1",32,7,25,0,1,12,"coding"
"MCM3AP",4,2,2,0,1,12,"coding"
"PTPRB",7,5,2,0,1,12,"coding"
"AP3B1",6,3,3,0,1,11,"coding"
"C3",10,3,7,0,1,11,"coding"
"GPRASP1",20,8,12,0,1,11,"coding"
"GPRASP2",11,1,10,0,1,11,"coding"
"INSR",45,18,27,0,1,11,"coding"
"MYLK",19,14,5,0,1,11,"coding"
"NFATC3",5,4,1,0,1,11,"coding"
"NLGN3",3,1,2,0,1,11,"coding"
"PRKCQ",11,6,5,0,1,11,"coding"
"SMARCC2",5,2,3,0,1,11,"coding"
"XRN1",13,7,6,0,1,11,"coding"
"AFF1",5,4,1,0,1,10,"coding"
"BMX",6,5,1,0,1,10,"coding"
"COL1A2",15,7,8,0,1,10,"coding"
"COL3A1",10,7,3,0,1,10,"coding"
"DIAPH2",2,1,1,0,1,10,"coding"
"HIPK2",8,3,5,0,1,10,"coding"
"ITSN1",20,13,7,0,1,10,"coding"
"MAGI2",5,2,3,0,1,10,"coding"
"MAP4K1",11,7,4,0,1,10,"coding"
"MET",19,4,15,0,1,10,"coding"
"PER1",9,5,4,0,1,10,"coding"
"PROX1",10,6,4,0,1,10,"coding"
"SATB1",5,1,4,0,1,10,"coding"
"SHANK1",7,3,4,0,1,10,"coding"
"SIN3A",35,29,6,0,1,10,"coding"
"UBR1",15,4,11,0,1,10,"coding"
"ACVR2A",5,4,1,0,1,9,"coding"
"APP",39,16,23,0,1,9,"coding"
"ATXN1",55,32,23,0,1,9,"coding"
"CASK",14,3,11,0,1,9,"coding"
"CHUK",32,16,16,0,1,9,"coding"
"CUL9",3,2,1,0,1,9,"coding"
"EWSR1",18,5,13,0,1,9,"coding"
"FLII",6,4,2,0,1,9,"coding"
"IL6ST",10,8,2,0,1,9,"coding"
"ITGB2",20,9,11,0,1,9,"coding"
"KIAA1377",28,10,18,0,1,9,"coding"
"NCOA3",18,9,9,0,1,9,"coding"
"NUMA1",3,2,1,0,1,9,"coding"
"PRKCE",17,9,8,0,1,9,"coding"
"SMARCC1",8,4,4,0,1,9,"coding"
"USP8",8,6,2,0,1,9,"coding"
"A2M",14,3,11,0,1,8,"coding"
"ABL1",53,25,28,0,1,8,"coding"
"ACVR1B",6,2,4,0,1,8,"coding"
"ARHGEF7",13,6,7,0,1,8,"coding"
"BMPR2",22,9,13,0,1,8,"coding"
"CACHD1",7,5,2,0,1,8,"coding"
"CDC25C",10,6,4,0,1,8,"coding"
"COL1A1",27,15,12,0,1,8,"coding"
"DLG2",11,2,9,0,1,8,"coding"
"EEF1A1",13,7,6,0,1,8,"coding"
"ELN",7,5,2,0,1,8,"coding"
"IARS",3,2,1,0,1,8,"coding"
"IRF3",6,3,3,0,1,8,"coding"
"JAK3",22,9,13,0,1,8,"coding"
"KDR",31,11,20,0,1,8,"coding"
"MAPK8IP3",11,5,6,0,1,8,"coding"
"MAST2",3,2,1,0,1,8,"coding"
"NCOR2",22,10,12,0,1,8,"coding"
"NOTCH1",21,15,6,0,1,8,"coding"
"NR1H2",18,2,16,0,1,8,"coding"
"NUAK1",6,2,4,0,1,8,"coding"
"PARD3",13,7,6,0,1,8,"coding"
"PDGFRB",29,7,22,0,1,8,"coding"
"PLCG1",31,14,17,0,1,8,"coding"
"PLCG2",32,20,12,0,1,8,"coding"
"PLD1",14,10,4,0,1,8,"coding"
"PPL",4,3,1,0,1,8,"coding"
"PRKD2",13,9,4,0,1,8,"coding"
"PRMT5",6,3,3,0,1,8,"coding"
"PTK2",43,17,26,0,1,8,"coding"
"PTPRC",26,15,11,0,1,8,"coding"
"RAD50",6,2,4,0,1,8,"coding"
"SOS2",15,10,5,0,1,8,"coding"
"SPTBN1",9,4,5,0,1,8,"coding"
"TEK",8,2,6,0,1,8,"coding"
"THBS1",17,9,8,0,1,8,"coding"
"TJP1",16,5,11,0,1,8,"coding"
"TRPC4",6,3,3,0,1,8,"coding"
"UBA1",4,2,2,0,1,8,"coding"
"XPOT",4,2,2,0,1,8,"coding"
"ACTN4",10,4,6,0,1,7,"coding"
"BCAR1",18,11,7,0,1,7,"coding"
"BTK",25,5,20,0,1,7,"coding"
"CHM",4,3,1,0,1,7,"coding"
"CTNND1",13,10,3,0,1,7,"coding"
"DPP4",5,2,3,0,1,7,"coding"
"ETS2",13,7,6,0,1,7,"coding"
"FEZ1",7,3,4,0,1,7,"coding"
"FMR1",7,5,2,0,1,7,"coding"
"IGF1R",33,14,19,0,1,7,"coding"
"IL16",8,6,2,0,1,7,"coding"
"IQGAP1",13,6,7,0,1,7,"coding"
"ITGAV",14,7,7,0,1,7,"coding"
"JAK2",44,19,25,0,1,7,"coding"
"JUP",11,8,3,0,1,7,"coding"
"KCND1",2,1,1,0,1,7,"coding"
"LEPR",10,1,9,0,1,7,"coding"
"LRP6",8,4,4,0,1,7,"coding"
"MEF2C",12,5,7,0,1,7,"coding"
"MEIS1",9,6,3,0,1,7,"coding"
"NCF2",4,2,2,0,1,7,"coding"
"PIAS2",14,10,4,0,1,7,"coding"
"PLA2G4A",15,9,6,0,1,7,"coding"
"PLCB2",3,2,1,0,1,7,"coding"
"POLR2A",39,29,10,0,1,7,"coding"
"PRKCB",17,12,5,0,1,7,"coding"
"PTK2B",17,9,8,0,1,7,"coding"
"RFX1",8,5,3,0,1,7,"coding"
"SMG5",2,1,1,0,1,7,"coding"
"SOX5",7,5,2,0,1,7,"coding"
"TP53BP2",15,12,3,0,1,7,"coding"
"TRIM24",16,9,7,0,1,7,"coding"
"UPF2",13,4,9,0,1,7,"coding"
"WRN",8,5,3,0,1,7,"coding"
"ACTN1",27,18,9,0,1,6,"coding"
"AP2A1",11,7,4,0,1,6,"coding"
"ATF7IP",36,14,22,0,1,6,"coding"
"BLK",3,2,1,0,1,6,"coding"
"CCNT1",10,9,1,0,1,6,"coding"
"CD1B",2,1,1,0,1,6,"coding"
"CEP70",12,8,4,0,1,6,"coding"
"CLTC",30,17,13,0,1,6,"coding"
"CNKSR1",5,3,2,0,1,6,"coding"
"CSE1L",8,6,2,0,1,6,"coding"
"EBF1",7,5,2,0,1,6,"coding"
"EPHB2",8,6,2,0,1,6,"coding"
"FAP",4,3,1,0,1,6,"coding"
"FHOD1",3,2,1,0,1,6,"coding"
"GNB2L1",8,5,3,0,1,6,"coding"
"GSK3A",9,8,1,0,1,6,"coding"
"HGS",28,14,14,0,1,6,"coding"
"HSPA8",14,6,8,0,1,6,"coding"
"HSPD1",8,1,7,0,1,6,"coding"
"IL4R",6,2,4,0,1,6,"coding"
"KAT2B",30,24,6,0,1,6,"coding"
"LYN",61,27,34,0,1,6,"coding"
"MAPK6",67,35,32,0,1,6,"coding"
"MEF2A",6,3,3,0,1,6,"coding"
"NCOA2",24,11,13,0,1,6,"coding"
"NEK9",4,3,1,0,1,6,"coding"
"NFKB2",17,9,8,0,1,6,"coding"
"PIK3CG",12,8,4,0,1,6,"coding"
"PIK3R3",8,6,2,0,1,6,"coding"
"PIK3R5",2,1,1,0,1,6,"coding"
"PIP4K2C",6,2,4,0,1,6,"coding"
"PLAT",5,4,1,0,1,6,"coding"
"POLA2",6,5,1,0,1,6,"coding"
"PPP3CA",9,2,7,0,1,6,"coding"
"PRKAR1A",21,7,14,0,1,6,"coding"
"PRKD1",15,10,5,0,1,6,"coding"
"RBL1",21,17,4,0,1,6,"coding"
"RGS4",5,3,2,0,1,6,"coding"
"SMURF2",33,14,19,0,1,6,"coding"
"SOX6",2,1,1,0,1,6,"coding"
"STUB1",12,2,10,0,1,6,"coding"
"UBQLN4",26,15,11,0,1,6,"coding"
"USP7",25,21,4,0,1,6,"coding"
"VCL",56,28,28,0,1,6,"coding"
"WAS",21,11,10,0,1,6,"coding"
"ABCF3",2,1,1,0,1,5,"coding"
"ACTB",31,18,13,0,1,5,"coding"
"ARHGEF2",2,1,1,0,1,5,"coding"
