"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"ACP1",7,6,1,0,1,NA,"coding"
"ACVR1",41,20,21,0,1,NA,"coding"
"ADCYAP1",3,2,1,0,1,NA,"coding"
"ARL4D",6,5,1,0,1,NA,"coding"
"ATP5J2",13,10,3,0,1,NA,"coding"
"BCL2",31,21,10,0,1,NA,"coding"
"BNIP3L",6,1,5,0,1,NA,"coding"
"C14orf1",12,10,2,0,1,NA,"coding"
"CALM1",20,13,7,0,1,NA,"coding"
"CAPNS1",10,4,6,0,1,NA,"coding"
"CCDC85B",64,52,12,0,1,NA,"coding"
"CD79A",9,4,5,0,1,NA,"coding"
"CD81",6,2,4,0,1,NA,"coding"
"CDC42",29,13,16,0,1,NA,"coding"
"CDK9",16,7,9,0,1,NA,"coding"
"CEBPA",17,7,10,0,1,NA,"coding"
"CHMP1B",7,5,2,0,1,NA,"coding"
"CHMP4B",8,5,3,0,1,NA,"coding"
"CIB1",7,4,3,0,1,NA,"coding"
"CNOT7",4,1,3,0,1,NA,"coding"
"CSK",19,12,7,0,1,NA,"coding"
"CSNK2B",70,28,42,0,1,NA,"coding"
"CXCL13",4,3,1,0,1,NA,"coding"
"DAZAP2",23,18,5,0,1,NA,"coding"
"DDIT3",11,6,5,0,1,NA,"coding"
"DHFR",2,1,1,0,1,NA,"coding"
"DRAP1",9,5,4,0,1,NA,"coding"
"DUSP23",12,7,5,0,1,NA,"coding"
"DVL2",15,6,9,0,1,NA,"coding"
"DYNLL1",25,17,8,0,1,NA,"coding"
"DYNLL2",6,3,3,0,1,NA,"coding"
"EBI3",3,2,1,0,1,NA,"coding"
"FYN",75,37,38,0,1,NA,"coding"
"GABARAPL2",3,2,1,0,1,NA,"coding"
"GADD45G",13,6,7,0,1,NA,"coding"
"GNA15",4,3,1,0,1,NA,"coding"
"GRAP",7,5,2,0,1,NA,"coding"
"GRB2",26,12,14,0,1,NA,"coding"
"GZMB",7,1,6,0,1,NA,"coding"
"H2AFX",16,8,8,0,1,NA,"coding"
"HSPA1A",13,8,5,0,1,NA,"coding"
"HSPA1B",3,2,1,0,1,NA,"coding"
"HSPBP1",4,3,1,0,1,NA,"coding"
"IGF1",8,7,1,0,1,NA,"coding"
"IGF2",7,4,3,0,1,NA,"coding"
"IKBKG",30,24,6,0,1,NA,"coding"
"IRS2",15,10,5,0,1,NA,"coding"
"KCTD13",4,1,3,0,1,NA,"coding"
"LSM2",7,2,5,0,1,NA,"coding"
"LTB",4,3,1,0,1,NA,"coding"
"MAFG",8,4,4,0,1,NA,"coding"
"MAP1LC3B",21,16,5,0,1,NA,"coding"
"MAPK12",11,5,6,0,1,NA,"coding"
"MDFI",23,20,3,0,1,NA,"coding"
"MED31",14,11,3,0,1,NA,"coding"
"MED9",5,4,1,0,1,NA,"coding"
"MVD",4,3,1,0,1,NA,"coding"
"NFYA",21,9,12,0,1,NA,"coding"
"NME1",8,5,3,0,1,NA,"coding"
"PCNA",22,17,5,0,1,NA,"coding"
"PFN1",19,9,10,0,1,NA,"coding"
"PIM1",4,2,2,0,1,NA,"coding"
"PIN1",40,21,19,0,1,NA,"coding"
"PLA2G10",2,1,1,0,1,NA,"coding"
"POLDIP2",4,1,3,0,1,NA,"coding"
"PPIA",5,3,2,0,1,NA,"coding"
"PPP1CA",21,15,6,0,1,NA,"coding"
"PPP1CC",9,7,2,0,1,NA,"coding"
"PRSS23",5,2,3,0,1,NA,"coding"
"PSMB1",3,1,2,0,1,NA,"coding"
"PSMC1",6,3,3,0,1,NA,"coding"
"PSME3",5,3,2,0,1,NA,"coding"
"PTK6",3,1,2,0,1,NA,"coding"
"PXN",32,12,20,0,1,NA,"coding"
"RAC1",14,4,10,0,1,NA,"coding"
"RAC3",3,1,2,0,1,NA,"coding"
"RASSF1",13,6,7,0,1,NA,"coding"
"RBL2",17,13,4,0,1,NA,"coding"
"RBPMS",10,8,2,0,1,NA,"coding"
"RHOG",8,4,4,0,1,NA,"coding"
"RING1",9,6,3,0,1,NA,"coding"
"RNF11",42,22,20,0,1,NA,"coding"
"RNF4",4,3,1,0,1,NA,"coding"
"RPSA",5,2,3,0,1,NA,"coding"
"SCT",2,1,1,0,1,NA,"coding"
"SDCBP",9,5,4,0,1,NA,"coding"
"SGTA",8,2,6,0,1,NA,"coding"
"SIAH2",3,2,1,0,1,NA,"coding"
"SIGIRR",7,5,2,0,1,NA,"coding"
"SLC9A3R2",12,6,6,0,1,NA,"coding"
"SMN1",28,9,19,0,1,NA,"coding"
"SNIP1",24,21,3,0,1,NA,"coding"
"SOCS1",17,7,10,0,1,NA,"coding"
"SUMO2",10,7,3,0,1,NA,"coding"
"SUMO4",12,2,10,0,1,NA,"coding"
"SYNJ2BP",6,2,4,0,1,NA,"coding"
"TAF10",17,7,10,0,1,NA,"coding"
"TNFRSF14",13,6,7,0,1,NA,"coding"
"TNFSF11",8,4,4,0,1,NA,"coding"
"UBB",25,12,13,0,1,NA,"coding"
"VASP",12,8,4,0,1,NA,"coding"
"VDR",5,2,3,0,1,NA,"coding"
"VHL",12,6,6,0,1,NA,"coding"
"WNT1",2,1,1,0,1,NA,"coding"
"YWHAE",11,6,5,0,1,NA,"coding"
"YWHAQ",28,17,11,0,1,NA,"coding"
