"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",38,23,15,0,1
"A2M",14,3,11,0,1
"ATF7IP",36,14,22,0,1
"H2AFX",16,8,8,0,1
"HMOX2",12,5,7,0,1
"NUDT21",21,11,10,0,1
"RPP14",7,6,1,0,1
"TK1",49,28,21,0,1
"MAP1LC3B",21,16,5,0,1
"RB1",95,73,22,0,1
"CSNK2A1",77,53,24,0,1
"MPP6",10,3,7,0,1
"HAX1",7,5,2,0,1
"RDX",8,3,5,0,1
"ABCF3",2,1,1,0,1
"ABL1",53,25,28,0,1
"NCK2",11,7,4,0,1
"SOS1",35,16,19,0,1
"SOS2",15,10,5,0,1
"CAV1",51,29,22,0,1
"CDK5",23,16,7,0,1
"CRK",50,23,27,0,1
"POLR2A",39,29,10,0,1
"PRKD1",15,10,5,0,1
"PSTPIP1",9,8,1,0,1
"YWHAG",131,94,37,0,1
"HOOK2",7,5,2,0,1
"ATXN1",55,32,23,0,1
"USP7",25,21,4,0,1
"COMT",2,1,1,0,1
"ACP1",7,6,1,0,1
"PPP2CB",6,4,2,0,1
"ACTB",31,18,13,0,1
"CFL1",12,7,5,0,1
"EMD",12,9,3,0,1
"DYNLL1",25,17,8,0,1
"FHOD1",3,2,1,0,1
"MAPK6",67,35,32,0,1
"PDPK1",39,28,11,0,1
"PIP4K2C",6,2,4,0,1
"PLD1",14,10,4,0,1
"RPS6KA5",16,10,6,0,1
"VASP",12,8,4,0,1
"ACTN1",27,18,9,0,1
"PKN1",16,13,3,0,1
"ACTN4",10,4,6,0,1
"CHD3",12,6,6,0,1
"CDC42",29,13,16,0,1
"ACVR1",41,20,21,0,1
"AP2B1",12,4,8,0,1
"RAP2A",14,7,7,0,1
"ACVR1B",6,2,4,0,1
"SNX1",11,6,5,0,1
"ACVR2A",5,4,1,0,1
"MAGI2",5,2,3,0,1
"SYNJ2BP",6,2,4,0,1
"TGFB1",20,10,10,0,1
"TGFBR2",23,11,12,0,1
"ADAM10",4,2,2,0,1
"NOTCH1",21,15,6,0,1
"TNFSF11",8,4,4,0,1
"FN1",28,15,13,0,1
"PRKCA",71,20,51,0,1
"RAF1",44,26,18,0,1
"ADCYAP1",3,2,1,0,1
"CALM1",20,13,7,0,1
"PRKCD",13,6,7,0,1
"EDN1",7,4,3,0,1
"DRD2",6,1,5,0,1
"SLC9A3R2",12,6,6,0,1
"FLNC",5,2,3,0,1
"GPRASP1",20,8,12,0,1
"GRB2",26,12,14,0,1
"GRK5",9,4,5,0,1
"SLC9A3R1",9,4,5,0,1
"GIT1",13,8,5,0,1
"MAPK3",20,12,8,0,1
"GTF2E1",6,5,1,0,1
"PRKCE",17,9,8,0,1
"PRKCZ",30,13,17,0,1
"ATXN1L",28,19,9,0,1
"AFF1",5,4,1,0,1
"MLLT3",2,1,1,0,1
"CCNT1",10,9,1,0,1
"UBE3A",26,21,5,0,1
"SMN1",28,9,19,0,1
"AGFG1",4,1,3,0,1
"CCDC85B",64,52,12,0,1
"ERBB3",11,4,7,0,1
"ARNT",18,8,10,0,1
"ARNTL",9,3,6,0,1
"EP300",122,104,18,0,1
"NCOA1",49,28,21,0,1
"NCOA2",24,11,13,0,1
"PRKAR2A",18,13,5,0,1
"PRKAR1A",21,7,14,0,1
"GSK3B",69,33,36,0,1
"YWHAB",43,27,16,0,1
"YWHAZ",57,22,35,0,1
"IQGAP1",13,6,7,0,1
"KPNB1",31,20,11,0,1
"PRPF40A",39,23,16,0,1
"AKAP9",12,9,3,0,1
"AKT1",10,6,4,0,1
"BCL2A1",5,3,2,0,1
"HSP90AA1",37,17,20,0,1
"CDKN1A",16,14,2,0,1
"XRN1",13,7,6,0,1
"IRS1",32,18,14,0,1
"PTN",18,8,10,0,1
