"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",64,50,14,0,1
"A2M",26,11,15,0,1
"ATF7IP",94,77,17,0,1
"CDKN1A",96,90,6,0,1
"H2AFX",58,52,6,0,1
"HMOX2",19,13,6,0,1
"MYOC",15,5,10,0,1
"TGFBI",20,17,3,0,1
"TK1",81,59,22,0,1
"MAP1LC3B",29,25,4,0,1
"MDFI",47,41,6,0,1
"RB1",133,112,21,0,1
"ABCA1",63,57,6,0,1
"CSNK2A1",146,123,23,0,1
"FADD",25,20,5,0,1
"MPP6",48,47,1,0,1
"HAX1",16,13,3,0,1
"RDX",55,51,4,0,1
"STX1A",24,17,7,0,1
"NCK2",34,29,5,0,1
"WASF1",28,27,1,0,1
"ABI3",7,6,1,0,1
"ABL1",78,50,28,0,1
"CAV1",99,73,26,0,1
"CDK5",30,23,7,0,1
"CRK",122,99,23,0,1
"MAPT",52,46,6,0,1
"POLR2A",75,66,9,0,1
"PRKD1",37,32,5,0,1
"PRKDC",62,55,7,0,1
"PTPN12",38,37,1,0,1
"RAN",99,86,13,0,1
"XRCC6",57,46,11,0,1
"YWHAE",92,84,8,0,1
"VIM",95,71,24,0,1
"FBLN1",15,12,3,0,1
"USP7",38,34,4,0,1
"YWHAG",179,146,33,0,1
"CTNNB1",112,90,22,0,1
"FYN",152,95,57,0,1
"SPTAN1",28,20,8,0,1
"MYLK",70,67,3,0,1
"VASP",33,29,4,0,1
"VCL",138,109,29,0,1
"ACTB",120,97,23,0,1
"CFL1",22,19,3,0,1
"EMD",29,25,4,0,1
"RCC1",38,32,6,0,1
"DMD",59,55,4,0,1
"DYNLL1",30,24,6,0,1
"GSN",40,32,8,0,1
"PDPK1",92,85,7,0,1
"PIP4K2C",45,40,5,0,1
"RPS6KA5",75,71,4,0,1
"ACTN1",48,40,8,0,1
"COIL",64,58,6,0,1
"ZYX",30,27,3,0,1
"CAMK2A",38,36,2,0,1
"ACTN4",53,50,3,0,1
"CHD3",45,32,13,0,1
"DCTN1",15,13,2,0,1
"CDC42",71,51,20,0,1
"ACVR1",71,54,17,0,1
"RAP2A",34,29,5,0,1
"ACVR1B",69,66,3,0,1
"ACVR2A",77,75,2,0,1
"BMP6",11,10,1,0,1
"BMP7",31,27,4,0,1
"TGFB1",36,24,12,0,1
"TGFB3",13,10,3,0,1
"TGFBR1",133,95,38,0,1
"TGFBR2",140,126,14,0,1
"GRB2",102,64,38,0,1
"SH3D19",65,63,2,0,1
"NOTCH1",60,55,5,0,1
"TNFSF11",25,19,6,0,1
"FN1",99,80,19,0,1
"PRKCA",126,69,57,0,1
"RAF1",44,35,9,0,1
"ADCYAP1",27,26,1,0,1
"CALM1",97,90,7,0,1
"PRKCD",51,34,17,0,1
"APPL1",52,46,6,0,1
"GNAZ",8,6,2,0,1
"SLC9A3R2",32,27,5,0,1
"RGS2",29,13,16,0,1
"GNAI2",63,59,4,0,1
"YWHAZ",181,141,40,0,1
"GNAO1",17,13,4,0,1
"ADRB2",24,16,8,0,1
"ARRB1",53,45,8,0,1
"GNA11",26,21,5,0,1
"GPRASP1",25,9,16,0,1
"GRK5",39,31,8,0,1
"SLC9A3R1",37,24,13,0,1
"SRC",51,30,21,0,1
"GIT1",51,41,10,0,1
"PRKCB",59,47,12,0,1
"PRKCE",44,37,7,0,1
"ATXN1L",85,76,9,0,1
"MLLT1",60,56,4,0,1
"SGSM2",33,28,5,0,1
"UBE3A",56,52,4,0,1
"CCDC85B",72,59,13,0,1
"AGTR1",10,7,3,0,1
"ARNT",56,31,25,0,1
"EP300",163,142,21,0,1
"NCOA1",113,74,39,0,1
"NCOA2",71,58,13,0,1
"SMARCA4",47,26,21,0,1
"AIP",17,16,1,0,1
"PRKAR2A",66,60,6,0,1
"AKAP10",44,39,5,0,1
"PRKAR1A",69,55,14,0,1
"GSK3B",132,99,33,0,1
"YWHAB",104,83,21,0,1
"IQGAP1",52,44,8,0,1
"KPNB1",87,74,13,0,1
"PRPF40A",75,60,15,0,1
"AKAP9",43,39,4,0,1
"PKN1",18,16,2,0,1
"AKT1",61,45,16,0,1
"BAD",20,10,10,0,1
"CHUK",49,35,14,0,1
"TSC2",22,20,2,0,1
"BCL2A1",6,4,2,0,1
"HSP90AA1",107,85,22,0,1
"IGSF21",9,6,3,0,1
"XRN1",62,56,6,0,1
"JAK3",35,19,16,0,1
"PLCG1",77,53,24,0,1
"PTN",32,12,20,0,1
"PTPRZ1",15,11,4,0,1
"CRMP1",39,26,13,0,1
"TOM1L1",11,5,6,0,1
"AMOTL2",63,61,2,0,1
"DNM1",22,18,4,0,1
"CSNK2B",59,25,34,0,1
"TEK",19,10,9,0,1
"NFASC",23,22,1,0,1
"ANK2",28,27,1,0,1
"SPTBN1",60,56,4,0,1
"ANK3",36,34,2,0,1
"HDAC4",53,50,3,0,1
"LRP2",23,14,9,0,1
"ANXA1",19,12,7,0,1
"COPS6",53,35,18,0,1
"TGM2",22,17,5,0,1
"UNC119",45,24,21,0,1
"ANXA11",39,38,1,0,1
"S100A6",5,4,1,0,1
"MED31",22,19,3,0,1
"RBBP4",65,59,6,0,1
"AP1M1",27,20,7,0,1
"AP2B1",60,50,10,0,1
"AP2A1",33,27,6,0,1
"HTT",63,51,12,0,1
"AP2M1",32,29,3,0,1
"MEGF10",3,2,1,0,1
"AP3B1",41,38,3,0,1
"CLTC",103,89,14,0,1
"ARF1",58,51,7,0,1
"TGOLN2",78,75,3,0,1
"CASP3",91,55,36,0,1
"HSPA1A",46,37,9,0,1
"APP",105,83,22,0,1
"STXBP1",17,14,3,0,1
"SIAH1",20,18,2,0,1
"PCNA",79,70,9,0,1
"UBE2I",71,61,10,0,1
"APOA1",9,5,4,0,1
"MAPK6",122,93,29,0,1
"KPNA2",79,75,4,0,1
"LRP1",54,41,13,0,1
"COL4A2",41,38,3,0,1
"HSPG2",35,30,5,0,1
"PSEN2",16,10,6,0,1
"SHC1",51,37,14,0,1
"SNCA",25,15,10,0,1
"APPBP2",47,45,2,0,1
"EFEMP2",25,20,5,0,1
"CCND1",174,167,7,0,1
"CDC37",45,40,5,0,1
"CREBBP",300,84,216,0,1
"GTF2H1",28,26,2,0,1
"KAT2B",57,51,6,0,1
"NCOR2",95,55,40,0,1
"SMAD1",200,31,169,0,1
"SMAD3",176,47,129,0,1
"ARPC3",24,23,1,0,1
"ARRB2",37,23,14,0,1
"HSP90AB1",47,46,1,0,1
"ITPR1",48,41,7,0,1
"PIK3R1",144,97,47,0,1
"RASA1",69,50,19,0,1
"RHOA",68,53,15,0,1
"TUBA4A",19,11,8,0,1
"SMURF2",73,57,16,0,1
"ARHGDIA",60,58,2,0,1
"CBX5",137,132,5,0,1
"VAV1",38,29,9,0,1
"GNA13",58,49,9,0,1
"ARHGEF12",51,45,6,0,1
"ARHGEF7",31,26,5,0,1
"CBLB",48,40,8,0,1
"SMARCE1",24,22,2,0,1
"E2F1",656,65,591,0,1
"SIN3A",59,53,6,0,1
"GAPDH",68,52,16,0,1
"UBR1",38,28,10,0,1
"ATP5J2",10,8,2,0,1
"WAS",25,12,13,0,1
"RNF130",7,6,1,0,1
"MDM2",156,145,11,0,1
"FLNA",66,56,10,0,1
"HIPK3",108,102,6,0,1
"MAPK1",170,144,26,0,1
"HCK",38,26,12,0,1
"SH3KBP1",47,43,4,0,1
"BIN1",15,11,4,0,1
"TBC1D17",16,15,1,0,1
"ASF1A",35,34,1,0,1
"ASGR1",17,15,2,0,1
"DHFR",12,11,1,0,1
"PFDN1",13,8,5,0,1
"CREB1",437,89,348,0,1
"GABPB1",80,74,6,0,1
"SPI1",366,19,347,0,1
"BATF3",6,5,1,0,1
"JUN",385,61,324,0,1
"DDIT3",20,13,7,0,1
"NFE2L1",59,58,1,0,1
"NFE2L2",89,28,61,0,1
"CDC34",21,20,1,0,1
"DISC1",38,37,1,0,1
"LUC7L2",47,39,8,0,1
"SETDB1",34,29,5,0,1
"EIF4EBP1",50,47,3,0,1
"STK11",42,37,5,0,1
"TOPBP1",25,22,3,0,1
"WRN",25,22,3,0,1
"XRCC5",49,43,6,0,1
"ATN1",46,31,15,0,1
"DMPK",29,26,3,0,1
"EWSR1",43,25,18,0,1
"RASSF1",19,13,6,0,1
"ATP5C1",20,18,2,0,1
"CDK4",93,83,10,0,1
"ATR",20,15,5,0,1
"EZH2",339,38,301,0,1
"ATXN1",173,149,24,0,1
"ATXN2",40,37,3,0,1
"CDK6",150,148,2,0,1
"DAZAP2",104,98,6,0,1
"RAD23A",24,18,6,0,1
"ITGA2B",3,2,1,0,1
"RNF11",104,85,19,0,1
"AURKA",61,56,5,0,1
"CDC20",23,20,3,0,1
"NME1",22,18,4,0,1
"PPP1CA",37,31,6,0,1
"PPP1CC",67,66,1,0,1
"AVPR1A",16,14,2,0,1
