"Name","K","Kin","Kout","TypeI","TypeII","Type"
"ANXA7",69,49,20,0,1,"coding"
"A2M",28,11,17,0,1,"coding"
"ATF7IP",60,38,22,0,1,"coding"
"CDKN1A",92,74,18,0,1,"coding"
"H2AFX",40,34,6,0,1,"coding"
"HMOX2",16,8,8,0,1,"coding"
"MYOC",19,7,12,0,1,"coding"
"SMN1",55,26,29,0,1,"coding"
"TGFBI",15,12,3,0,1,"coding"
"TK1",105,76,29,0,1,"coding"
"MAP1LC3B",20,15,5,0,1,"coding"
"MDFI",50,42,8,0,1,"coding"
"RB1",133,110,23,0,1,"coding"
"ABCA1",51,45,6,0,1,"coding"
"CSNK2A1",120,93,27,0,1,"coding"
"FADD",24,13,11,0,1,"coding"
"MPP6",32,27,5,0,1,"coding"
"HAX1",15,12,3,0,1,"coding"
"RDX",30,24,6,0,1,"coding"
"STX1A",24,14,10,0,1,"coding"
"EPS8",29,21,8,0,1,"coding"
"HSPA8",60,41,19,0,1,"coding"
"NCK2",33,21,12,0,1,"coding"
"SOS1",52,32,20,0,1,"coding"
"SOS2",21,16,5,0,1,"coding"
"WASF1",21,17,4,0,1,"coding"
"KRT15",32,28,4,0,1,"coding"
"ABL1",79,47,32,0,1,"coding"
"ATM",43,25,18,0,1,"coding"
"BCAR1",40,30,10,0,1,"coding"
"CASP9",29,21,8,0,1,"coding"
"CAV1",102,66,36,0,1,"coding"
"CDK5",30,23,7,0,1,"coding"
"CRK",87,61,26,0,1,"coding"
"MAPT",49,39,10,0,1,"coding"
"POLR2A",64,53,11,0,1,"coding"
"PRKD1",31,24,7,0,1,"coding"
"PTPN12",30,27,3,0,1,"coding"
"RAD51",71,65,6,0,1,"coding"
"RAN",74,61,13,0,1,"coding"
"XRCC6",49,33,16,0,1,"coding"
"YWHAE",67,52,15,0,1,"coding"
"YWHAZ",163,104,59,0,1,"coding"
"ABL2",41,38,3,0,1,"coding"
"VIM",101,70,31,0,1,"coding"
"ATXN1",148,120,28,0,1,"coding"
"FBLN1",15,10,5,0,1,"coding"
"FBLN2",21,17,4,0,1,"coding"
"USP7",36,31,5,0,1,"coding"
"LAMB1",8,7,1,0,1,"coding"
"YWHAG",192,149,43,0,1,"coding"
"CTNNB1",103,80,23,0,1,"coding"
"FYN",153,84,69,0,1,"coding"
"INSR",62,30,32,0,1,"coding"
"LCK",74,39,35,0,1,"coding"
"SPTAN1",27,16,11,0,1,"coding"
"CFL1",21,16,5,0,1,"coding"
"MYLK",66,61,5,0,1,"coding"
"PFN1",43,31,12,0,1,"coding"
"PRKCA",132,63,69,0,1,"coding"
"S100A4",8,5,3,0,1,"coding"
"VASP",23,19,4,0,1,"coding"
"VCL",113,80,33,0,1,"coding"
"ACTB",104,78,26,0,1,"coding"
"BCL2L1",48,40,8,0,1,"coding"
"CSNK1A1",73,64,9,0,1,"coding"
"EMD",21,17,4,0,1,"coding"
"RCC1",36,29,7,0,1,"coding"
"ACTN4",28,22,6,0,1,"coding"
"DMD",46,42,4,0,1,"coding"
"DYNLL1",38,27,11,0,1,"coding"
"GSN",28,20,8,0,1,"coding"
"PDPK1",82,71,11,0,1,"coding"
"PIP4K2C",28,22,6,0,1,"coding"
