"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",69,49,20,0,1
"A2M",28,11,17,0,1
"ATF7IP",60,38,22,0,1
"CDKN1A",92,74,18,0,1
"H2AFX",40,34,6,0,1
"HMOX2",16,8,8,0,1
"MYOC",19,7,12,0,1
"SMN1",55,26,29,0,1
"TGFBI",15,12,3,0,1
"TK1",105,76,29,0,1
"MAP1LC3B",20,15,5,0,1
"MDFI",50,42,8,0,1
"RB1",133,110,23,0,1
"ABCA1",51,45,6,0,1
"CSNK2A1",120,93,27,0,1
"FADD",24,13,11,0,1
"MPP6",32,27,5,0,1
"HAX1",15,12,3,0,1
"RDX",30,24,6,0,1
"STX1A",24,14,10,0,1
"EPS8",29,21,8,0,1
"HSPA8",60,41,19,0,1
"NCK2",33,21,12,0,1
"SOS1",52,32,20,0,1
"SOS2",21,16,5,0,1
"WASF1",21,17,4,0,1
"KRT15",32,28,4,0,1
"ABL1",79,47,32,0,1
"ATM",43,25,18,0,1
"BCAR1",40,30,10,0,1
"CASP9",29,21,8,0,1
"CAV1",102,66,36,0,1
"CDK5",30,23,7,0,1
"CRK",87,61,26,0,1
"MAPT",49,39,10,0,1
"POLR2A",64,53,11,0,1
"PRKD1",31,24,7,0,1
"PTPN12",30,27,3,0,1
"RAD51",71,65,6,0,1
"RAN",74,61,13,0,1
"XRCC6",49,33,16,0,1
"YWHAE",67,52,15,0,1
"YWHAZ",163,104,59,0,1
"ABL2",41,38,3,0,1
"VIM",101,70,31,0,1
"ATXN1",148,120,28,0,1
"FBLN1",15,10,5,0,1
"FBLN2",21,17,4,0,1
"USP7",36,31,5,0,1
"LAMB1",8,7,1,0,1
"YWHAG",192,149,43,0,1
"CTNNB1",103,80,23,0,1
"FYN",153,84,69,0,1
"INSR",62,30,32,0,1
"LCK",74,39,35,0,1
"SPTAN1",27,16,11,0,1
"CFL1",21,16,5,0,1
"MYLK",66,61,5,0,1
"PFN1",43,31,12,0,1
"PRKCA",132,63,69,0,1
"S100A4",8,5,3,0,1
"VASP",23,19,4,0,1
"VCL",113,80,33,0,1
"ACTB",104,78,26,0,1
"BCL2L1",48,40,8,0,1
"CSNK1A1",73,64,9,0,1
"EMD",21,17,4,0,1
"RCC1",36,29,7,0,1
"ACTN4",28,22,6,0,1
"DMD",46,42,4,0,1
"DYNLL1",38,27,11,0,1
"GSN",28,20,8,0,1
"PDPK1",82,71,11,0,1
"PIP4K2C",28,22,6,0,1
"RPS6KA5",53,48,5,0,1
"ARHGDIA",32,30,2,0,1
"ACTN1",50,38,12,0,1
"COIL",49,42,7,0,1
"MAGEA11",14,8,6,0,1
"PKN1",21,17,4,0,1
"CAMK2A",38,29,9,0,1
"DISC1",25,24,1,0,1
"DCTN1",13,10,3,0,1
"CHD3",55,40,15,0,1
"CDC42",66,38,28,0,1
"CTTN",15,11,4,0,1
"ACVR1",73,51,22,0,1
"AP2B1",46,36,10,0,1
"IKBKB",39,29,10,0,1
"RAP2A",29,23,6,0,1
"STX8",9,8,1,0,1
"ACVR2A",49,47,2,0,1
"SYNJ2BP",37,33,4,0,1
"TGFB1",34,20,14,0,1
"TGFB3",13,10,3,0,1
"TGFBR1",109,68,41,0,1
"TGFBR2",105,89,16,0,1
"GRB2",128,65,63,0,1
"SH3D19",45,43,2,0,1
"TGFA",26,22,4,0,1
"ADAM15",11,10,1,0,1
"MAD2L1",20,16,4,0,1
"NOTCH1",44,38,6,0,1
"TNF",13,11,2,0,1
"TNFSF11",26,15,11,0,1
"RYR1",11,6,5,0,1
"MAD2L2",6,2,4,0,1
"FN1",92,70,22,0,1
"ADCY10",2,1,1,0,1
"RAF1",45,31,14,0,1
"ADCYAP1",14,13,1,0,1
"CALM1",75,53,22,0,1
"PRKCD",51,29,22,0,1
"APPL1",32,25,7,0,1
"GNAZ",8,5,3,0,1
"CYTH2",22,16,6,0,1
"SLC9A3R2",25,19,6,0,1
"RGS2",30,10,20,0,1
"GNA11",20,15,5,0,1
"ADRBK1",33,17,16,0,1
"GNAI2",50,44,6,0,1
"GNAO1",15,6,9,0,1
"DLG4",64,27,37,0,1
