"Name","K","Kin","Kout","TypeI","TypeII","Type"
"hsa-miR-128-2-5p",26,18,8,0,1,"non-coding"
"hsa-miR-130a-5p",555,21,534,0,1,"non-coding"
"hsa-miR-141-5p",414,42,372,0,1,"non-coding"
"hsa-miR-146a-5p",222,48,174,0,1,"non-coding"
"hsa-miR-181a-5p",468,33,435,0,1,"non-coding"
"hsa-miR-18a-5p",480,63,417,0,1,"non-coding"
"hsa-miR-223-5p",193,31,162,0,1,"non-coding"
"hsa-miR-23a-5p",611,37,574,0,1,"non-coding"
"hsa-miR-31-5p",217,12,205,0,1,"non-coding"
"hsa-miR-3614-5p",87,51,36,0,1,"non-coding"
"hsa-miR-3648",95,93,2,0,1,"non-coding"
"hsa-miR-4745-5p",44,30,14,0,1,"non-coding"
"hsa-miR-584-5p",57,27,30,0,1,"non-coding"
"hsa-miR-615-5p",239,16,223,0,1,"non-coding"
"hsa-miR-624-5p",17,8,9,0,1,"non-coding"
"hsa-miR-663a",94,72,22,0,1,"non-coding"
"hsa-miR-9-5p",551,46,505,0,1,"non-coding"
