No,Predicted_Driver,Degree,In-degree,Out-degree,Number_of_mutated_samples,In_CGC
1,PIK3CA,42,31,11,381,TRUE
2,TP53,111,21,90,328,TRUE
3,TTN,16,8,8,293,FALSE
4,GATA3,397,23,374,104,TRUE
5,DMD,57,52,5,56,FALSE
6,LRP2,29,13,16,39,FALSE
7,MACF1,30,27,3,39,FALSE
8,PTEN,75,69,6,39,TRUE
9,APOB,12,5,7,38,FALSE
10,LRP1,55,39,16,33,FALSE
11,RYR1,16,7,9,30,FALSE
12,ANK3,20,18,2,28,FALSE
13,AKAP9,40,36,4,27,TRUE
14,LYST,22,19,3,27,FALSE
15,PRKDC,64,55,9,26,FALSE
16,FLNA,72,53,19,24,TRUE
17,MED12,12,10,2,24,TRUE
18,RPGR,5,4,1,24,FALSE
19,VCAN,62,51,11,24,FALSE
20,ATM,38,20,18,23,TRUE
21,RB1,145,121,24,23,TRUE
22,FLNC,27,20,7,21,FALSE
23,ZFHX3,79,78,1,21,TRUE
24,DSP,24,23,1,20,FALSE
25,BRCA2,21,16,5,19,TRUE
26,GRIN2A,56,49,7,18,TRUE
27,HDAC6,13,10,3,18,FALSE
28,PIK3R1,144,87,57,18,TRUE
29,SF3B1,33,27,6,18,TRUE
30,FLNB,25,22,3,17,FALSE
31,SHANK2,30,27,3,17,FALSE
32,CHD3,66,49,17,16,FALSE
33,HSPG2,35,28,7,16,FALSE
34,LAMA2,6,5,1,16,FALSE
35,PTPN13,26,21,5,16,TRUE
36,SETDB1,67,53,14,16,FALSE
37,SPTAN1,28,17,11,16,FALSE
38,TLN1,60,53,7,16,FALSE
39,ATN1,59,36,23,15,FALSE
40,CBLB,44,34,10,15,TRUE
41,CREBBP,267,94,173,15,TRUE
42,DLG1,56,18,38,15,FALSE
43,FANCD2,21,15,6,15,TRUE
44,ITPR1,45,34,11,15,FALSE
45,CFH,10,8,2,14,FALSE
46,EP300,179,155,24,14,TRUE
47,HTT,68,52,16,14,FALSE
48,NCOA6,38,30,8,14,FALSE
49,NUP98,33,27,6,14,TRUE
50,RANBP2,46,35,11,14,TRUE
51,TOPBP1,26,22,4,14,FALSE
52,TSC22D1,46,41,5,14,FALSE
53,UBC,16,12,4,14,FALSE
54,ARHGEF12,43,37,6,13,TRUE
55,ATR,21,14,7,13,TRUE
56,CASP8,52,27,25,13,TRUE
57,ERBB2IP,34,32,2,13,FALSE
58,FN1,94,76,18,13,FALSE
59,GNAS,46,38,8,13,TRUE
60,MAP3K5,42,26,16,13,FALSE
61,NOS1,18,11,7,13,FALSE
62,PTPRF,37,32,5,13,FALSE
63,ROBO2,39,31,8,13,TRUE
64,ABCA1,48,40,8,12,FALSE
65,CNTNAP2,22,18,4,12,TRUE
66,COL4A1,34,28,6,12,FALSE
67,IKBKAP,27,23,4,12,FALSE
68,JAK1,72,41,31,12,TRUE
69,LRRC41,15,14,1,12,FALSE
70,MYB,283,28,255,12,TRUE
71,PTCH1,24,23,1,12,TRUE
72,AP3B1,38,33,5,11,FALSE
73,BACH2,78,61,17,11,FALSE
74,GPRASP1,31,11,20,11,FALSE
75,GPRASP2,24,10,14,11,FALSE
76,GPS2,10,5,5,11,FALSE
77,INSR,75,42,33,11,FALSE
78,MAP1B,87,77,10,11,FALSE
79,MARS,31,30,1,11,FALSE
80,MYLK,65,60,5,11,FALSE
81,NLGN3,12,9,3,11,FALSE
82,PRKCQ,19,8,11,11,FALSE
83,RET,30,16,14,11,TRUE
84,SMARCA4,46,28,18,11,TRUE
85,XRN1,51,45,6,11,FALSE
86,ACTN2,18,12,6,10,FALSE
87,AFF1,65,55,10,10,TRUE
88,DNMBP,22,18,4,10,FALSE
89,GOLGA3,12,9,3,10,FALSE
90,GRM1,11,6,5,10,FALSE
91,HIPK2,38,32,6,10,FALSE
92,HLA-B,20,14,6,10,FALSE
93,IL1RAP,35,27,8,10,FALSE
94,ITSN1,52,43,9,10,FALSE
95,MET,69,45,24,10,TRUE
96,PROX1,43,35,8,10,FALSE
97,SATB1,45,39,6,10,FALSE
98,SH3KBP1,55,52,3,10,FALSE
99,SHANK1,14,4,10,10,FALSE
100,SIN3A,61,54,7,10,FALSE
101,UBR1,35,22,13,10,FALSE
102,ACVR2A,46,44,2,9,TRUE
103,APP,93,63,30,9,FALSE
104,ATXN1,160,128,32,9,FALSE
105,CASK,47,29,18,9,FALSE
106,CDK5RAP1,6,4,2,9,FALSE
107,CHUK,53,35,18,9,FALSE
108,COL4A2,36,30,6,9,FALSE
109,EWSR1,64,35,29,9,TRUE
110,FLII,14,10,4,9,FALSE
111,HLA-C,21,13,8,9,FALSE
112,HNRNPUL1,44,41,3,9,FALSE
113,ITGB2,32,10,22,9,FALSE
114,KIAA1377,61,26,35,9,FALSE
115,LRP12,37,33,4,9,FALSE
116,MAGI3,28,26,2,9,FALSE
117,NTRK1,18,5,13,9,TRUE
118,NUMA1,16,14,2,9,TRUE
119,PLXNB3,6,1,5,9,FALSE
120,PRKCE,51,40,11,9,FALSE
121,RGS3,16,12,4,9,FALSE
122,RPS6KA3,95,84,11,9,FALSE
123,SMARCC1,40,27,13,9,FALSE
124,STAT4,14,4,10,9,FALSE
125,USP8,24,22,2,9,TRUE
126,A2M,26,8,18,8,FALSE
127,ABL1,91,51,40,8,TRUE
128,ACVR1B,59,53,6,8,FALSE
129,ARHGEF7,24,16,8,8,FALSE
130,BMPR2,84,70,14,8,FALSE
131,C6,7,6,1,8,FALSE
132,CACHD1,17,15,2,8,FALSE
133,CAPN1,17,9,8,8,FALSE
134,CAPN2,14,8,6,8,FALSE
135,CDC25C,17,11,6,8,FALSE
136,CDC5L,53,52,1,8,FALSE
137,CREB3L3,5,2,3,8,FALSE
138,DLG2,52,29,23,8,FALSE
139,DLGAP4,23,20,3,8,FALSE
140,EEF1A1,74,48,26,8,FALSE
141,ELN,21,19,2,8,TRUE
142,FBLN2,22,17,5,8,TRUE
143,ILF3,37,35,2,8,FALSE
144,IRF3,31,16,15,8,FALSE
145,ITK,20,17,3,8,TRUE
146,KCNJ12,28,26,2,8,FALSE
147,KDR,53,30,23,8,TRUE
148,KIT,61,31,30,8,TRUE
149,MAPK8IP3,32,19,13,8,FALSE
150,MCM10,35,26,9,8,FALSE
151,NCOR2,94,56,38,8,TRUE
