No,Predicted_Driver,Degree,In-degree,Out-degree
1,hsa-miR-130a-5p,749,26,723
2,hsa-miR-141-5p,432,44,388
3,hsa-miR-142-5p,651,38,613
4,hsa-miR-181a-5p,657,42,615
5,hsa-miR-214-5p,225,20,205
6,hsa-miR-222-5p,329,15,314
7,hsa-miR-223-5p,215,33,182
8,hsa-miR-23a-5p,802,53,749
9,hsa-miR-338-5p,231,17,214
10,hsa-miR-342-5p,314,35,279
11,hsa-miR-3614-5p,110,66,44
12,hsa-miR-3648,123,119,4
13,hsa-miR-429,337,22,315
14,hsa-miR-4473,33,23,10
15,hsa-miR-4757-5p,10,8,2
16,hsa-miR-663a,116,88,28
17,hsa-miR-9-5p,692,50,642
