No,Predicted_Driver,Degree,In-degree,Out-degree,Number_of_mutated_samples
1,GATA3,397,23,374,104
2,ATM,38,20,18,23
3,ZFHX3,79,78,1,21
4,GRIN2A,56,49,7,18
5,SF3B1,33,27,6,18
6,CBLB,44,34,10,15
7,FANCD2,21,15,6,15
8,RANBP2,46,35,11,14
9,ARHGEF12,43,37,6,13
10,MYB,283,28,255,12
11,RET,30,16,14,11
12,AFF1,65,55,10,10
13,NUMA1,16,14,2,9
14,ELN,21,19,2,8
15,FBLN2,22,17,5,8
16,ITK,20,17,3,8
17,KIT,61,31,30,8
18,NCOR2,94,56,38,8
19,PDGFRB,43,20,23,8
20,AR,557,71,486,7
21,TCF7L2,156,50,106,7
22,VAV1,47,31,16,7
23,WRN,20,17,3,7
24,ABL2,51,48,3,6
25,NFKB2,57,12,45,6
26,SPOP,28,26,2,6
27,NR4A3,25,24,1,5
28,PPARG,110,22,88,5
29,GNA11,23,18,5,4
30,IL7R,19,11,8,4
31,SGK1,45,41,4,4
32,WT1,22,18,4,4
33,BCL3,49,15,34,3
34,FES,13,9,4,3
35,KLK2,22,21,1,3
36,PABPC1,68,57,11,3
37,CD79B,9,5,4,2
38,GATA1,319,6,313,2
39,MAP2K2,19,12,7,2
40,PBX1,180,49,131,2
41,SDC4,24,19,5,2
42,SIX1,21,19,2,2
43,XPA,11,8,3,2
44,CBFA2T3,33,32,1,1
45,ID3,34,28,6,1
