"","gene","p","fdr"
"ABLIM1","ABLIM1",1,1
"MAP6","MAP6",1,1
"SPTB","SPTB",1,1
"PIEZO1","PIEZO1",1,1
"SOX15","SOX15",1,1
"ZNF574","ZNF574",1,1
"AGAP3","AGAP3",1,1
"KIRREL","KIRREL",1,1
"ANK3","ANK3",0.00208927303931795,0.0743982308492953
"SIDT2","SIDT2",1,1
"ZFP91","ZFP91",1,1
"ZNF740","ZNF740",1,1
"WDR72","WDR72",1,1
"ZNF544","ZNF544",1,1
"LRP2","LRP2",1,1
"CPEB2","CPEB2",1,1
"LRBA","LRBA",1,1
"PCDHA6","PCDHA6",1,1
"CDHR3","CDHR3",1,1
"COL14A1","COL14A1",1,1
"L1CAM","L1CAM",1,1
"CASK","CASK",1,1
"SYDE2","SYDE2",1,1
"TBC1D12","TBC1D12",1,1
"MGA","MGA",0.0441280152780446,0.280925863992829
"ARRDC4","ARRDC4",1,1
"CDH1","CDH1",1,1
"MRPS18B","MRPS18B",1,1
"WDR91","WDR91",1,1
"SDR16C5","SDR16C5",1,1
"ZFHX4","ZFHX4",0.0215504634887083,0.186271890473218
"KDM5B","KDM5B",1,1
"TP73","TP73",0.00242417058789519,0.0780010401590084
"SFMBT2","SFMBT2",1,1
"MUC5B","MUC5B",0.0113832806809812,0.136762079033427
"PPFIBP2","PPFIBP2",1,1
"KRT86","KRT86",1,1
"ZNF91","ZNF91",1,1
"MUC16","MUC16",0.0495505388364976,0.300085551832107
"FIGN","FIGN",1,1
"H2AFZ","H2AFZ",1,1
"HMGB2","HMGB2",1,1
"KIF2A","KIF2A",1,1
"KPNA5","KPNA5",1,1
"CUL7","CUL7",1,1
"PLXNA4","PLXNA4",1,1
"MLL3","MLL3",1,1
"DDX53","DDX53",1,1
"FRMD4A","FRMD4A",0.044288138492232,0.28131694640919
"NAV3","NAV3",1,1
"CEP290","CEP290",1,1
"SCN7A","SCN7A",1,1
"ZNF217","ZNF217",0.000623523208154568,0.0405451174446245
"EWSR1","EWSR1",1,1
"GRM7","GRM7",1,1
"PPID","PPID",1,1
"FAT2","FAT2",1,1
"MED12","MED12",1,1
"KCNT2","KCNT2",1,1
"RYR2","RYR2",0.0443716591361908,0.281400836369423
"ITIH5","ITIH5",1,1
"EXPH5","EXPH5",1,1
"HCFC2","HCFC2",1,1
"MED13L","MED13L",0.00410509045307885,0.0914240713279332
"BLOC1S1","BLOC1S1",1,1
"PZP","PZP",1,1
"DAPK2","DAPK2",0.0103533269138274,0.130821259808684
"SCAPER","SCAPER",0.00250916577436102,0.0783989027938248
"ALPK3","ALPK3",1,1
"KLHL25","KLHL25",1,1
"WDR7","WDR7",1,1
"ARHGAP28","ARHGAP28",1,1
"CD97","CD97",1,1
"WDR87","WDR87",1,1
"ZNF606","ZNF606",1,1
"MARCH7","MARCH7",1,1
"SPTBN1","SPTBN1",3.26749765919133e-05,0.0101494932449121
"PREX1","PREX1",0.0062882342938937,0.109634826604871
"CCT8","CCT8",1,1
"LPP","LPP",1,1
"CNTN4","CNTN4",1,1
"PHF17","PHF17",1,1
"PALLD","PALLD",1,1
"GDF9","GDF9",1,1
"BDP1","BDP1",1,1
"MICAL1","MICAL1",1,1
"CAP2","CAP2",1,1
"MUC21","MUC21",1,1
"DNAH8","DNAH8",0.00718161486977833,0.112405268323467
"FAM83B","FAM83B",1,1
"NOS3","NOS3",1,1
"BCL7B","BCL7B",1,1
"CDCA2","CDCA2",0.0215604720575139,0.186271890473218
"KCNU1","KCNU1",1,1
"LRRC8A","LRRC8A",1,1
"IRS4","IRS4",1,1
"ACSL4","ACSL4",1,1
"MTM1","MTM1",1,1
"DMD","DMD",0.0386409632212443,0.257567741832098
"CLCC1","CLCC1",1,1
"TCHH","TCHH",1,1
"DAP3","DAP3",1,1
"POU2F1","POU2F1",1,1
"PAPPA2","PAPPA2",1,1
"CEP350","CEP350",0.000412626611751892,0.0334345008773895
"KIF21B","KIF21B",1,1
"CACNA1S","CACNA1S",1,1
"ITPKB","ITPKB",0.0169331726828077,0.164297713335437
"ZNF436","ZNF436",1,1
"PER3","PER3",1,1
"IKZF5","IKZF5",1,1
"FAM171A1","FAM171A1",1,1
"AKR1C1","AKR1C1",1,1
"KAT6B","KAT6B",1,1
"QSER1","QSER1",0.0204871970948451,0.183595259110629
"NXF1","NXF1",1,1
