"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-let-7a-5p",34,4,30,0,1,NA,"non-coding"
"hsa-miR-103a-2-5p",17,11,6,0,1,NA,"non-coding"
"hsa-miR-107",69,6,63,0,1,NA,"non-coding"
"hsa-miR-128-1-5p",6,3,3,0,1,NA,"non-coding"
"hsa-miR-140-5p",72,9,63,0,1,NA,"non-coding"
"hsa-miR-142-5p",141,11,130,0,1,NA,"non-coding"
"hsa-miR-148b-5p",23,6,17,0,1,NA,"non-coding"
"hsa-miR-200b-5p",44,4,40,0,1,NA,"non-coding"
"hsa-miR-30e-5p",69,6,63,0,1,NA,"non-coding"
"hsa-miR-338-5p",34,3,31,0,1,NA,"non-coding"
"hsa-miR-33a-5p",6,1,5,0,1,NA,"non-coding"
"hsa-miR-361-5p",62,5,57,0,1,NA,"non-coding"
"hsa-miR-548s",8,5,3,0,1,NA,"non-coding"
"hsa-miR-615-5p",37,4,33,0,1,NA,"non-coding"
"hsa-miR-616-5p",32,18,14,0,1,NA,"non-coding"
"hsa-miR-647",29,25,4,0,1,NA,"non-coding"
"hsa-miR-766-5p",30,10,20,0,1,NA,"non-coding"
"hsa-miR-93-5p",281,26,255,0,1,NA,"non-coding"
"hsa-miR-939-5p",18,5,13,0,1,NA,"non-coding"
