"ensembl_gene_id","gene_name_WU","Gene.start..bp.","Gene.end..bp.","Length"
"ENSG00000000003","TSPAN6",100627109,100639991,12882
"ENSG00000000005","TNMD",100584936,100599885,14949
"ENSG00000000419","DPM1",50934867,50958555,23688
"ENSG00000000457","SCYL3",169849631,169894267,44636
"ENSG00000000460","C1orf112",169662007,169854080,192073
"ENSG00000000938","FGR",27612064,27635185,23121
"ENSG00000000971","CFH",196651878,196747504,95626
"ENSG00000001036","FUCA2",143494811,143511690,16879
"ENSG00000001084","GCLC",53497341,53616970,119629
"ENSG00000001460","STPG1",24356999,24416934,59935
"ENSG00000001461","NIPAL3",24415802,24472976,57174
"ENSG00000001497","LAS1L",65512582,65534775,22193
"ENSG00000001561","ENPP4",46129989,46146688,16699
"ENSG00000001617","SEMA3F",50155045,50189075,34030
"ENSG00000001626","CFTR",117465784,117715971,250187
"ENSG00000001629","ANKIB1",92245974,92401383,155409
"ENSG00000001630","CYP51A1",92112153,92134803,22650
"ENSG00000001631","KRIT1",92198969,92246166,47197
"ENSG00000002016","RAD52",912077,990053,77976
"ENSG00000002079","MYH16",99238829,99311130,72301
"ENSG00000002330","BAD",64269830,64284704,14874
"ENSG00000002549","LAP3",17577192,17607972,30780
"ENSG00000002586","CD99",2691187,2741309,50122
"ENSG00000002587","HS3ST1",11393150,11429564,36414
"ENSG00000002726","ABP1",150824627,150861504,36877
"ENSG00000002745","WNT16",121325367,121341104,15737
"ENSG00000002746","HECW1",43112629,43566001,453372
"ENSG00000002822","MAD1L1",1815793,2233243,417450
"ENSG00000002834","LASP1",38869859,38921770,51911
"ENSG00000002919","SNX11",48103357,48123074,19717
"ENSG00000003096","KLHL13",117897813,118117340,219527
"ENSG00000003137","CYP26B1",72129238,72148038,18800
"ENSG00000003147","ICA1",8113184,8262687,149503
"ENSG00000003249","DBNDD1",90004865,90020128,15263
"ENSG00000003393","ALS2",201700267,201780956,80689
"ENSG00000003400","CASP10",201182881,201229406,46525
"ENSG00000003402","CFLAR",201116154,201176687,60533
"ENSG00000003436","TFPI",187464230,187565760,101530
"ENSG00000003509","C2orf56",37231631,37253403,21772
"ENSG00000003756","RBM5",50088908,50119021,30113
"ENSG00000003987","MTMR7",17296794,17413528,116734
"ENSG00000003989","SLC7A2",17497088,17570573,73485
"ENSG00000004139","SARM1",28364356,28404049,39693
"ENSG00000004142","POLDIP2",28346633,28357527,10894
"ENSG00000004399","PLXND1",129555175,129606818,51643
"ENSG00000004455","AK2",33007940,33080996,73056
"ENSG00000004468","CD38",15778275,15853232,74957
"ENSG00000004478","FKBP4",2794970,2805423,10453
"ENSG00000004487","KDM1A",23019443,23083689,64246
"ENSG00000004534","RBM6",49940007,50100045,160038
"ENSG00000004660","CAMKK1",3860315,3894891,34576
"ENSG00000004700","RECQL",21468910,21501669,32759
"ENSG00000004766","CCDC132",93232340,93361123,128783
"ENSG00000004777","ARHGAP33",35774532,35788822,14290
"ENSG00000004799","PDK4",95583499,95596516,13017
"ENSG00000004809","SLC22A16",110424687,110476641,51954
"ENSG00000004838","ZMYND10",50341110,50345732,4622
"ENSG00000004846","ABCB5",20615207,20777038,161831
"ENSG00000004848","ARX",25003694,25016420,12726
