"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-130a-5p",991,31,960,0,1,NA,"non-coding"
"hsa-miR-146a-5p",343,72,271,0,1,NA,"non-coding"
"hsa-miR-22-5p",768,70,698,0,1,NA,"non-coding"
"hsa-miR-222-5p",412,17,395,0,1,NA,"non-coding"
"hsa-miR-223-5p",261,37,224,0,1,NA,"non-coding"
"hsa-miR-3124-5p",29,16,13,0,1,NA,"non-coding"
"hsa-miR-342-5p",404,45,359,0,1,NA,"non-coding"
"hsa-miR-34a-5p",845,34,811,0,1,NA,"non-coding"
"hsa-miR-3614-5p",132,78,54,0,1,NA,"non-coding"
"hsa-miR-3648",151,146,5,0,1,NA,"non-coding"
"hsa-miR-4473",45,30,15,0,1,NA,"non-coding"
"hsa-miR-4524a-5p",60,9,51,0,1,NA,"non-coding"
"hsa-miR-4757-5p",26,19,7,0,1,NA,"non-coding"
"hsa-miR-663a",136,101,35,0,1,NA,"non-coding"
"hsa-miR-6728-5p",123,82,41,0,1,NA,"non-coding"
"hsa-miR-6794-5p",73,35,38,0,1,NA,"non-coding"
"hsa-miR-6797-5p",151,77,74,0,1,NA,"non-coding"
"hsa-miR-99a-5p",218,40,178,0,1,NA,"non-coding"
