Name,K,Kin,Kout,TypeI,TypeII,weight,Type
DMD,9,5,4,0,1,56,coding
AKAP9,11,8,3,0,1,27,coding
PRKDC,22,16,6,0,1,26,coding
FBN1,22,17,5,0,1,20,coding
BRCA2,10,6,4,0,1,19,coding
PIK3R1,59,24,35,0,1,18,coding
HSPG2,22,17,5,0,1,16,coding
PTPN13,9,5,4,0,1,16,coding
TLN1,11,6,5,0,1,16,coding
NUP98,8,2,6,0,1,14,coding
ATR,10,4,6,0,1,13,coding
GPRASP1,11,4,7,0,1,11,coding
GPSM2,4,2,2,0,1,10,coding
UBR1,14,5,9,0,1,10,coding
CASK,12,3,9,0,1,9,coding
NCOA3,16,8,8,0,1,9,coding
ABL1,38,20,18,0,1,8,coding
MAPK8IP3,9,3,6,0,1,8,coding
MCM10,15,7,8,0,1,8,coding
PLCG1,22,7,15,0,1,8,coding
PTK2,23,8,15,0,1,8,coding
SOS2,11,7,4,0,1,8,coding
BTK,29,5,24,0,1,7,coding
FAF1,7,3,4,0,1,7,coding
IL16,9,6,3,0,1,7,coding
IQGAP1,16,10,6,0,1,7,coding
RHOA,24,9,15,0,1,7,coding
SMAD2,40,7,33,0,1,7,coding
VAV1,23,20,3,0,1,7,coding
HGS,19,8,11,0,1,6,coding
KAT2B,32,27,5,0,1,6,coding
NCOA2,26,13,13,0,1,6,coding
SMURF2,24,11,13,0,1,6,coding
STAU1,11,6,5,0,1,6,coding
EGFR,60,29,31,0,1,5,coding
ERCC3,6,4,2,0,1,5,coding
ITGB7,8,3,5,0,1,5,coding
PNN,9,4,5,0,1,5,coding
PRPF40A,39,24,15,0,1,5,coding
RAD23B,5,4,1,0,1,5,coding
TLE2,4,3,1,0,1,5,coding
APEX1,7,3,4,0,1,4,coding
HAND2,7,2,5,0,1,4,coding
MMP2,27,12,15,0,1,4,coding
NCF4,4,3,1,0,1,4,coding
PLAU,11,7,4,0,1,4,coding
SMAD3,39,13,26,0,1,4,coding
TGFBR1,50,18,32,0,1,4,coding
TLE1,9,8,1,0,1,4,coding
BIRC2,14,4,10,0,1,3,coding
CD8A,10,4,6,0,1,3,coding
CDX2,3,1,2,0,1,3,coding
DRD2,6,1,5,0,1,3,coding
E2F3,14,7,7,0,1,3,coding
ILK,10,3,7,0,1,3,coding
MAP3K2,14,12,2,0,1,3,coding
PML,10,5,5,0,1,3,coding
PSEN1,12,4,8,0,1,3,coding
PUF60,6,4,2,0,1,3,coding
RBP1,2,1,1,0,1,3,coding
RNF2,11,7,4,0,1,3,coding
SNX9,4,3,1,0,1,3,coding
TRIM32,4,3,1,0,1,3,coding
BRMS1,4,1,3,0,1,2,coding
CDH2,9,6,3,0,1,2,coding
CDK2,43,36,7,0,1,2,coding
DNAJA1,3,1,2,0,1,2,coding
GABPB1,4,1,3,0,1,2,coding
GRAP2,17,12,5,0,1,2,coding
IL12B,3,2,1,0,1,2,coding
KCNA2,4,3,1,0,1,2,coding
NMI,6,5,1,0,1,2,coding
NR1D2,5,4,1,0,1,2,coding
PDPK1,34,22,12,0,1,2,coding
PLCB3,6,4,2,0,1,2,coding
STK11,9,5,4,0,1,2,coding
SYT1,6,2,4,0,1,2,coding
TAF9,7,4,3,0,1,2,coding
TRAP1,5,2,3,0,1,2,coding
VIM,25,18,7,0,1,2,coding
YES1,11,7,4,0,1,2,coding
AKAP10,4,1,3,0,1,1,coding
BAD,15,9,6,0,1,1,coding
BCL2L1,6,3,3,0,1,1,coding
CHFR,2,1,1,0,1,1,coding
CTBP1,24,17,7,0,1,1,coding
DVL3,9,7,2,0,1,1,coding
EXOSC4,9,4,5,0,1,1,coding
GIPC1,8,3,5,0,1,1,coding
KPNA1,5,4,1,0,1,1,coding
PTPN11,49,18,31,0,1,1,coding
SFN,6,5,1,0,1,1,coding
SRF,8,2,6,0,1,1,coding
