"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"hsa-miR-130a-5p",991,36,955,0,1,NA,"non-coding"
"hsa-miR-133a-5p",60,19,41,0,1,NA,"non-coding"
"hsa-miR-135a-5p",237,9,228,0,1,NA,"non-coding"
"hsa-miR-145-5p",587,54,533,0,1,NA,"non-coding"
"hsa-miR-146a-5p",327,66,261,0,1,NA,"non-coding"
"hsa-miR-155-5p",509,57,452,0,1,NA,"non-coding"
"hsa-miR-196b-5p",388,34,354,0,1,NA,"non-coding"
"hsa-miR-206",182,6,176,0,1,NA,"non-coding"
"hsa-miR-21-5p",586,91,495,0,1,NA,"non-coding"
"hsa-miR-215-5p",211,22,189,0,1,NA,"non-coding"
"hsa-miR-223-5p",222,33,189,0,1,NA,"non-coding"
"hsa-miR-29b-2-5p",82,65,17,0,1,NA,"non-coding"
"hsa-miR-338-5p",388,29,359,0,1,NA,"non-coding"
"hsa-miR-342-5p",360,45,315,0,1,NA,"non-coding"
"hsa-miR-3648",86,81,5,0,1,NA,"non-coding"
"hsa-miR-4473",43,32,11,0,1,NA,"non-coding"
"hsa-miR-4503",33,23,10,0,1,NA,"non-coding"
