"Name","K","Kin","Kout","TypeI","TypeII","weight","Type"
"APOA2",2,1,1,0,1,NA,"coding"
"ARPC3",19,15,4,0,1,NA,"coding"
"ASIP",4,3,1,0,1,NA,"coding"
"AVP",6,4,2,0,1,NA,"coding"
"C1QTNF1",6,4,2,0,1,NA,"coding"
"CAMLG",26,21,5,0,1,NA,"coding"
"CBR3",3,2,1,0,1,NA,"coding"
"CCL25",2,1,1,0,1,NA,"coding"
"CCL3",13,12,1,0,1,NA,"coding"
"CCL4",8,3,5,0,1,NA,"coding"
"CCL5",30,23,7,0,1,NA,"coding"
"CD81",25,20,5,0,1,NA,"coding"
"CHMP1B",28,26,2,0,1,NA,"coding"
"CHMP4A",6,3,3,0,1,NA,"coding"
"CSK",38,29,9,0,1,NA,"coding"
"CXCL13",9,7,2,0,1,NA,"coding"
"CYCS",73,71,2,0,1,NA,"coding"
"E2F2",98,83,15,0,1,NA,"coding"
"EIF4EBP1",49,43,6,0,1,NA,"coding"
"EVL",18,14,4,0,1,NA,"coding"
"FADD",26,14,12,0,1,NA,"coding"
"FOSL1",112,29,83,0,1,NA,"coding"
"FOXA2",141,3,138,0,1,NA,"coding"
"GADD45A",37,25,12,0,1,NA,"coding"
"GAS1",27,25,2,0,1,NA,"coding"
"GATA6",129,90,39,0,1,NA,"coding"
"GNA15",10,5,5,0,1,NA,"coding"
"GNG13",5,4,1,0,1,NA,"coding"
"HLA-DRA",13,10,3,0,1,NA,"coding"
"HMGCL",5,4,1,0,1,NA,"coding"
"HOXB7",7,5,2,0,1,NA,"coding"
"HSPA1B",26,24,2,0,1,NA,"coding"
"IGF1",92,90,2,0,1,NA,"coding"
"IRS2",46,39,7,0,1,NA,"coding"
"KLF2",50,46,4,0,1,NA,"coding"
"MAFG",42,36,6,0,1,NA,"coding"
"MAPK11",12,10,2,0,1,NA,"coding"
"MAPK12",16,7,9,0,1,NA,"coding"
"MTA1",24,19,5,0,1,NA,"coding"
"MVD",6,5,1,0,1,NA,"coding"
"NKX2-1",19,3,16,0,1,NA,"coding"
"NPM1",37,29,8,0,1,NA,"coding"
"PAFAH1B2",55,53,2,0,1,NA,"coding"
"PFN2",56,49,7,0,1,NA,"coding"
"PLA2G10",4,3,1,0,1,NA,"coding"
"PLSCR1",61,36,25,0,1,NA,"coding"
"POLR2E",28,24,4,0,1,NA,"coding"
"POMC",8,5,3,0,1,NA,"coding"
"PPIA",32,27,5,0,1,NA,"coding"
"PPP1CC",50,47,3,0,1,NA,"coding"
"PRSS23",33,25,8,0,1,NA,"coding"
"PRTN3",7,6,1,0,1,NA,"coding"
"RAB17",17,13,4,0,1,NA,"coding"
"RAB5B",68,64,4,0,1,NA,"coding"
"RGS19",20,12,8,0,1,NA,"coding"
"RGS2",34,13,21,0,1,NA,"coding"
"RIBC2",12,4,8,0,1,NA,"coding"
"RIT1",12,10,2,0,1,NA,"coding"
"RNF216",19,15,4,0,1,NA,"coding"
"SGTA",14,8,6,0,1,NA,"coding"
"SIAH2",24,22,2,0,1,NA,"coding"
"SNRPD3",42,34,8,0,1,NA,"coding"
"STMN2",16,13,3,0,1,NA,"coding"
"SYNJ2BP",46,42,4,0,1,NA,"coding"
"TCEB2",14,8,6,0,1,NA,"coding"
"TGOLN2",56,52,4,0,1,NA,"coding"
"TLX1",44,21,23,0,1,NA,"coding"
"TNFRSF4",7,1,6,0,1,NA,"coding"
"TNFSF10",11,10,1,0,1,NA,"coding"
"TNFSF12",4,3,1,0,1,NA,"coding"
"TTR",11,7,4,0,1,NA,"coding"
"TYROBP",8,6,2,0,1,NA,"coding"
"UBD",4,3,1,0,1,NA,"coding"
"VTA1",44,38,6,0,1,NA,"coding"
"WNT1",21,18,3,0,1,NA,"coding"
