GENE	SYMBOL	DRIVER_LABEL	SIGNALS	SIGNAL_COUNT	KNOWN_DRIVER	POOL_SIGNALS	CONNECTED_TO_DRIVER	MUTS_CS	MUTS_CS_SAMPLES	CGC	GENE_LEN	GENE_NUM_MUTS	MUTS_IN_CLUST	NUM_CLUSTERS	CLUST_COORDS	GENE_SCORE	ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVECLUST	QVALUE_ONCODRIVECLUST	MUTS_PAM	MUTS_PAM_SAMPLES	PVALUE_ONCODRIVEFM	QVALUE_ONCODRIVEFM	PPH2_SCORE_PVALUE	MA_SCORE_PVALUE	SIFT_SCORE_PVALUE
ENSG00000128928	IVD	Multisignal	CF	2			True	3	3		427.0	2.0	2.0	1.0	[398,398]:2	1.0	2.8216427074507	0.00238891873668	0.0294190918498	3.0	3.0	9.177816333683086e-05	0.008571424897350455	0.008	0.0018	0.0562
ENSG00000121879	PIK3CA	1Signal-Known	F	1	True		True	364	324		1069.0	427.0	412.0	13.0	[81,81]:2,[88,88]:2,[104,111]:4,[118,118]:4,[344,350]:29,[365,366]:4,[420,420]:6,[453,453]:7,[539,546]:148,[726,726]:9,[939,939]:2,[1004,1007]:7,[1037,1049]:188	0.8520286759006706	2.339352268610171	0.00965860482976	0.0705512822679	354.0	318.0	2.5415067272938074e-08	7.668507798315355e-06	0.0098	0.8866	1e-08
ENSG00000141510	TP53	1Signal-Known	F	1	True		True	314	309		394.0	264.0	257.0	14.0	[124,144]:28,[151,163]:14,[163,183]:44,[187,204]:36,[205,215]:11,[220,221]:10,[232,241]:8,[242,248]:26,[252,258]:9,[265,266]:5,[270,294]:50,[306,306]:3,[331,331]:3,[341,342]:10	0.6373032645327912	1.6394868486771148	0.0505559536996	0.139500868092	293.0	291.0	0.0	0.0	1e-08	1e-08	1e-08
ENSG00000039068	CDH1	1Signal-Known	F	1	True		True	117	114		883.0	54.0	32.0	9.0	[23,23]:6,[63,63]:4,[195,195]:2,[243,243]:3,[255,260]:5,[278,282]:4,[335,335]:3,[409,409]:2,[641,644]:3	0.5514881171271815	1.3597851878767184	0.08694895551529999	0.18355890608800002	113.0	111.0	0.0	0.0	1e-08	1e-08	1e-08
ENSG00000107485	GATA3	1Signal-Known	F	1	True		True	103	99		445.0	14.0	6.0	1.0	[294,294]:6	0.42857142857142855	0.959156592943119	0.16873993199999998	0.250473336562	101.0	97.0	0.0	0.0	1e-08	1e-08	1e-08
ENSG00000055609	MLL3	1Signal-Known	F	1	True		True	90	71		4969.0	51.0	2.0	1.0	[367,367]:2	0.0392156862745098	-0.3098903184125366	0.621677817283	0.621677817283	81.0	68.0	0.0	0.0	1e-08	1e-08	1e-08
ENSG00000171862	PTEN	1Signal-Known	F	1	True		True	38	36		404.0	21.0	9.0	3.0	[123,128]:5,[258,258]:2,[287,287]:2	0.35510155918561803	0.7196925227030428	0.23585716553000002	0.303963207514	37.0	35.0	0.0	0.0	1e-08	1e-08	1e-08
ENSG00000159216	RUNX1	1Signal-Known	F	1	True		True	34	33		481.0	13.0								32.0	31.0	0.0	0.0	1e-08	1e-08	0.0004
ENSG00000196712	NF1	1Signal-Known	F	1	True		True	33	31		2840.0	21.0	6.0	2.0	[347,347]:2,[2679,2679]:4	0.2857142857142857	0.4935350643162237	0.310817285171	0.35241857568400003	30.0	28.0	2.1388845916625602e-08	6.711819848637113e-06	0.0001	0.0001	0.0072
ENSG00000065559	MAP2K4	1Signal-Known	F	1	True		True	32	32		411.0	17.0	7.0	3.0	[195,197]:3,[262,262]:2,[396,396]:2	0.3823535053049376	0.8085161723739904	0.209396749975	0.28159522494100003	32.0	32.0	0.0	0.0	1e-08	1e-08	1e-08
